sentid	pairid	sentence	comparison	ROI	word
1	1	авторы , которые любят агентов , говорят	expected	6	говорят
2	1	авторы , которые любят агентов , говорит	unexpected	6	говорит
3	2	авторы , которые любят агентов , ждали	expected	6	ждали
4	2	авторы , которые любят агентов , ждал	unexpected	6	ждал
5	3	авторы , которые любят агентов , читают	expected	6	читают
6	3	авторы , которые любят агентов , читает	unexpected	6	читает
7	4	авторы , которые любят агентов , старые	expected	6	старые
8	4	авторы , которые любят агентов , старый	unexpected	6	старый
9	5	авторы , которые любят агентов , маленькие	expected	6	маленькие
10	5	авторы , которые любят агентов , маленький	unexpected	6	маленький
11	6	авторы , которые любят агентов , молодые	expected	6	молодые
12	6	авторы , которые любят агентов , молодой	unexpected	6	молодой
13	7	авторы , которые любят агентов , большие	expected	6	большие
14	7	авторы , которые любят агентов , большой	unexpected	6	большой
15	8	режиссёры , которые любят агентов , говорят	expected	6	говорят
16	8	режиссёры , которые любят агентов , говорит	unexpected	6	говорит
17	9	режиссёры , которые любят агентов , ждали	expected	6	ждали
18	9	режиссёры , которые любят агентов , ждал	unexpected	6	ждал
19	10	режиссёры , которые любят агентов , читают	expected	6	читают
20	10	режиссёры , которые любят агентов , читает	unexpected	6	читает
21	11	режиссёры , которые любят агентов , старые	expected	6	старые
22	11	режиссёры , которые любят агентов , старый	unexpected	6	старый
23	12	режиссёры , которые любят агентов , маленькие	expected	6	маленькие
24	12	режиссёры , которые любят агентов , маленький	unexpected	6	маленький
25	13	режиссёры , которые любят агентов , молодые	expected	6	молодые
26	13	режиссёры , которые любят агентов , молодой	unexpected	6	молодой
27	14	режиссёры , которые любят агентов , большие	expected	6	большие
28	14	режиссёры , которые любят агентов , большой	unexpected	6	большой
29	15	фермеры , которые любят агентов , говорят	expected	6	говорят
30	15	фермеры , которые любят агентов , говорит	unexpected	6	говорит
31	16	фермеры , которые любят агентов , ждали	expected	6	ждали
32	16	фермеры , которые любят агентов , ждал	unexpected	6	ждал
33	17	фермеры , которые любят агентов , читают	expected	6	читают
34	17	фермеры , которые любят агентов , читает	unexpected	6	читает
35	18	фермеры , которые любят агентов , старые	expected	6	старые
36	18	фермеры , которые любят агентов , старый	unexpected	6	старый
37	19	фермеры , которые любят агентов , маленькие	expected	6	маленькие
38	19	фермеры , которые любят агентов , маленький	unexpected	6	маленький
39	20	фермеры , которые любят агентов , молодые	expected	6	молодые
40	20	фермеры , которые любят агентов , молодой	unexpected	6	молодой
41	21	фермеры , которые любят агентов , большие	expected	6	большие
42	21	фермеры , которые любят агентов , большой	unexpected	6	большой
43	22	врачи , которые любят агентов , говорят	expected	6	говорят
44	22	врачи , которые любят агентов , говорит	unexpected	6	говорит
45	23	врачи , которые любят агентов , ждали	expected	6	ждали
46	23	врачи , которые любят агентов , ждал	unexpected	6	ждал
47	24	врачи , которые любят агентов , читают	expected	6	читают
48	24	врачи , которые любят агентов , читает	unexpected	6	читает
49	25	врачи , которые любят агентов , старые	expected	6	старые
50	25	врачи , которые любят агентов , старый	unexpected	6	старый
51	26	врачи , которые любят агентов , маленькие	expected	6	маленькие
52	26	врачи , которые любят агентов , маленький	unexpected	6	маленький
53	27	врачи , которые любят агентов , молодые	expected	6	молодые
54	27	врачи , которые любят агентов , молодой	unexpected	6	молодой
55	28	врачи , которые любят агентов , большие	expected	6	большие
56	28	врачи , которые любят агентов , большой	unexpected	6	большой
57	29	сенаторы , которые любят агентов , говорят	expected	6	говорят
58	29	сенаторы , которые любят агентов , говорит	unexpected	6	говорит
59	30	сенаторы , которые любят агентов , ждали	expected	6	ждали
60	30	сенаторы , которые любят агентов , ждал	unexpected	6	ждал
61	31	сенаторы , которые любят агентов , читают	expected	6	читают
62	31	сенаторы , которые любят агентов , читает	unexpected	6	читает
63	32	сенаторы , которые любят агентов , старые	expected	6	старые
64	32	сенаторы , которые любят агентов , старый	unexpected	6	старый
65	33	сенаторы , которые любят агентов , маленькие	expected	6	маленькие
66	33	сенаторы , которые любят агентов , маленький	unexpected	6	маленький
67	34	сенаторы , которые любят агентов , молодые	expected	6	молодые
68	34	сенаторы , которые любят агентов , молодой	unexpected	6	молодой
69	35	сенаторы , которые любят агентов , большие	expected	6	большие
