sentid	pairid	sentence	comparison	ROI	word
1	1	авторы говорят	expected	1	говорят
2	1	авторы говорит	unexpected	1	говорит
3	2	авторы ждали	expected	1	ждали
4	2	авторы ждал	unexpected	1	ждал
5	3	авторы читают	expected	1	читают
6	3	авторы читает	unexpected	1	читает
7	4	авторы старые	expected	1	старые
8	4	авторы старый	unexpected	1	старый
9	5	авторы маленькие	expected	1	маленькие
10	5	авторы маленький	unexpected	1	маленький
11	6	авторы молодые	expected	1	молодые
12	6	авторы молодой	unexpected	1	молодой
13	7	авторы большие	expected	1	большие
14	7	авторы большой	unexpected	1	большой
15	8	режиссёры говорят	expected	1	говорят
16	8	режиссёры говорит	unexpected	1	говорит
17	9	режиссёры ждали	expected	1	ждали
18	9	режиссёры ждал	unexpected	1	ждал
19	10	режиссёры читают	expected	1	читают
20	10	режиссёры читает	unexpected	1	читает
21	11	режиссёры старые	expected	1	старые
22	11	режиссёры старый	unexpected	1	старый
23	12	режиссёры маленькие	expected	1	маленькие
24	12	режиссёры маленький	unexpected	1	маленький
25	13	режиссёры молодые	expected	1	молодые
26	13	режиссёры молодой	unexpected	1	молодой
27	14	режиссёры большие	expected	1	большие
28	14	режиссёры большой	unexpected	1	большой
29	15	фермеры говорят	expected	1	говорят
30	15	фермеры говорит	unexpected	1	говорит
31	16	фермеры ждали	expected	1	ждали
32	16	фермеры ждал	unexpected	1	ждал
33	17	фермеры читают	expected	1	читают
34	17	фермеры читает	unexpected	1	читает
35	18	фермеры старые	expected	1	старые
36	18	фермеры старый	unexpected	1	старый
37	19	фермеры маленькие	expected	1	маленькие
38	19	фермеры маленький	unexpected	1	маленький
39	20	фермеры молодые	expected	1	молодые
40	20	фермеры молодой	unexpected	1	молодой
41	21	фермеры большие	expected	1	большие
42	21	фермеры большой	unexpected	1	большой
43	22	врачи говорят	expected	1	говорят
44	22	врачи говорит	unexpected	1	говорит
45	23	врачи ждали	expected	1	ждали
46	23	врачи ждал	unexpected	1	ждал
47	24	врачи читают	expected	1	читают
48	24	врачи читает	unexpected	1	читает
49	25	врачи старые	expected	1	старые
50	25	врачи старый	unexpected	1	старый
51	26	врачи маленькие	expected	1	маленькие
52	26	врачи маленький	unexpected	1	маленький
53	27	врачи молодые	expected	1	молодые
54	27	врачи молодой	unexpected	1	молодой
55	28	врачи большие	expected	1	большие
56	28	врачи большой	unexpected	1	большой
57	29	сенаторы говорят	expected	1	говорят
58	29	сенаторы говорит	unexpected	1	говорит
59	30	сенаторы ждали	expected	1	ждали
60	30	сенаторы ждал	unexpected	1	ждал
61	31	сенаторы читают	expected	1	читают
62	31	сенаторы читает	unexpected	1	читает
63	32	сенаторы старые	expected	1	старые
64	32	сенаторы старый	unexpected	1	старый
65	33	сенаторы маленькие	expected	1	маленькие
66	33	сенаторы маленький	unexpected	1	маленький
67	34	сенаторы молодые	expected	1	молодые
68	34	сенаторы молодой	unexpected	1	молодой
69	35	сенаторы большие	expected	1	большие
70	35	сенаторы большой	unexpected	1	большой
71	36	профессора говорят	expected	1	говорят
72	36	профессора говорит	unexpected	1	говорит
73	37	профессора ждали	expected	1	ждали
74	37	профессора ждал	unexpected	1	ждал
75	38	профессора читают	expected	1	читают
76	38	профессора читает	unexpected	1	читает
77	39	профессора старые	expected	1	старые
78	39	профессора старый	unexpected	1	старый
79	40	профессора маленькие	expected	1	маленькие
80	40	профессора маленький	unexpected	1	маленький
81	41	профессора молодые	expected	1	молодые
82	41	профессора молодой	unexpected	1	молодой
83	42	профессора большие	expected	1	большие
84	42	профессора большой	unexpected	1	большой
85	43	клиенты говорят	expected	1	говорят
86	43	клиенты говорит	unexpected	1	говорит
87	44	клиенты ждали	expected	1	ждали
88	44	клиенты ждал	unexpected	1	ждал
89	45	клиенты читают	expected	1	читают
90	45	клиенты читает	unexpected	1	читает
91	46	клиенты старые	expected	1	старые
92	46	клиенты старый	unexpected	1	старый
93	47	клиенты маленькие	expected	1	маленькие
94	47	клиенты маленький	unexpected	1	маленький
95	48	клиенты молодые	expected	1	молодые
96	48	клиенты молодой	unexpected	1	молодой
97	49	клиенты большие	expected	1	большие
98	49	клиенты большой	unexpected	1	большой
99	50	офицеры говорят	expected	1	говорят
100	50	офицеры говорит	unexpected	1	говорит
101	51	офицеры ждали	expected	1	ждали
102	51	офицеры ждал	unexpected	1	ждал
103	52	офицеры читают	expected	1	читают
104	52	офицеры читает	unexpected	1	читает
105	53	офицеры старые	expected	1	старые
106	53	офицеры старый	unexpected	1	старый
107	54	офицеры маленькие	expected	1	маленькие
108	54	офицеры маленький	unexpected	1	маленький
109	55	офицеры молодые	expected	1	молодые
110	55	офицеры молодой	unexpected	1	молодой
111	56	офицеры большие	expected	1	большие
112	56	офицеры большой	unexpected	1	большой
113	57	пилоты говорят	expected	1	говорят
114	57	пилоты говорит	unexpected	1	говорит
115	58	пилоты ждали	expected	1	ждали
116	58	пилоты ждал	unexpected	1	ждал
117	59	пилоты читают	expected	1	читают
118	59	пилоты читает	unexpected	1	читает
119	60	пилоты старые	expected	1	старые
120	60	пилоты старый	unexpected	1	старый
121	61	пилоты маленькие	expected	1	маленькие
122	61	пилоты маленький	unexpected	1	маленький
123	62	пилоты молодые	expected	1	молодые
124	62	пилоты молодой	unexpected	1	молодой
125	63	пилоты большие	expected	1	большие
126	63	пилоты большой	unexpected	1	большой
127	64	ученики говорят	expected	1	говорят
128	64	ученики говорит	unexpected	1	говорит
129	65	ученики ждали	expected	1	ждали
130	65	ученики ждал	unexpected	1	ждал
131	66	ученики читают	expected	1	читают
132	66	ученики читает	unexpected	1	читает
133	67	ученики старые	expected	1	старые
134	67	ученики старый	unexpected	1	старый
135	68	ученики маленькие	expected	1	маленькие
136	68	ученики маленький	unexpected	1	маленький
137	69	ученики молодые	expected	1	молодые
138	69	ученики молодой	unexpected	1	молодой
139	70	ученики большие	expected	1	большие
140	70	ученики большой	unexpected	1	большой
141	71	автор говорит	expected	1	говорит
142	71	автор говорят	unexpected	1	говорят
143	72	автор ждал	expected	1	ждал
144	72	автор ждали	unexpected	1	ждали
145	73	автор читает	expected	1	читает
146	73	автор читают	unexpected	1	читают
147	74	автор старый	expected	1	старый
148	74	автор старые	unexpected	1	старые
149	75	автор маленький	expected	1	маленький
150	75	автор маленькие	unexpected	1	маленькие
151	76	автор молодой	expected	1	молодой
152	76	автор молодые	unexpected	1	молодые
153	77	автор большой	expected	1	большой
154	77	автор большие	unexpected	1	большие
155	78	режиссёр говорит	expected	1	говорит
156	78	режиссёр говорят	unexpected	1	говорят
157	79	режиссёр ждал	expected	1	ждал
158	79	режиссёр ждали	unexpected	1	ждали
159	80	режиссёр читает	expected	1	читает
160	80	режиссёр читают	unexpected	1	читают
161	81	режиссёр старый	expected	1	старый
162	81	режиссёр старые	unexpected	1	старые
163	82	режиссёр маленький	expected	1	маленький
164	82	режиссёр маленькие	unexpected	1	маленькие
165	83	режиссёр молодой	expected	1	молодой
166	83	режиссёр молодые	unexpected	1	молодые
167	84	режиссёр большой	expected	1	большой
168	84	режиссёр большие	unexpected	1	большие
169	85	фермер говорит	expected	1	говорит
170	85	фермер говорят	unexpected	1	говорят
171	86	фермер ждал	expected	1	ждал
172	86	фермер ждали	unexpected	1	ждали
173	87	фермер читает	expected	1	читает
174	87	фермер читают	unexpected	1	читают
175	88	фермер старый	expected	1	старый
176	88	фермер старые	unexpected	1	старые
177	89	фермер маленький	expected	1	маленький
178	89	фермер маленькие	unexpected	1	маленькие
179	90	фермер молодой	expected	1	молодой
180	90	фермер молодые	unexpected	1	молодые
181	91	фермер большой	expected	1	большой
182	91	фермер большие	unexpected	1	большие
183	92	врач говорит	expected	1	говорит
184	92	врач говорят	unexpected	1	говорят
185	93	врач ждал	expected	1	ждал
186	93	врач ждали	unexpected	1	ждали
187	94	врач читает	expected	1	читает
188	94	врач читают	unexpected	1	читают
189	95	врач старый	expected	1	старый
190	95	врач старые	unexpected	1	старые
191	96	врач маленький	expected	1	маленький
192	96	врач маленькие	unexpected	1	маленькие
193	97	врач молодой	expected	1	молодой
194	97	врач молодые	unexpected	1	молодые
195	98	врач большой	expected	1	большой
196	98	врач большие	unexpected	1	большие
197	99	сенатор говорит	expected	1	говорит
198	99	сенатор говорят	unexpected	1	говорят
199	100	сенатор ждал	expected	1	ждал
200	100	сенатор ждали	unexpected	1	ждали
201	101	сенатор читает	expected	1	читает
202	101	сенатор читают	unexpected	1	читают
203	102	сенатор старый	expected	1	старый
204	102	сенатор старые	unexpected	1	старые
205	103	сенатор маленький	expected	1	маленький
206	103	сенатор маленькие	unexpected	1	маленькие
207	104	сенатор молодой	expected	1	молодой
208	104	сенатор молодые	unexpected	1	молодые
209	105	сенатор большой	expected	1	большой
210	105	сенатор большие	unexpected	1	большие
211	106	профессор говорит	expected	1	говорит
212	106	профессор говорят	unexpected	1	говорят
213	107	профессор ждал	expected	1	ждал
214	107	профессор ждали	unexpected	1	ждали
215	108	профессор читает	expected	1	читает
216	108	профессор читают	unexpected	1	читают
217	109	профессор старый	expected	1	старый
218	109	профессор старые	unexpected	1	старые
219	110	профессор маленький	expected	1	маленький
220	110	профессор маленькие	unexpected	1	маленькие
221	111	профессор молодой	expected	1	молодой
222	111	профессор молодые	unexpected	1	молодые
223	112	профессор большой	expected	1	большой
224	112	профессор большие	unexpected	1	большие
225	113	клиент говорит	expected	1	говорит
226	113	клиент говорят	unexpected	1	говорят
227	114	клиент ждал	expected	1	ждал
228	114	клиент ждали	unexpected	1	ждали
229	115	клиент читает	expected	1	читает
230	115	клиент читают	unexpected	1	читают
231	116	клиент старый	expected	1	старый
232	116	клиент старые	unexpected	1	старые
233	117	клиент маленький	expected	1	маленький
234	117	клиент маленькие	unexpected	1	маленькие
235	118	клиент молодой	expected	1	молодой
236	118	клиент молодые	unexpected	1	молодые
237	119	клиент большой	expected	1	большой
238	119	клиент большие	unexpected	1	большие
239	120	офицер говорит	expected	1	говорит
240	120	офицер говорят	unexpected	1	говорят
241	121	офицер ждал	expected	1	ждал
242	121	офицер ждали	unexpected	1	ждали
243	122	офицер читает	expected	1	читает
244	122	офицер читают	unexpected	1	читают
245	123	офицер старый	expected	1	старый
246	123	офицер старые	unexpected	1	старые
247	124	офицер маленький	expected	1	маленький
248	124	офицер маленькие	unexpected	1	маленькие
249	125	офицер молодой	expected	1	молодой
250	125	офицер молодые	unexpected	1	молодые
251	126	офицер большой	expected	1	большой
252	126	офицер большие	unexpected	1	большие
253	127	пилот говорит	expected	1	говорит
254	127	пилот говорят	unexpected	1	говорят
255	128	пилот ждал	expected	1	ждал
256	128	пилот ждали	unexpected	1	ждали
257	129	пилот читает	expected	1	читает
258	129	пилот читают	unexpected	1	читают
259	130	пилот старый	expected	1	старый
260	130	пилот старые	unexpected	1	старые
261	131	пилот маленький	expected	1	маленький
262	131	пилот маленькие	unexpected	1	маленькие
263	132	пилот молодой	expected	1	молодой
264	132	пилот молодые	unexpected	1	молодые
265	133	пилот большой	expected	1	большой
266	133	пилот большие	unexpected	1	большие
267	134	ученик говорит	expected	1	говорит
268	134	ученик говорят	unexpected	1	говорят
269	135	ученик ждал	expected	1	ждал
270	135	ученик ждали	unexpected	1	ждали
271	136	ученик читает	expected	1	читает
272	136	ученик читают	unexpected	1	читают
273	137	ученик старый	expected	1	старый
274	137	ученик старые	unexpected	1	старые
275	138	ученик маленький	expected	1	маленький
276	138	ученик маленькие	unexpected	1	маленькие
277	139	ученик молодой	expected	1	молодой
278	139	ученик молодые	unexpected	1	молодые
279	140	ученик большой	expected	1	большой
280	140	ученик большие	unexpected	1	большие
281	141	агенты говорят	expected	1	говорят
282	141	агенты говорит	unexpected	1	говорит
283	142	агенты ждали	expected	1	ждали
284	142	агенты ждал	unexpected	1	ждал
285	143	агенты читают	expected	1	читают
286	143	агенты читает	unexpected	1	читает
287	144	агенты старые	expected	1	старые
288	144	агенты старый	unexpected	1	старый
289	145	агенты маленькие	expected	1	маленькие
290	145	агенты маленький	unexpected	1	маленький
291	146	агенты молодые	expected	1	молодые
292	146	агенты молодой	unexpected	1	молодой
293	147	агенты большие	expected	1	большие
294	147	агенты большой	unexpected	1	большой
295	148	министры говорят	expected	1	говорят
296	148	министры говорит	unexpected	1	говорит
297	149	министры ждали	expected	1	ждали
298	149	министры ждал	unexpected	1	ждал
299	150	министры читают	expected	1	читают
300	150	министры читает	unexpected	1	читает
301	151	министры старые	expected	1	старые
302	151	министры старый	unexpected	1	старый
303	152	министры маленькие	expected	1	маленькие
304	152	министры маленький	unexpected	1	маленький
305	153	министры молодые	expected	1	молодые
306	153	министры молодой	unexpected	1	молодой
307	154	министры большие	expected	1	большие
308	154	министры большой	unexpected	1	большой
309	155	рабочие говорят	expected	1	говорят
310	155	рабочие говорит	unexpected	1	говорит
311	156	рабочие ждали	expected	1	ждали
312	156	рабочие ждал	unexpected	1	ждал
313	157	рабочие читают	expected	1	читают
314	157	рабочие читает	unexpected	1	читает
315	158	рабочие старые	expected	1	старые
316	158	рабочие старый	unexpected	1	старый
317	159	рабочие маленькие	expected	1	маленькие
318	159	рабочие маленький	unexpected	1	маленький
319	160	рабочие молодые	expected	1	молодые
320	160	рабочие молодой	unexpected	1	молодой
321	161	рабочие большие	expected	1	большие
322	161	рабочие большой	unexpected	1	большой
323	162	помощники говорят	expected	1	говорят
324	162	помощники говорит	unexpected	1	говорит
325	163	помощники ждали	expected	1	ждали
326	163	помощники ждал	unexpected	1	ждал
327	164	помощники читают	expected	1	читают
328	164	помощники читает	unexpected	1	читает
329	165	помощники старые	expected	1	старые
330	165	помощники старый	unexpected	1	старый
331	166	помощники маленькие	expected	1	маленькие
332	166	помощники маленький	unexpected	1	маленький
333	167	помощники молодые	expected	1	молодые
334	167	помощники молодой	unexpected	1	молодой
335	168	помощники большие	expected	1	большие
336	168	помощники большой	unexpected	1	большой
337	169	солдаты говорят	expected	1	говорят
338	169	солдаты говорит	unexpected	1	говорит
339	170	солдаты ждали	expected	1	ждали
340	170	солдаты ждал	unexpected	1	ждал
341	171	солдаты читают	expected	1	читают
342	171	солдаты читает	unexpected	1	читает
343	172	солдаты старые	expected	1	старые
344	172	солдаты старый	unexpected	1	старый
345	173	солдаты маленькие	expected	1	маленькие
346	173	солдаты маленький	unexpected	1	маленький
347	174	солдаты молодые	expected	1	молодые
348	174	солдаты молодой	unexpected	1	молодой
349	175	солдаты большие	expected	1	большие
350	175	солдаты большой	unexpected	1	большой
351	176	танцоры говорят	expected	1	говорят
352	176	танцоры говорит	unexpected	1	говорит
353	177	танцоры ждали	expected	1	ждали
354	177	танцоры ждал	unexpected	1	ждал
355	178	танцоры читают	expected	1	читают
356	178	танцоры читает	unexpected	1	читает
357	179	танцоры старые	expected	1	старые
358	179	танцоры старый	unexpected	1	старый
359	180	танцоры маленькие	expected	1	маленькие
360	180	танцоры маленький	unexpected	1	маленький
361	181	танцоры молодые	expected	1	молодые
362	181	танцоры молодой	unexpected	1	молодой
363	182	танцоры большие	expected	1	большие
364	182	танцоры большой	unexpected	1	большой
365	183	архитекторы говорят	expected	1	говорят
366	183	архитекторы говорит	unexpected	1	говорит
367	184	архитекторы ждали	expected	1	ждали
368	184	архитекторы ждал	unexpected	1	ждал
369	185	архитекторы читают	expected	1	читают
370	185	архитекторы читает	unexpected	1	читает
371	186	архитекторы старые	expected	1	старые
372	186	архитекторы старый	unexpected	1	старый
373	187	архитекторы маленькие	expected	1	маленькие
374	187	архитекторы маленький	unexpected	1	маленький
375	188	архитекторы молодые	expected	1	молодые
376	188	архитекторы молодой	unexpected	1	молодой
377	189	архитекторы большие	expected	1	большие
378	189	архитекторы большой	unexpected	1	большой
379	190	лидеры говорят	expected	1	говорят
380	190	лидеры говорит	unexpected	1	говорит
381	191	лидеры ждали	expected	1	ждали
382	191	лидеры ждал	unexpected	1	ждал
383	192	лидеры читают	expected	1	читают
384	192	лидеры читает	unexpected	1	читает
385	193	лидеры старые	expected	1	старые
386	193	лидеры старый	unexpected	1	старый
387	194	лидеры маленькие	expected	1	маленькие
388	194	лидеры маленький	unexpected	1	маленький
389	195	лидеры молодые	expected	1	молодые
390	195	лидеры молодой	unexpected	1	молодой
391	196	лидеры большие	expected	1	большие
392	196	лидеры большой	unexpected	1	большой
393	197	художники говорят	expected	1	говорят
394	197	художники говорит	unexpected	1	говорит
395	198	художники ждали	expected	1	ждали
396	198	художники ждал	unexpected	1	ждал
397	199	художники читают	expected	1	читают
398	199	художники читает	unexpected	1	читает
399	200	художники старые	expected	1	старые
400	200	художники старый	unexpected	1	старый
401	201	художники маленькие	expected	1	маленькие
402	201	художники маленький	unexpected	1	маленький
403	202	художники молодые	expected	1	молодые
404	202	художники молодой	unexpected	1	молодой
405	203	художники большие	expected	1	большие
406	203	художники большой	unexpected	1	большой
407	204	отцы говорят	expected	1	говорят
408	204	отцы говорит	unexpected	1	говорит
409	205	отцы ждали	expected	1	ждали
410	205	отцы ждал	unexpected	1	ждал
411	206	отцы читают	expected	1	читают
412	206	отцы читает	unexpected	1	читает
413	207	отцы старые	expected	1	старые
414	207	отцы старый	unexpected	1	старый
415	208	отцы маленькие	expected	1	маленькие
416	208	отцы маленький	unexpected	1	маленький
417	209	отцы молодые	expected	1	молодые
418	209	отцы молодой	unexpected	1	молодой
419	210	отцы большие	expected	1	большие
420	210	отцы большой	unexpected	1	большой
421	211	агент говорит	expected	1	говорит
422	211	агент говорят	unexpected	1	говорят
423	212	агент ждал	expected	1	ждал
424	212	агент ждали	unexpected	1	ждали
425	213	агент читает	expected	1	читает
426	213	агент читают	unexpected	1	читают
427	214	агент старый	expected	1	старый
428	214	агент старые	unexpected	1	старые
429	215	агент маленький	expected	1	маленький
430	215	агент маленькие	unexpected	1	маленькие
431	216	агент молодой	expected	1	молодой
432	216	агент молодые	unexpected	1	молодые
433	217	агент большой	expected	1	большой
434	217	агент большие	unexpected	1	большие
435	218	министр говорит	expected	1	говорит
436	218	министр говорят	unexpected	1	говорят
437	219	министр ждал	expected	1	ждал
438	219	министр ждали	unexpected	1	ждали
439	220	министр читает	expected	1	читает
440	220	министр читают	unexpected	1	читают
441	221	министр старый	expected	1	старый
442	221	министр старые	unexpected	1	старые
443	222	министр маленький	expected	1	маленький
444	222	министр маленькие	unexpected	1	маленькие
445	223	министр молодой	expected	1	молодой
446	223	министр молодые	unexpected	1	молодые
447	224	министр большой	expected	1	большой
448	224	министр большие	unexpected	1	большие
449	225	рабочий говорит	expected	1	говорит
450	225	рабочий говорят	unexpected	1	говорят
451	226	рабочий ждал	expected	1	ждал
452	226	рабочий ждали	unexpected	1	ждали
453	227	рабочий читает	expected	1	читает
454	227	рабочий читают	unexpected	1	читают
455	228	рабочий старый	expected	1	старый
456	228	рабочий старые	unexpected	1	старые
457	229	рабочий маленький	expected	1	маленький
458	229	рабочий маленькие	unexpected	1	маленькие
459	230	рабочий молодой	expected	1	молодой
460	230	рабочий молодые	unexpected	1	молодые
461	231	рабочий большой	expected	1	большой
462	231	рабочий большие	unexpected	1	большие
463	232	помощник говорит	expected	1	говорит
464	232	помощник говорят	unexpected	1	говорят
465	233	помощник ждал	expected	1	ждал
466	233	помощник ждали	unexpected	1	ждали
467	234	помощник читает	expected	1	читает
468	234	помощник читают	unexpected	1	читают
469	235	помощник старый	expected	1	старый
470	235	помощник старые	unexpected	1	старые
471	236	помощник маленький	expected	1	маленький
472	236	помощник маленькие	unexpected	1	маленькие
473	237	помощник молодой	expected	1	молодой
474	237	помощник молодые	unexpected	1	молодые
475	238	помощник большой	expected	1	большой
476	238	помощник большие	unexpected	1	большие
477	239	солдат говорит	expected	1	говорит
478	239	солдат говорят	unexpected	1	говорят
479	240	солдат ждал	expected	1	ждал
480	240	солдат ждали	unexpected	1	ждали
481	241	солдат читает	expected	1	читает
482	241	солдат читают	unexpected	1	читают
483	242	солдат старый	expected	1	старый
484	242	солдат старые	unexpected	1	старые
485	243	солдат маленький	expected	1	маленький
486	243	солдат маленькие	unexpected	1	маленькие
487	244	солдат молодой	expected	1	молодой
488	244	солдат молодые	unexpected	1	молодые
489	245	солдат большой	expected	1	большой
490	245	солдат большие	unexpected	1	большие
491	246	танцор говорит	expected	1	говорит
492	246	танцор говорят	unexpected	1	говорят
493	247	танцор ждал	expected	1	ждал
494	247	танцор ждали	unexpected	1	ждали
495	248	танцор читает	expected	1	читает
496	248	танцор читают	unexpected	1	читают
497	249	танцор старый	expected	1	старый
498	249	танцор старые	unexpected	1	старые
499	250	танцор маленький	expected	1	маленький
500	250	танцор маленькие	unexpected	1	маленькие
501	251	танцор молодой	expected	1	молодой
502	251	танцор молодые	unexpected	1	молодые
503	252	танцор большой	expected	1	большой
504	252	танцор большие	unexpected	1	большие
505	253	архитектор говорит	expected	1	говорит
506	253	архитектор говорят	unexpected	1	говорят
507	254	архитектор ждал	expected	1	ждал
508	254	архитектор ждали	unexpected	1	ждали
509	255	архитектор читает	expected	1	читает
510	255	архитектор читают	unexpected	1	читают
511	256	архитектор старый	expected	1	старый
512	256	архитектор старые	unexpected	1	старые
513	257	архитектор маленький	expected	1	маленький
514	257	архитектор маленькие	unexpected	1	маленькие
515	258	архитектор молодой	expected	1	молодой
516	258	архитектор молодые	unexpected	1	молодые
517	259	архитектор большой	expected	1	большой
518	259	архитектор большие	unexpected	1	большие
519	260	лидер говорит	expected	1	говорит
520	260	лидер говорят	unexpected	1	говорят
521	261	лидер ждал	expected	1	ждал
522	261	лидер ждали	unexpected	1	ждали
523	262	лидер читает	expected	1	читает
524	262	лидер читают	unexpected	1	читают
525	263	лидер старый	expected	1	старый
526	263	лидер старые	unexpected	1	старые
527	264	лидер маленький	expected	1	маленький
528	264	лидер маленькие	unexpected	1	маленькие
529	265	лидер молодой	expected	1	молодой
530	265	лидер молодые	unexpected	1	молодые
531	266	лидер большой	expected	1	большой
532	266	лидер большие	unexpected	1	большие
533	267	художник говорит	expected	1	говорит
534	267	художник говорят	unexpected	1	говорят
535	268	художник ждал	expected	1	ждал
536	268	художник ждали	unexpected	1	ждали
537	269	художник читает	expected	1	читает
538	269	художник читают	unexpected	1	читают
539	270	художник старый	expected	1	старый
540	270	художник старые	unexpected	1	старые
541	271	художник маленький	expected	1	маленький
542	271	художник маленькие	unexpected	1	маленькие
543	272	художник молодой	expected	1	молодой
544	272	художник молодые	unexpected	1	молодые
545	273	художник большой	expected	1	большой
546	273	художник большие	unexpected	1	большие
547	274	отец говорит	expected	1	говорит
548	274	отец говорят	unexpected	1	говорят
549	275	отец ждал	expected	1	ждал
550	275	отец ждали	unexpected	1	ждали
551	276	отец читает	expected	1	читает
552	276	отец читают	unexpected	1	читают
553	277	отец старый	expected	1	старый
554	277	отец старые	unexpected	1	старые
555	278	отец маленький	expected	1	маленький
556	278	отец маленькие	unexpected	1	маленькие
557	279	отец молодой	expected	1	молодой
558	279	отец молодые	unexpected	1	молодые
559	280	отец большой	expected	1	большой
560	280	отец большие	unexpected	1	большие
