sentid	pairid	sentence	comparison	ROI	word
1	1	ה מלצר דובר חמש שפות שונות ו דובר חמש שפות שונות	expected	7	דובר
2	1	ה מלצר דובר חמש שפות שונות ו דוברים חמש שפות שונות	unexpected	7	דוברים
3	2	ה מלצר דובר חמש שפות שונות ו אוהב לצפות ב תוכניות טלוויזיה	expected	7	אוהב
4	2	ה מלצר דובר חמש שפות שונות ו אוהבים לצפות ב תוכניות טלוויזיה	unexpected	7	אוהבים
5	3	ה מלצר דובר חמש שפות שונות ו גר ב מרכז ה עיר	expected	7	גר
6	3	ה מלצר דובר חמש שפות שונות ו גרים ב מרכז ה עיר	unexpected	7	גרים
7	4	ה מלצר דובר חמש שפות שונות ו משחק כדורגל עם חברים	expected	7	משחק
8	4	ה מלצר דובר חמש שפות שונות ו משחקים כדורגל עם חברים	unexpected	7	משחקים
9	5	ה מלצר דובר חמש שפות שונות ו כותב ב יומן מדי יום	expected	7	כותב
10	5	ה מלצר דובר חמש שפות שונות ו כותבים ב יומן מדי יום	unexpected	7	כותבים
11	6	ה מנהל דובר חמש שפות שונות ו דובר חמש שפות שונות	expected	7	דובר
12	6	ה מנהל דובר חמש שפות שונות ו דוברים חמש שפות שונות	unexpected	7	דוברים
13	7	ה מנהל דובר חמש שפות שונות ו אוהב לצפות ב תוכניות טלוויזיה	expected	7	אוהב
14	7	ה מנהל דובר חמש שפות שונות ו אוהבים לצפות ב תוכניות טלוויזיה	unexpected	7	אוהבים
15	8	ה מנהל דובר חמש שפות שונות ו גר ב מרכז ה עיר	expected	7	גר
16	8	ה מנהל דובר חמש שפות שונות ו גרים ב מרכז ה עיר	unexpected	7	גרים
17	9	ה מנהל דובר חמש שפות שונות ו משחק כדורגל עם חברים	expected	7	משחק
18	9	ה מנהל דובר חמש שפות שונות ו משחקים כדורגל עם חברים	unexpected	7	משחקים
19	10	ה מנהל דובר חמש שפות שונות ו כותב ב יומן מדי יום	expected	7	כותב
20	10	ה מנהל דובר חמש שפות שונות ו כותבים ב יומן מדי יום	unexpected	7	כותבים
21	11	ה חקלאי דובר חמש שפות שונות ו דובר חמש שפות שונות	expected	7	דובר
22	11	ה חקלאי דובר חמש שפות שונות ו דוברים חמש שפות שונות	unexpected	7	דוברים
23	12	ה חקלאי דובר חמש שפות שונות ו אוהב לצפות ב תוכניות טלוויזיה	expected	7	אוהב
24	12	ה חקלאי דובר חמש שפות שונות ו אוהבים לצפות ב תוכניות טלוויזיה	unexpected	7	אוהבים
25	13	ה חקלאי דובר חמש שפות שונות ו גר ב מרכז ה עיר	expected	7	גר
26	13	ה חקלאי דובר חמש שפות שונות ו גרים ב מרכז ה עיר	unexpected	7	גרים
27	14	ה חקלאי דובר חמש שפות שונות ו משחק כדורגל עם חברים	expected	7	משחק
28	14	ה חקלאי דובר חמש שפות שונות ו משחקים כדורגל עם חברים	unexpected	7	משחקים
29	15	ה חקלאי דובר חמש שפות שונות ו כותב ב יומן מדי יום	expected	7	כותב
30	15	ה חקלאי דובר חמש שפות שונות ו כותבים ב יומן מדי יום	unexpected	7	כותבים
31	16	ה רופא דובר חמש שפות שונות ו דובר חמש שפות שונות	expected	7	דובר
32	16	ה רופא דובר חמש שפות שונות ו דוברים חמש שפות שונות	unexpected	7	דוברים
33	17	ה רופא דובר חמש שפות שונות ו אוהב לצפות ב תוכניות טלוויזיה	expected	7	אוהב
34	17	ה רופא דובר חמש שפות שונות ו אוהבים לצפות ב תוכניות טלוויזיה	unexpected	7	אוהבים
35	18	ה רופא דובר חמש שפות שונות ו גר ב מרכז ה עיר	expected	7	גר
36	18	ה רופא דובר חמש שפות שונות ו גרים ב מרכז ה עיר	unexpected	7	גרים
37	19	ה רופא דובר חמש שפות שונות ו משחק כדורגל עם חברים	expected	7	משחק
38	19	ה רופא דובר חמש שפות שונות ו משחקים כדורגל עם חברים	unexpected	7	משחקים
