sentid	pairid	sentence	comparison	ROI	word
1	1	l' auteur déménage et déménage	expected	4	déménage
2	1	l' auteur déménage et déménagent	unexpected	4	déménagent
3	2	l' auteur déménage et parle	expected	4	parle
4	2	l' auteur déménage et parlent	unexpected	4	parlent
5	3	l' auteur déménage et retourne	expected	4	retourne
6	3	l' auteur déménage et retournent	unexpected	4	retournent
7	4	l' auteur déménage et est petit	expected	4	est
8	4	l' auteur déménage et sont petits	unexpected	4	sont
9	5	l' auteur déménage et est grand	expected	4	est
10	5	l' auteur déménage et sont grands	unexpected	4	sont
11	6	l' auteur déménage et est vieux	expected	4	est
12	6	l' auteur déménage et sont vieux	unexpected	4	sont
13	7	l' auteur déménage et est jeune	expected	4	est
14	7	l' auteur déménage et sont jeunes	unexpected	4	sont
15	8	le directeur déménage et déménage	expected	4	déménage
16	8	le directeur déménage et déménagent	unexpected	4	déménagent
17	9	le directeur déménage et parle	expected	4	parle
18	9	le directeur déménage et parlent	unexpected	4	parlent
19	10	le directeur déménage et retourne	expected	4	retourne
20	10	le directeur déménage et retournent	unexpected	4	retournent
21	11	le directeur déménage et est petit	expected	4	est
22	11	le directeur déménage et sont petits	unexpected	4	sont
23	12	le directeur déménage et est grand	expected	4	est
24	12	le directeur déménage et sont grands	unexpected	4	sont
25	13	le directeur déménage et est vieux	expected	4	est
26	13	le directeur déménage et sont vieux	unexpected	4	sont
27	14	le directeur déménage et est jeune	expected	4	est
28	14	le directeur déménage et sont jeunes	unexpected	4	sont
29	15	l' agriculteur déménage et déménage	expected	4	déménage
30	15	l' agriculteur déménage et déménagent	unexpected	4	déménagent
31	16	l' agriculteur déménage et parle	expected	4	parle
32	16	l' agriculteur déménage et parlent	unexpected	4	parlent
33	17	l' agriculteur déménage et retourne	expected	4	retourne
34	17	l' agriculteur déménage et retournent	unexpected	4	retournent
35	18	l' agriculteur déménage et est petit	expected	4	est
36	18	l' agriculteur déménage et sont petits	unexpected	4	sont
37	19	l' agriculteur déménage et est grand	expected	4	est
38	19	l' agriculteur déménage et sont grands	unexpected	4	sont
39	20	l' agriculteur déménage et est vieux	expected	4	est
40	20	l' agriculteur déménage et sont vieux	unexpected	4	sont
41	21	l' agriculteur déménage et est jeune	expected	4	est
42	21	l' agriculteur déménage et sont jeunes	unexpected	4	sont
43	22	le chirurgien déménage et déménage	expected	4	déménage
44	22	le chirurgien déménage et déménagent	unexpected	4	déménagent
45	23	le chirurgien déménage et parle	expected	4	parle
46	23	le chirurgien déménage et parlent	unexpected	4	parlent
47	24	le chirurgien déménage et retourne	expected	4	retourne
48	24	le chirurgien déménage et retournent	unexpected	4	retournent
49	25	le chirurgien déménage et est petit	expected	4	est
50	25	le chirurgien déménage et sont petits	unexpected	4	sont
51	26	le chirurgien déménage et est grand	expected	4	est
52	26	le chirurgien déménage et sont grands	unexpected	4	sont
53	27	le chirurgien déménage et est vieux	expected	4	est
54	27	le chirurgien déménage et sont vieux	unexpected	4	sont
55	28	le chirurgien déménage et est jeune	expected	4	est
56	28	le chirurgien déménage et sont jeunes	unexpected	4	sont
57	29	le sénateur déménage et déménage	expected	4	déménage
58	29	le sénateur déménage et déménagent	unexpected	4	déménagent
59	30	le sénateur déménage et parle	expected	4	parle
60	30	le sénateur déménage et parlent	unexpected	4	parlent
61	31	le sénateur déménage et retourne	expected	4	retourne
62	31	le sénateur déménage et retournent	unexpected	4	retournent
63	32	le sénateur déménage et est petit	expected	4	est
64	32	le sénateur déménage et sont petits	unexpected	4	sont
65	33	le sénateur déménage et est grand	expected	4	est
66	33	le sénateur déménage et sont grands	unexpected	4	sont
67	34	le sénateur déménage et est vieux	expected	4	est
68	34	le sénateur déménage et sont vieux	unexpected	4	sont
69	35	le sénateur déménage et est jeune	expected	4	est
70	35	le sénateur déménage et sont jeunes	unexpected	4	sont
71	36	le professeur déménage et déménage	expected	4	déménage
72	36	le professeur déménage et déménagent	unexpected	4	déménagent
73	37	le professeur déménage et parle	expected	4	parle
74	37	le professeur déménage et parlent	unexpected	4	parlent
75	38	le professeur déménage et retourne	expected	4	retourne
76	38	le professeur déménage et retournent	unexpected	4	retournent
77	39	le professeur déménage et est petit	expected	4	est
78	39	le professeur déménage et sont petits	unexpected	4	sont
79	40	le professeur déménage et est grand	expected	4	est
80	40	le professeur déménage et sont grands	unexpected	4	sont
81	41	le professeur déménage et est vieux	expected	4	est
82	41	le professeur déménage et sont vieux	unexpected	4	sont
83	42	le professeur déménage et est jeune	expected	4	est
84	42	le professeur déménage et sont jeunes	unexpected	4	sont
85	43	le client déménage et déménage	expected	4	déménage
86	43	le client déménage et déménagent	unexpected	4	déménagent
87	44	le client déménage et parle	expected	4	parle
88	44	le client déménage et parlent	unexpected	4	parlent
89	45	le client déménage et retourne	expected	4	retourne
90	45	le client déménage et retournent	unexpected	4	retournent
91	46	le client déménage et est petit	expected	4	est
92	46	le client déménage et sont petits	unexpected	4	sont
93	47	le client déménage et est grand	expected	4	est
94	47	le client déménage et sont grands	unexpected	4	sont
95	48	le client déménage et est vieux	expected	4	est
96	48	le client déménage et sont vieux	unexpected	4	sont
97	49	le client déménage et est jeune	expected	4	est
98	49	le client déménage et sont jeunes	unexpected	4	sont
99	50	l' officier déménage et déménage	expected	4	déménage
100	50	l' officier déménage et déménagent	unexpected	4	déménagent
101	51	l' officier déménage et parle	expected	4	parle
102	51	l' officier déménage et parlent	unexpected	4	parlent
103	52	l' officier déménage et retourne	expected	4	retourne
104	52	l' officier déménage et retournent	unexpected	4	retournent
105	53	l' officier déménage et est petit	expected	4	est
106	53	l' officier déménage et sont petits	unexpected	4	sont
107	54	l' officier déménage et est grand	expected	4	est
108	54	l' officier déménage et sont grands	unexpected	4	sont
109	55	l' officier déménage et est vieux	expected	4	est
110	55	l' officier déménage et sont vieux	unexpected	4	sont
111	56	l' officier déménage et est jeune	expected	4	est
112	56	l' officier déménage et sont jeunes	unexpected	4	sont
113	57	le pilote déménage et déménage	expected	4	déménage
114	57	le pilote déménage et déménagent	unexpected	4	déménagent
115	58	le pilote déménage et parle	expected	4	parle
116	58	le pilote déménage et parlent	unexpected	4	parlent
117	59	le pilote déménage et retourne	expected	4	retourne
118	59	le pilote déménage et retournent	unexpected	4	retournent
119	60	le pilote déménage et est petit	expected	4	est
120	60	le pilote déménage et sont petits	unexpected	4	sont
121	61	le pilote déménage et est grand	expected	4	est
