sentid	pairid	sentence	comparison	ROI
1	1	the authors laugh and swim	expected	4
2	1	the authors laugh and swims	unexpected	4
3	2	the authors laugh and smile	expected	4
4	2	the authors laugh and smiles	unexpected	4
5	3	the authors laugh and are tall	expected	4
6	3	the authors laugh and is tall	unexpected	4
7	4	the authors laugh and are old	expected	4
8	4	the authors laugh and is old	unexpected	4
9	5	the authors laugh and are young	expected	4
10	5	the authors laugh and is young	unexpected	4
11	6	the authors laugh and are short	expected	4
12	6	the authors laugh and is short	unexpected	4
13	7	the authors swim and laugh	expected	4
14	7	the authors swim and laughs	unexpected	4
15	8	the authors swim and smile	expected	4
16	8	the authors swim and smiles	unexpected	4
17	9	the authors swim and are tall	expected	4
18	9	the authors swim and is tall	unexpected	4
19	10	the authors swim and are old	expected	4
20	10	the authors swim and is old	unexpected	4
21	11	the authors swim and are young	expected	4
22	11	the authors swim and is young	unexpected	4
23	12	the authors swim and are short	expected	4
24	12	the authors swim and is short	unexpected	4
25	13	the authors smile and laugh	expected	4
26	13	the authors smile and laughs	unexpected	4
27	14	the authors smile and swim	expected	4
28	14	the authors smile and swims	unexpected	4
29	15	the authors smile and are tall	expected	4
30	15	the authors smile and is tall	unexpected	4
31	16	the authors smile and are old	expected	4
32	16	the authors smile and is old	unexpected	4
33	17	the authors smile and are young	expected	4
34	17	the authors smile and is young	unexpected	4
35	18	the authors smile and are short	expected	4
36	18	the authors smile and is short	unexpected	4
37	19	the authors are tall and laugh	expected	5
38	19	the authors are tall and laughs	unexpected	5
39	20	the authors are tall and swim	expected	5
40	20	the authors are tall and swims	unexpected	5
41	21	the authors are tall and smile	expected	5
42	21	the authors are tall and smiles	unexpected	5
43	22	the authors are tall and are old	expected	5
44	22	the authors are tall and is old	unexpected	5
45	23	the authors are tall and are young	expected	5
46	23	the authors are tall and is young	unexpected	5
47	24	the authors are tall and are short	expected	5
48	24	the authors are tall and is short	unexpected	5
49	25	the authors are old and laugh	expected	5
50	25	the authors are old and laughs	unexpected	5
51	26	the authors are old and swim	expected	5
