sentid	pairid	sentence	comparison	ROI	word
1	1	автор говорит и говорит	expected	3	говорит
2	1	автор говорит и говорят	unexpected	3	говорят
3	2	автор говорит и ждал	expected	3	ждал
4	2	автор говорит и ждали	unexpected	3	ждали
5	3	автор говорит и читает	expected	3	читает
6	3	автор говорит и читают	unexpected	3	читают
7	4	автор говорит и старый	expected	3	старый
8	4	автор говорит и старые	unexpected	3	старые
9	5	автор говорит и маленький	expected	3	маленький
10	5	автор говорит и маленькие	unexpected	3	маленькие
11	6	автор говорит и молодой	expected	3	молодой
12	6	автор говорит и молодые	unexpected	3	молодые
13	7	автор говорит и большой	expected	3	большой
14	7	автор говорит и большие	unexpected	3	большие
15	8	режиссёр говорит и говорит	expected	3	говорит
16	8	режиссёр говорит и говорят	unexpected	3	говорят
17	9	режиссёр говорит и ждал	expected	3	ждал
18	9	режиссёр говорит и ждали	unexpected	3	ждали
19	10	режиссёр говорит и читает	expected	3	читает
20	10	режиссёр говорит и читают	unexpected	3	читают
21	11	режиссёр говорит и старый	expected	3	старый
22	11	режиссёр говорит и старые	unexpected	3	старые
23	12	режиссёр говорит и маленький	expected	3	маленький
24	12	режиссёр говорит и маленькие	unexpected	3	маленькие
25	13	режиссёр говорит и молодой	expected	3	молодой
26	13	режиссёр говорит и молодые	unexpected	3	молодые
27	14	режиссёр говорит и большой	expected	3	большой
28	14	режиссёр говорит и большие	unexpected	3	большие
29	15	фермер говорит и говорит	expected	3	говорит
30	15	фермер говорит и говорят	unexpected	3	говорят
31	16	фермер говорит и ждал	expected	3	ждал
32	16	фермер говорит и ждали	unexpected	3	ждали
33	17	фермер говорит и читает	expected	3	читает
34	17	фермер говорит и читают	unexpected	3	читают
35	18	фермер говорит и старый	expected	3	старый
36	18	фермер говорит и старые	unexpected	3	старые
37	19	фермер говорит и маленький	expected	3	маленький
38	19	фермер говорит и маленькие	unexpected	3	маленькие
39	20	фермер говорит и молодой	expected	3	молодой
40	20	фермер говорит и молодые	unexpected	3	молодые
41	21	фермер говорит и большой	expected	3	большой
42	21	фермер говорит и большие	unexpected	3	большие
43	22	врач говорит и говорит	expected	3	говорит
44	22	врач говорит и говорят	unexpected	3	говорят
45	23	врач говорит и ждал	expected	3	ждал
46	23	врач говорит и ждали	unexpected	3	ждали
47	24	врач говорит и читает	expected	3	читает
48	24	врач говорит и читают	unexpected	3	читают
49	25	врач говорит и старый	expected	3	старый
50	25	врач говорит и старые	unexpected	3	старые
51	26	врач говорит и маленький	expected	3	маленький
52	26	врач говорит и маленькие	unexpected	3	маленькие
53	27	врач говорит и молодой	expected	3	молодой
54	27	врач говорит и молодые	unexpected	3	молодые
55	28	врач говорит и большой	expected	3	большой
56	28	врач говорит и большие	unexpected	3	большие
57	29	сенатор говорит и говорит	expected	3	говорит
58	29	сенатор говорит и говорят	unexpected	3	говорят
59	30	сенатор говорит и ждал	expected	3	ждал
60	30	сенатор говорит и ждали	unexpected	3	ждали
61	31	сенатор говорит и читает	expected	3	читает
62	31	сенатор говорит и читают	unexpected	3	читают
63	32	сенатор говорит и старый	expected	3	старый
64	32	сенатор говорит и старые	unexpected	3	старые
65	33	сенатор говорит и маленький	expected	3	маленький
66	33	сенатор говорит и маленькие	unexpected	3	маленькие
67	34	сенатор говорит и молодой	expected	3	молодой
68	34	сенатор говорит и молодые	unexpected	3	молодые
69	35	сенатор говорит и большой	expected	3	большой
70	35	сенатор говорит и большие	unexpected	3	большие
71	36	профессор говорит и говорит	expected	3	говорит
72	36	профессор говорит и говорят	unexpected	3	говорят
73	37	профессор говорит и ждал	expected	3	ждал
74	37	профессор говорит и ждали	unexpected	3	ждали
75	38	профессор говорит и читает	expected	3	читает
76	38	профессор говорит и читают	unexpected	3	читают
77	39	профессор говорит и старый	expected	3	старый
78	39	профессор говорит и старые	unexpected	3	старые
79	40	профессор говорит и маленький	expected	3	маленький
80	40	профессор говорит и маленькие	unexpected	3	маленькие
81	41	профессор говорит и молодой	expected	3	молодой
82	41	профессор говорит и молодые	unexpected	3	молодые
83	42	профессор говорит и большой	expected	3	большой
84	42	профессор говорит и большие	unexpected	3	большие
85	43	клиент говорит и говорит	expected	3	говорит
86	43	клиент говорит и говорят	unexpected	3	говорят
87	44	клиент говорит и ждал	expected	3	ждал
88	44	клиент говорит и ждали	unexpected	3	ждали
89	45	клиент говорит и читает	expected	3	читает
90	45	клиент говорит и читают	unexpected	3	читают
91	46	клиент говорит и старый	expected	3	старый
92	46	клиент говорит и старые	unexpected	3	старые
93	47	клиент говорит и маленький	expected	3	маленький
94	47	клиент говорит и маленькие	unexpected	3	маленькие
95	48	клиент говорит и молодой	expected	3	молодой
96	48	клиент говорит и молодые	unexpected	3	молодые
97	49	клиент говорит и большой	expected	3	большой
98	49	клиент говорит и большие	unexpected	3	большие
99	50	офицер говорит и говорит	expected	3	говорит
100	50	офицер говорит и говорят	unexpected	3	говорят
101	51	офицер говорит и ждал	expected	3	ждал
102	51	офицер говорит и ждали	unexpected	3	ждали
103	52	офицер говорит и читает	expected	3	читает
104	52	офицер говорит и читают	unexpected	3	читают
105	53	офицер говорит и старый	expected	3	старый
106	53	офицер говорит и старые	unexpected	3	старые
107	54	офицер говорит и маленький	expected	3	маленький
108	54	офицер говорит и маленькие	unexpected	3	маленькие
109	55	офицер говорит и молодой	expected	3	молодой
110	55	офицер говорит и молодые	unexpected	3	молодые
111	56	офицер говорит и большой	expected	3	большой
112	56	офицер говорит и большие	unexpected	3	большие
113	57	пилот говорит и говорит	expected	3	говорит
114	57	пилот говорит и говорят	unexpected	3	говорят
115	58	пилот говорит и ждал	expected	3	ждал
116	58	пилот говорит и ждали	unexpected	3	ждали
117	59	пилот говорит и читает	expected	3	читает
118	59	пилот говорит и читают	unexpected	3	читают
119	60	пилот говорит и старый	expected	3	старый
120	60	пилот говорит и старые	unexpected	3	старые
121	61	пилот говорит и маленький	expected	3	маленький
122	61	пилот говорит и маленькие	unexpected	3	маленькие
123	62	пилот говорит и молодой	expected	3	молодой
124	62	пилот говорит и молодые	unexpected	3	молодые
125	63	пилот говорит и большой	expected	3	большой
126	63	пилот говорит и большие	unexpected	3	большие
127	64	ученик говорит и говорит	expected	3	говорит
128	64	ученик говорит и говорят	unexpected	3	говорят
129	65	ученик говорит и ждал	expected	3	ждал
130	65	ученик говорит и ждали	unexpected	3	ждали
131	66	ученик говорит и читает	expected	3	читает
132	66	ученик говорит и читают	unexpected	3	читают
133	67	ученик говорит и старый	expected	3	старый
134	67	ученик говорит и старые	unexpected	3	старые
135	68	ученик говорит и маленький	expected	3	маленький
136	68	ученик говорит и маленькие	unexpected	3	маленькие
137	69	ученик говорит и молодой	expected	3	молодой
138	69	ученик говорит и молодые	unexpected	3	молодые
139	70	ученик говорит и большой	expected	3	большой
140	70	ученик говорит и большие	unexpected	3	большие
141	71	автор ждал и говорит	expected	3	говорит
142	71	автор ждал и говорят	unexpected	3	говорят
143	72	автор ждал и ждал	expected	3	ждал
