sentid	pairid	sentence	comparison	ROI	word
1	1	ה מלצר רוקד ו מבשל	expected	4	מבשל
2	1	ה מלצר רוקד ו מבשלים	unexpected	4	מבשלים
3	2	ה מלצר רוקד ו נוסע	expected	4	נוסע
4	2	ה מלצר רוקד ו נוסעים	unexpected	4	נוסעים
5	3	ה מלצר רוקד ו אוכל	expected	4	אוכל
6	3	ה מלצר רוקד ו אוכלים	unexpected	4	אוכלים
7	4	ה מלצר רוקד ו שותה	expected	4	שותה
8	4	ה מלצר רוקד ו שותים	unexpected	4	שותים
9	5	ה מלצר רוקד ו שוחה	expected	4	שוחה
10	5	ה מלצר רוקד ו שוחים	unexpected	4	שוחים
11	6	ה מלצר רוקד ו חי	expected	4	חי
12	6	ה מלצר רוקד ו חיים	unexpected	4	חיים
13	7	ה מלצר רוקד ו צוחק	expected	4	צוחק
14	7	ה מלצר רוקד ו צוחקים	unexpected	4	צוחקים
15	8	ה מנהל רוקד ו מבשל	expected	4	מבשל
16	8	ה מנהל רוקד ו מבשלים	unexpected	4	מבשלים
17	9	ה מנהל רוקד ו נוסע	expected	4	נוסע
18	9	ה מנהל רוקד ו נוסעים	unexpected	4	נוסעים
19	10	ה מנהל רוקד ו אוכל	expected	4	אוכל
20	10	ה מנהל רוקד ו אוכלים	unexpected	4	אוכלים
21	11	ה מנהל רוקד ו שותה	expected	4	שותה
22	11	ה מנהל רוקד ו שותים	unexpected	4	שותים
23	12	ה מנהל רוקד ו שוחה	expected	4	שוחה
24	12	ה מנהל רוקד ו שוחים	unexpected	4	שוחים
25	13	ה מנהל רוקד ו חי	expected	4	חי
26	13	ה מנהל רוקד ו חיים	unexpected	4	חיים
27	14	ה מנהל רוקד ו צוחק	expected	4	צוחק
28	14	ה מנהל רוקד ו צוחקים	unexpected	4	צוחקים
29	15	ה חקלאי רוקד ו מבשל	expected	4	מבשל
30	15	ה חקלאי רוקד ו מבשלים	unexpected	4	מבשלים
31	16	ה חקלאי רוקד ו נוסע	expected	4	נוסע
32	16	ה חקלאי רוקד ו נוסעים	unexpected	4	נוסעים
33	17	ה חקלאי רוקד ו אוכל	expected	4	אוכל
34	17	ה חקלאי רוקד ו אוכלים	unexpected	4	אוכלים
35	18	ה חקלאי רוקד ו שותה	expected	4	שותה
36	18	ה חקלאי רוקד ו שותים	unexpected	4	שותים
37	19	ה חקלאי רוקד ו שוחה	expected	4	שוחה
38	19	ה חקלאי רוקד ו שוחים	unexpected	4	שוחים
39	20	ה חקלאי רוקד ו חי	expected	4	חי
40	20	ה חקלאי רוקד ו חיים	unexpected	4	חיים
41	21	ה חקלאי רוקד ו צוחק	expected	4	צוחק
42	21	ה חקלאי רוקד ו צוחקים	unexpected	4	צוחקים
43	22	ה רופא רוקד ו מבשל	expected	4	מבשל
44	22	ה רופא רוקד ו מבשלים	unexpected	4	מבשלים
45	23	ה רופא רוקד ו נוסע	expected	4	נוסע
46	23	ה רופא רוקד ו נוסעים	unexpected	4	נוסעים
47	24	ה רופא רוקד ו אוכל	expected	4	אוכל
48	24	ה רופא רוקד ו אוכלים	unexpected	4	אוכלים
49	25	ה רופא רוקד ו שותה	expected	4	שותה
50	25	ה רופא רוקד ו שותים	unexpected	4	שותים
51	26	ה רופא רוקד ו שוחה	expected	4	שוחה
52	26	ה רופא רוקד ו שוחים	unexpected	4	שוחים
53	27	ה רופא רוקד ו חי	expected	4	חי
54	27	ה רופא רוקד ו חיים	unexpected	4	חיים
55	28	ה רופא רוקד ו צוחק	expected	4	צוחק
56	28	ה רופא רוקד ו צוחקים	unexpected	4	צוחקים
57	29	ה טבח רוקד ו מבשל	expected	4	מבשל
58	29	ה טבח רוקד ו מבשלים	unexpected	4	מבשלים
59	30	ה טבח רוקד ו נוסע	expected	4	נוסע
60	30	ה טבח רוקד ו נוסעים	unexpected	4	נוסעים
61	31	ה טבח רוקד ו אוכל	expected	4	אוכל
62	31	ה טבח רוקד ו אוכלים	unexpected	4	אוכלים
63	32	ה טבח רוקד ו שותה	expected	4	שותה
64	32	ה טבח רוקד ו שותים	unexpected	4	שותים
65	33	ה טבח רוקד ו שוחה	expected	4	שוחה
66	33	ה טבח רוקד ו שוחים	unexpected	4	שוחים
67	34	ה טבח רוקד ו חי	expected	4	חי
68	34	ה טבח רוקד ו חיים	unexpected	4	חיים
69	35	ה טבח רוקד ו צוחק	expected	4	צוחק
70	35	ה טבח רוקד ו צוחקים	unexpected	4	צוחקים
71	36	ה נהג רוקד ו מבשל	expected	4	מבשל
72	36	ה נהג רוקד ו מבשלים	unexpected	4	מבשלים
73	37	ה נהג רוקד ו נוסע	expected	4	נוסע
74	37	ה נהג רוקד ו נוסעים	unexpected	4	נוסעים
75	38	ה נהג רוקד ו אוכל	expected	4	אוכל
76	38	ה נהג רוקד ו אוכלים	unexpected	4	אוכלים
77	39	ה נהג רוקד ו שותה	expected	4	שותה
78	39	ה נהג רוקד ו שותים	unexpected	4	שותים
79	40	ה נהג רוקד ו שוחה	expected	4	שוחה
80	40	ה נהג רוקד ו שוחים	unexpected	4	שוחים
81	41	ה נהג רוקד ו חי	expected	4	חי
82	41	ה נהג רוקד ו חיים	unexpected	4	חיים
83	42	ה נהג רוקד ו צוחק	expected	4	צוחק
84	42	ה נהג רוקד ו צוחקים	unexpected	4	צוחקים
85	43	ה חייל רוקד ו מבשל	expected	4	מבשל
86	43	ה חייל רוקד ו מבשלים	unexpected	4	מבשלים
87	44	ה חייל רוקד ו נוסע	expected	4	נוסע
88	44	ה חייל רוקד ו נוסעים	unexpected	4	נוסעים
89	45	ה חייל רוקד ו אוכל	expected	4	אוכל
90	45	ה חייל רוקד ו אוכלים	unexpected	4	אוכלים
91	46	ה חייל רוקד ו שותה	expected	4	שותה
92	46	ה חייל רוקד ו שותים	unexpected	4	שותים
93	47	ה חייל רוקד ו שוחה	expected	4	שוחה
94	47	ה חייל רוקד ו שוחים	unexpected	4	שוחים
95	48	ה חייל רוקד ו חי	expected	4	חי
96	48	ה חייל רוקד ו חיים	unexpected	4	חיים
97	49	ה חייל רוקד ו צוחק	expected	4	צוחק
98	49	ה חייל רוקד ו צוחקים	unexpected	4	צוחקים
99	50	ה קצין רוקד ו מבשל	expected	4	מבשל
100	50	ה קצין רוקד ו מבשלים	unexpected	4	מבשלים
101	51	ה קצין רוקד ו נוסע	expected	4	נוסע
102	51	ה קצין רוקד ו נוסעים	unexpected	4	נוסעים
103	52	ה קצין רוקד ו אוכל	expected	4	אוכל
104	52	ה קצין רוקד ו אוכלים	unexpected	4	אוכלים
105	53	ה קצין רוקד ו שותה	expected	4	שותה
106	53	ה קצין רוקד ו שותים	unexpected	4	שותים
107	54	ה קצין רוקד ו שוחה	expected	4	שוחה
108	54	ה קצין רוקד ו שוחים	unexpected	4	שוחים
109	55	ה קצין רוקד ו חי	expected	4	חי
110	55	ה קצין רוקד ו חיים	unexpected	4	חיים
111	56	ה קצין רוקד ו צוחק	expected	4	צוחק
112	56	ה קצין רוקד ו צוחקים	unexpected	4	צוחקים
113	57	ה טייס רוקד ו מבשל	expected	4	מבשל
114	57	ה טייס רוקד ו מבשלים	unexpected	4	מבשלים
115	58	ה טייס רוקד ו נוסע	expected	4	נוסע
116	58	ה טייס רוקד ו נוסעים	unexpected	4	נוסעים
117	59	ה טייס רוקד ו אוכל	expected	4	אוכל
118	59	ה טייס רוקד ו אוכלים	unexpected	4	אוכלים
119	60	ה טייס רוקד ו שותה	expected	4	שותה
120	60	ה טייס רוקד ו שותים	unexpected	4	שותים
121	61	ה טייס רוקד ו שוחה	expected	4	שוחה
122	61	ה טייס רוקד ו שוחים	unexpected	4	שוחים
123	62	ה טייס רוקד ו חי	expected	4	חי
124	62	ה טייס רוקד ו חיים	unexpected	4	חיים
125	63	ה טייס רוקד ו צוחק	expected	4	צוחק
126	63	ה טייס רוקד ו צוחקים	unexpected	4	צוחקים
127	64	ה יועץ רוקד ו מבשל	expected	4	מבשל
128	64	ה יועץ רוקד ו מבשלים	unexpected	4	מבשלים
129	65	ה יועץ רוקד ו נוסע	expected	4	נוסע
130	65	ה יועץ רוקד ו נוסעים	unexpected	4	נוסעים
131	66	ה יועץ רוקד ו אוכל	expected	4	אוכל
132	66	ה יועץ רוקד ו אוכלים	unexpected	4	אוכלים
133	67	ה יועץ רוקד ו שותה	expected	4	שותה
134	67	ה יועץ רוקד ו שותים	unexpected	4	שותים
135	68	ה יועץ רוקד ו שוחה	expected	4	שוחה
136	68	ה יועץ רוקד ו שוחים	unexpected	4	שוחים
137	69	ה יועץ רוקד ו חי	expected	4	חי
138	69	ה יועץ רוקד ו חיים	unexpected	4	חיים
139	70	ה יועץ רוקד ו צוחק	expected	4	צוחק
140	70	ה יועץ רוקד ו צוחקים	unexpected	4	צוחקים
141	71	ה מלצר נוסע ו מבשל	expected	4	מבשל
142	71	ה מלצר נוסע ו מבשלים	unexpected	4	מבשלים
143	72	ה מלצר נוסע ו נוסע	expected	4	נוסע
144	72	ה מלצר נוסע ו נוסעים	unexpected	4	נוסעים
145	73	ה מלצר נוסע ו אוכל	expected	4	אוכל
146	73	ה מלצר נוסע ו אוכלים	unexpected	4	אוכלים
147	74	ה מלצר נוסע ו שותה	expected	4	שותה
148	74	ה מלצר נוסע ו שותים	unexpected	4	שותים
149	75	ה מלצר נוסע ו שוחה	expected	4	שוחה
150	75	ה מלצר נוסע ו שוחים	unexpected	4	שוחים
151	76	ה מלצר נוסע ו חי	expected	4	חי
152	76	ה מלצר נוסע ו חיים	unexpected	4	חיים
153	77	ה מלצר נוסע ו צוחק	expected	4	צוחק
154	77	ה מלצר נוסע ו צוחקים	unexpected	4	צוחקים
155	78	ה מנהל נוסע ו מבשל	expected	4	מבשל
156	78	ה מנהל נוסע ו מבשלים	unexpected	4	מבשלים
157	79	ה מנהל נוסע ו נוסע	expected	4	נוסע
158	79	ה מנהל נוסע ו נוסעים	unexpected	4	נוסעים
159	80	ה מנהל נוסע ו אוכל	expected	4	אוכל
160	80	ה מנהל נוסע ו אוכלים	unexpected	4	אוכלים
161	81	ה מנהל נוסע ו שותה	expected	4	שותה
162	81	ה מנהל נוסע ו שותים	unexpected	4	שותים
163	82	ה מנהל נוסע ו שוחה	expected	4	שוחה
164	82	ה מנהל נוסע ו שוחים	unexpected	4	שוחים
165	83	ה מנהל נוסע ו חי	expected	4	חי
166	83	ה מנהל נוסע ו חיים	unexpected	4	חיים
167	84	ה מנהל נוסע ו צוחק	expected	4	צוחק
168	84	ה מנהל נוסע ו צוחקים	unexpected	4	צוחקים
169	85	ה חקלאי נוסע ו מבשל	expected	4	מבשל
170	85	ה חקלאי נוסע ו מבשלים	unexpected	4	מבשלים
171	86	ה חקלאי נוסע ו נוסע	expected	4	נוסע
172	86	ה חקלאי נוסע ו נוסעים	unexpected	4	נוסעים
173	87	ה חקלאי נוסע ו אוכל	expected	4	אוכל
174	87	ה חקלאי נוסע ו אוכלים	unexpected	4	אוכלים
175	88	ה חקלאי נוסע ו שותה	expected	4	שותה
176	88	ה חקלאי נוסע ו שותים	unexpected	4	שותים
177	89	ה חקלאי נוסע ו שוחה	expected	4	שוחה
178	89	ה חקלאי נוסע ו שוחים	unexpected	4	שוחים
179	90	ה חקלאי נוסע ו חי	expected	4	חי
180	90	ה חקלאי נוסע ו חיים	unexpected	4	חיים
181	91	ה חקלאי נוסע ו צוחק	expected	4	צוחק
182	91	ה חקלאי נוסע ו צוחקים	unexpected	4	צוחקים
183	92	ה רופא נוסע ו מבשל	expected	4	מבשל
184	92	ה רופא נוסע ו מבשלים	unexpected	4	מבשלים
185	93	ה רופא נוסע ו נוסע	expected	4	נוסע
186	93	ה רופא נוסע ו נוסעים	unexpected	4	נוסעים
187	94	ה רופא נוסע ו אוכל	expected	4	אוכל
188	94	ה רופא נוסע ו אוכלים	unexpected	4	אוכלים
189	95	ה רופא נוסע ו שותה	expected	4	שותה
190	95	ה רופא נוסע ו שותים	unexpected	4	שותים
191	96	ה רופא נוסע ו שוחה	expected	4	שוחה
192	96	ה רופא נוסע ו שוחים	unexpected	4	שוחים
193	97	ה רופא נוסע ו חי	expected	4	חי
194	97	ה רופא נוסע ו חיים	unexpected	4	חיים
195	98	ה רופא נוסע ו צוחק	expected	4	צוחק
196	98	ה רופא נוסע ו צוחקים	unexpected	4	צוחקים
197	99	ה טבח נוסע ו מבשל	expected	4	מבשל
198	99	ה טבח נוסע ו מבשלים	unexpected	4	מבשלים
199	100	ה טבח נוסע ו נוסע	expected	4	נוסע
200	100	ה טבח נוסע ו נוסעים	unexpected	4	נוסעים
201	101	ה טבח נוסע ו אוכל	expected	4	אוכל
202	101	ה טבח נוסע ו אוכלים	unexpected	4	אוכלים
203	102	ה טבח נוסע ו שותה	expected	4	שותה
204	102	ה טבח נוסע ו שותים	unexpected	4	שותים
205	103	ה טבח נוסע ו שוחה	expected	4	שוחה
206	103	ה טבח נוסע ו שוחים	unexpected	4	שוחים
207	104	ה טבח נוסע ו חי	expected	4	חי
208	104	ה טבח נוסע ו חיים	unexpected	4	חיים
209	105	ה טבח נוסע ו צוחק	expected	4	צוחק
