sentid	pairid	sentence	comparison	ROI	word
1	1	die Schriftsteller , die die Wächter mögen , schwimmen	expected	6	mögen
2	1	die Schriftsteller , die die Wächter mag , schwimmen	unexpected	6	mag
3	2	die Schriftsteller , die die Wächter vermeiden , schwimmen	expected	6	vermeiden
4	2	die Schriftsteller , die die Wächter vermeidet , schwimmen	unexpected	6	vermeidet
5	3	die Schriftsteller , die die Wächter verehren , schwimmen	expected	6	verehren
6	3	die Schriftsteller , die die Wächter verehrt , schwimmen	unexpected	6	verehrt
7	4	die Schriftsteller , die die Wächter hassen , schwimmen	expected	6	hassen
8	4	die Schriftsteller , die die Wächter hasst , schwimmen	unexpected	6	hasst
9	5	die Direktoren , die die Wächter mögen , schwimmen	expected	6	mögen
10	5	die Direktoren , die die Wächter mag , schwimmen	unexpected	6	mag
11	6	die Direktoren , die die Wächter vermeiden , schwimmen	expected	6	vermeiden
12	6	die Direktoren , die die Wächter vermeidet , schwimmen	unexpected	6	vermeidet
13	7	die Direktoren , die die Wächter verehren , schwimmen	expected	6	verehren
14	7	die Direktoren , die die Wächter verehrt , schwimmen	unexpected	6	verehrt
15	8	die Direktoren , die die Wächter hassen , schwimmen	expected	6	hassen
16	8	die Direktoren , die die Wächter hasst , schwimmen	unexpected	6	hasst
17	9	die Bauern , die die Wächter mögen , schwimmen	expected	6	mögen
18	9	die Bauern , die die Wächter mag , schwimmen	unexpected	6	mag
19	10	die Bauern , die die Wächter vermeiden , schwimmen	expected	6	vermeiden
20	10	die Bauern , die die Wächter vermeidet , schwimmen	unexpected	6	vermeidet
21	11	die Bauern , die die Wächter verehren , schwimmen	expected	6	verehren
22	11	die Bauern , die die Wächter verehrt , schwimmen	unexpected	6	verehrt
23	12	die Bauern , die die Wächter hassen , schwimmen	expected	6	hassen
24	12	die Bauern , die die Wächter hasst , schwimmen	unexpected	6	hasst
25	13	die Chirurgen , die die Wächter mögen , schwimmen	expected	6	mögen
26	13	die Chirurgen , die die Wächter mag , schwimmen	unexpected	6	mag
27	14	die Chirurgen , die die Wächter vermeiden , schwimmen	expected	6	vermeiden
28	14	die Chirurgen , die die Wächter vermeidet , schwimmen	unexpected	6	vermeidet
29	15	die Chirurgen , die die Wächter verehren , schwimmen	expected	6	verehren
30	15	die Chirurgen , die die Wächter verehrt , schwimmen	unexpected	6	verehrt
31	16	die Chirurgen , die die Wächter hassen , schwimmen	expected	6	hassen
32	16	die Chirurgen , die die Wächter hasst , schwimmen	unexpected	6	hasst
33	17	die Senatoren , die die Wächter mögen , schwimmen	expected	6	mögen
34	17	die Senatoren , die die Wächter mag , schwimmen	unexpected	6	mag
35	18	die Senatoren , die die Wächter vermeiden , schwimmen	expected	6	vermeiden
36	18	die Senatoren , die die Wächter vermeidet , schwimmen	unexpected	6	vermeidet
37	19	die Senatoren , die die Wächter verehren , schwimmen	expected	6	verehren
38	19	die Senatoren , die die Wächter verehrt , schwimmen	unexpected	6	verehrt
39	20	die Senatoren , die die Wächter hassen , schwimmen	expected	6	hassen
40	20	die Senatoren , die die Wächter hasst , schwimmen	unexpected	6	hasst
41	21	die Lehrer , die die Wächter mögen , schwimmen	expected	6	mögen
42	21	die Lehrer , die die Wächter mag , schwimmen	unexpected	6	mag
43	22	die Lehrer , die die Wächter vermeiden , schwimmen	expected	6	vermeiden
44	22	die Lehrer , die die Wächter vermeidet , schwimmen	unexpected	6	vermeidet
45	23	die Lehrer , die die Wächter verehren , schwimmen	expected	6	verehren
46	23	die Lehrer , die die Wächter verehrt , schwimmen	unexpected	6	verehrt
47	24	die Lehrer , die die Wächter hassen , schwimmen	expected	6	hassen
48	24	die Lehrer , die die Wächter hasst , schwimmen	unexpected	6	hasst
49	25	die Kunden , die die Wächter mögen , schwimmen	expected	6	mögen
50	25	die Kunden , die die Wächter mag , schwimmen	unexpected	6	mag
51	26	die Kunden , die die Wächter vermeiden , schwimmen	expected	6	vermeiden
52	26	die Kunden , die die Wächter vermeidet , schwimmen	unexpected	6	vermeidet
53	27	die Kunden , die die Wächter verehren , schwimmen	expected	6	verehren
54	27	die Kunden , die die Wächter verehrt , schwimmen	unexpected	6	verehrt
55	28	die Kunden , die die Wächter hassen , schwimmen	expected	6	hassen
56	28	die Kunden , die die Wächter hasst , schwimmen	unexpected	6	hasst
57	29	die Polizisten , die die Wächter mögen , schwimmen	expected	6	mögen
58	29	die Polizisten , die die Wächter mag , schwimmen	unexpected	6	mag
59	30	die Polizisten , die die Wächter vermeiden , schwimmen	expected	6	vermeiden
60	30	die Polizisten , die die Wächter vermeidet , schwimmen	unexpected	6	vermeidet
61	31	die Polizisten , die die Wächter verehren , schwimmen	expected	6	verehren
62	31	die Polizisten , die die Wächter verehrt , schwimmen	unexpected	6	verehrt
63	32	die Polizisten , die die Wächter hassen , schwimmen	expected	6	hassen
64	32	die Polizisten , die die Wächter hasst , schwimmen	unexpected	6	hasst
65	33	die Piloten , die die Wächter mögen , schwimmen	expected	6	mögen
66	33	die Piloten , die die Wächter mag , schwimmen	unexpected	6	mag
67	34	die Piloten , die die Wächter vermeiden , schwimmen	expected	6	vermeiden
68	34	die Piloten , die die Wächter vermeidet , schwimmen	unexpected	6	vermeidet
69	35	die Piloten , die die Wächter verehren , schwimmen	expected	6	verehren
70	35	die Piloten , die die Wächter verehrt , schwimmen	unexpected	6	verehrt
71	36	die Piloten , die die Wächter hassen , schwimmen	expected	6	hassen
72	36	die Piloten , die die Wächter hasst , schwimmen	unexpected	6	hasst
73	37	die Berater , die die Wächter mögen , schwimmen	expected	6	mögen
74	37	die Berater , die die Wächter mag , schwimmen	unexpected	6	mag
75	38	die Berater , die die Wächter vermeiden , schwimmen	expected	6	vermeiden
76	38	die Berater , die die Wächter vermeidet , schwimmen	unexpected	6	vermeidet
77	39	die Berater , die die Wächter verehren , schwimmen	expected	6	verehren
78	39	die Berater , die die Wächter verehrt , schwimmen	unexpected	6	verehrt
79	40	die Berater , die die Wächter hassen , schwimmen	expected	6	hassen
80	40	die Berater , die die Wächter hasst , schwimmen	unexpected	6	hasst
81	41	die Schriftsteller , die die Minister mögen , schwimmen	expected	6	mögen
82	41	die Schriftsteller , die die Minister mag , schwimmen	unexpected	6	mag
83	42	die Schriftsteller , die die Minister vermeiden , schwimmen	expected	6	vermeiden
84	42	die Schriftsteller , die die Minister vermeidet , schwimmen	unexpected	6	vermeidet
85	43	die Schriftsteller , die die Minister verehren , schwimmen	expected	6	verehren
86	43	die Schriftsteller , die die Minister verehrt , schwimmen	unexpected	6	verehrt
87	44	die Schriftsteller , die die Minister hassen , schwimmen	expected	6	hassen
88	44	die Schriftsteller , die die Minister hasst , schwimmen	unexpected	6	hasst
89	45	die Direktoren , die die Minister mögen , schwimmen	expected	6	mögen
90	45	die Direktoren , die die Minister mag , schwimmen	unexpected	6	mag
91	46	die Direktoren , die die Minister vermeiden , schwimmen	expected	6	vermeiden
92	46	die Direktoren , die die Minister vermeidet , schwimmen	unexpected	6	vermeidet
93	47	die Direktoren , die die Minister verehren , schwimmen	expected	6	verehren
94	47	die Direktoren , die die Minister verehrt , schwimmen	unexpected	6	verehrt
95	48	die Direktoren , die die Minister hassen , schwimmen	expected	6	hassen
96	48	die Direktoren , die die Minister hasst , schwimmen	unexpected	6	hasst
97	49	die Bauern , die die Minister mögen , schwimmen	expected	6	mögen
98	49	die Bauern , die die Minister mag , schwimmen	unexpected	6	mag
99	50	die Bauern , die die Minister vermeiden , schwimmen	expected	6	vermeiden
100	50	die Bauern , die die Minister vermeidet , schwimmen	unexpected	6	vermeidet
101	51	die Bauern , die die Minister verehren , schwimmen	expected	6	verehren
102	51	die Bauern , die die Minister verehrt , schwimmen	unexpected	6	verehrt
103	52	die Bauern , die die Minister hassen , schwimmen	expected	6	hassen
104	52	die Bauern , die die Minister hasst , schwimmen	unexpected	6	hasst
105	53	die Chirurgen , die die Minister mögen , schwimmen	expected	6	mögen
106	53	die Chirurgen , die die Minister mag , schwimmen	unexpected	6	mag
107	54	die Chirurgen , die die Minister vermeiden , schwimmen	expected	6	vermeiden
108	54	die Chirurgen , die die Minister vermeidet , schwimmen	unexpected	6	vermeidet
109	55	die Chirurgen , die die Minister verehren , schwimmen	expected	6	verehren
110	55	die Chirurgen , die die Minister verehrt , schwimmen	unexpected	6	verehrt
111	56	die Chirurgen , die die Minister hassen , schwimmen	expected	6	hassen
112	56	die Chirurgen , die die Minister hasst , schwimmen	unexpected	6	hasst
113	57	die Senatoren , die die Minister mögen , schwimmen	expected	6	mögen
114	57	die Senatoren , die die Minister mag , schwimmen	unexpected	6	mag
115	58	die Senatoren , die die Minister vermeiden , schwimmen	expected	6	vermeiden
116	58	die Senatoren , die die Minister vermeidet , schwimmen	unexpected	6	vermeidet
117	59	die Senatoren , die die Minister verehren , schwimmen	expected	6	verehren
118	59	die Senatoren , die die Minister verehrt , schwimmen	unexpected	6	verehrt
119	60	die Senatoren , die die Minister hassen , schwimmen	expected	6	hassen
120	60	die Senatoren , die die Minister hasst , schwimmen	unexpected	6	hasst
121	61	die Lehrer , die die Minister mögen , schwimmen	expected	6	mögen
122	61	die Lehrer , die die Minister mag , schwimmen	unexpected	6	mag
123	62	die Lehrer , die die Minister vermeiden , schwimmen	expected	6	vermeiden
124	62	die Lehrer , die die Minister vermeidet , schwimmen	unexpected	6	vermeidet
125	63	die Lehrer , die die Minister verehren , schwimmen	expected	6	verehren
126	63	die Lehrer , die die Minister verehrt , schwimmen	unexpected	6	verehrt
127	64	die Lehrer , die die Minister hassen , schwimmen	expected	6	hassen
128	64	die Lehrer , die die Minister hasst , schwimmen	unexpected	6	hasst
129	65	die Kunden , die die Minister mögen , schwimmen	expected	6	mögen
130	65	die Kunden , die die Minister mag , schwimmen	unexpected	6	mag
131	66	die Kunden , die die Minister vermeiden , schwimmen	expected	6	vermeiden
132	66	die Kunden , die die Minister vermeidet , schwimmen	unexpected	6	vermeidet
133	67	die Kunden , die die Minister verehren , schwimmen	expected	6	verehren
134	67	die Kunden , die die Minister verehrt , schwimmen	unexpected	6	verehrt
135	68	die Kunden , die die Minister hassen , schwimmen	expected	6	hassen
136	68	die Kunden , die die Minister hasst , schwimmen	unexpected	6	hasst
137	69	die Polizisten , die die Minister mögen , schwimmen	expected	6	mögen
138	69	die Polizisten , die die Minister mag , schwimmen	unexpected	6	mag
139	70	die Polizisten , die die Minister vermeiden , schwimmen	expected	6	vermeiden
140	70	die Polizisten , die die Minister vermeidet , schwimmen	unexpected	6	vermeidet
141	71	die Polizisten , die die Minister verehren , schwimmen	expected	6	verehren
142	71	die Polizisten , die die Minister verehrt , schwimmen	unexpected	6	verehrt
143	72	die Polizisten , die die Minister hassen , schwimmen	expected	6	hassen
144	72	die Polizisten , die die Minister hasst , schwimmen	unexpected	6	hasst
145	73	die Piloten , die die Minister mögen , schwimmen	expected	6	mögen
146	73	die Piloten , die die Minister mag , schwimmen	unexpected	6	mag
147	74	die Piloten , die die Minister vermeiden , schwimmen	expected	6	vermeiden
148	74	die Piloten , die die Minister vermeidet , schwimmen	unexpected	6	vermeidet
149	75	die Piloten , die die Minister verehren , schwimmen	expected	6	verehren
150	75	die Piloten , die die Minister verehrt , schwimmen	unexpected	6	verehrt
151	76	die Piloten , die die Minister hassen , schwimmen	expected	6	hassen
152	76	die Piloten , die die Minister hasst , schwimmen	unexpected	6	hasst
153	77	die Berater , die die Minister mögen , schwimmen	expected	6	mögen
154	77	die Berater , die die Minister mag , schwimmen	unexpected	6	mag
155	78	die Berater , die die Minister vermeiden , schwimmen	expected	6	vermeiden
156	78	die Berater , die die Minister vermeidet , schwimmen	unexpected	6	vermeidet
157	79	die Berater , die die Minister verehren , schwimmen	expected	6	verehren
158	79	die Berater , die die Minister verehrt , schwimmen	unexpected	6	verehrt
159	80	die Berater , die die Minister hassen , schwimmen	expected	6	hassen
