sentid	pairid	sentence	comparison	ROI
1	1	the authors that the guard likes hurt themselves	expected	7
2	1	the authors that the guard likes hurt himself	unexpected	7
3	2	the authors that the guard likes hurt themselves	expected	7
4	2	the authors that the guard likes hurt herself	unexpected	7
5	3	the authors that the guard likes injured themselves	expected	7
6	3	the authors that the guard likes injured himself	unexpected	7
7	4	the authors that the guard likes injured themselves	expected	7
8	4	the authors that the guard likes injured herself	unexpected	7
9	5	the authors that the guard likes congratulated themselves	expected	7
10	5	the authors that the guard likes congratulated himself	unexpected	7
11	6	the authors that the guard likes congratulated themselves	expected	7
12	6	the authors that the guard likes congratulated herself	unexpected	7
13	7	the authors that the guard likes embarrassed themselves	expected	7
14	7	the authors that the guard likes embarrassed himself	unexpected	7
15	8	the authors that the guard likes embarrassed themselves	expected	7
16	8	the authors that the guard likes embarrassed herself	unexpected	7
17	9	the authors that the guard likes disguised themselves	expected	7
18	9	the authors that the guard likes disguised himself	unexpected	7
19	10	the authors that the guard likes disguised themselves	expected	7
20	10	the authors that the guard likes disguised herself	unexpected	7
21	11	the authors that the guard likes hated themselves	expected	7
22	11	the authors that the guard likes hated himself	unexpected	7
23	12	the authors that the guard likes hated themselves	expected	7
24	12	the authors that the guard likes hated herself	unexpected	7
25	13	the authors that the guard likes doubted themselves	expected	7
26	13	the authors that the guard likes doubted himself	unexpected	7
27	14	the authors that the guard likes doubted themselves	expected	7
28	14	the authors that the guard likes doubted herself	unexpected	7
29	15	the authors that the guard admires hurt themselves	expected	7
30	15	the authors that the guard admires hurt himself	unexpected	7
31	16	the authors that the guard admires hurt themselves	expected	7
32	16	the authors that the guard admires hurt herself	unexpected	7
33	17	the authors that the guard admires injured themselves	expected	7
34	17	the authors that the guard admires injured himself	unexpected	7
35	18	the authors that the guard admires injured themselves	expected	7
36	18	the authors that the guard admires injured herself	unexpected	7
37	19	the authors that the guard admires congratulated themselves	expected	7
38	19	the authors that the guard admires congratulated himself	unexpected	7
39	20	the authors that the guard admires congratulated themselves	expected	7
40	20	the authors that the guard admires congratulated herself	unexpected	7
41	21	the authors that the guard admires embarrassed themselves	expected	7
42	21	the authors that the guard admires embarrassed himself	unexpected	7
43	22	the authors that the guard admires embarrassed themselves	expected	7
44	22	the authors that the guard admires embarrassed herself	unexpected	7
45	23	the authors that the guard admires disguised themselves	expected	7
46	23	the authors that the guard admires disguised himself	unexpected	7
47	24	the authors that the guard admires disguised themselves	expected	7
48	24	the authors that the guard admires disguised herself	unexpected	7
49	25	the authors that the guard admires hated themselves	expected	7
50	25	the authors that the guard admires hated himself	unexpected	7
51	26	the authors that the guard admires hated themselves	expected	7
52	26	the authors that the guard admires hated herself	unexpected	7
53	27	the authors that the guard admires doubted themselves	expected	7
54	27	the authors that the guard admires doubted himself	unexpected	7
55	28	the authors that the guard admires doubted themselves	expected	7
56	28	the authors that the guard admires doubted herself	unexpected	7
57	29	the authors that the guard hates hurt themselves	expected	7
58	29	the authors that the guard hates hurt himself	unexpected	7
59	30	the authors that the guard hates hurt themselves	expected	7
60	30	the authors that the guard hates hurt herself	unexpected	7
61	31	the authors that the guard hates injured themselves	expected	7
62	31	the authors that the guard hates injured himself	unexpected	7
63	32	the authors that the guard hates injured themselves	expected	7
64	32	the authors that the guard hates injured herself	unexpected	7
65	33	the authors that the guard hates congratulated themselves	expected	7
66	33	the authors that the guard hates congratulated himself	unexpected	7
67	34	the authors that the guard hates congratulated themselves	expected	7
68	34	the authors that the guard hates congratulated herself	unexpected	7
69	35	the authors that the guard hates embarrassed themselves	expected	7
70	35	the authors that the guard hates embarrassed himself	unexpected	7
71	36	the authors that the guard hates embarrassed themselves	expected	7
72	36	the authors that the guard hates embarrassed herself	unexpected	7
73	37	the authors that the guard hates disguised themselves	expected	7
74	37	the authors that the guard hates disguised himself	unexpected	7
75	38	the authors that the guard hates disguised themselves	expected	7
76	38	the authors that the guard hates disguised herself	unexpected	7
77	39	the authors that the guard hates hated themselves	expected	7
78	39	the authors that the guard hates hated himself	unexpected	7
79	40	the authors that the guard hates hated themselves	expected	7
80	40	the authors that the guard hates hated herself	unexpected	7
81	41	the authors that the guard hates doubted themselves	expected	7
82	41	the authors that the guard hates doubted himself	unexpected	7
83	42	the authors that the guard hates doubted themselves	expected	7
84	42	the authors that the guard hates doubted herself	unexpected	7
85	43	the authors that the guard loves hurt themselves	expected	7
86	43	the authors that the guard loves hurt himself	unexpected	7
87	44	the authors that the guard loves hurt themselves	expected	7
88	44	the authors that the guard loves hurt herself	unexpected	7
89	45	the authors that the guard loves injured themselves	expected	7
90	45	the authors that the guard loves injured himself	unexpected	7
91	46	the authors that the guard loves injured themselves	expected	7
92	46	the authors that the guard loves injured herself	unexpected	7
93	47	the authors that the guard loves congratulated themselves	expected	7
94	47	the authors that the guard loves congratulated himself	unexpected	7
95	48	the authors that the guard loves congratulated themselves	expected	7
96	48	the authors that the guard loves congratulated herself	unexpected	7
97	49	the authors that the guard loves embarrassed themselves	expected	7
98	49	the authors that the guard loves embarrassed himself	unexpected	7
99	50	the authors that the guard loves embarrassed themselves	expected	7
100	50	the authors that the guard loves embarrassed herself	unexpected	7
101	51	the authors that the guard loves disguised themselves	expected	7
102	51	the authors that the guard loves disguised himself	unexpected	7
103	52	the authors that the guard loves disguised themselves	expected	7
104	52	the authors that the guard loves disguised herself	unexpected	7
105	53	the authors that the guard loves hated themselves	expected	7
106	53	the authors that the guard loves hated himself	unexpected	7
107	54	the authors that the guard loves hated themselves	expected	7
108	54	the authors that the guard loves hated herself	unexpected	7
109	55	the authors that the guard loves doubted themselves	expected	7
110	55	the authors that the guard loves doubted himself	unexpected	7
111	56	the authors that the guard loves doubted themselves	expected	7
112	56	the authors that the guard loves doubted herself	unexpected	7
113	57	the authors that the chef likes hurt themselves	expected	7
114	57	the authors that the chef likes hurt himself	unexpected	7
115	58	the authors that the chef likes hurt themselves	expected	7
116	58	the authors that the chef likes hurt herself	unexpected	7
117	59	the authors that the chef likes injured themselves	expected	7
118	59	the authors that the chef likes injured himself	unexpected	7
119	60	the authors that the chef likes injured themselves	expected	7
120	60	the authors that the chef likes injured herself	unexpected	7
121	61	the authors that the chef likes congratulated themselves	expected	7
122	61	the authors that the chef likes congratulated himself	unexpected	7
123	62	the authors that the chef likes congratulated themselves	expected	7
124	62	the authors that the chef likes congratulated herself	unexpected	7
125	63	the authors that the chef likes embarrassed themselves	expected	7
126	63	the authors that the chef likes embarrassed himself	unexpected	7
127	64	the authors that the chef likes embarrassed themselves	expected	7
128	64	the authors that the chef likes embarrassed herself	unexpected	7
129	65	the authors that the chef likes disguised themselves	expected	7
130	65	the authors that the chef likes disguised himself	unexpected	7
131	66	the authors that the chef likes disguised themselves	expected	7
132	66	the authors that the chef likes disguised herself	unexpected	7
133	67	the authors that the chef likes hated themselves	expected	7
134	67	the authors that the chef likes hated himself	unexpected	7
135	68	the authors that the chef likes hated themselves	expected	7
136	68	the authors that the chef likes hated herself	unexpected	7
137	69	the authors that the chef likes doubted themselves	expected	7
138	69	the authors that the chef likes doubted himself	unexpected	7
139	70	the authors that the chef likes doubted themselves	expected	7
140	70	the authors that the chef likes doubted herself	unexpected	7
141	71	the authors that the chef admires hurt themselves	expected	7
142	71	the authors that the chef admires hurt himself	unexpected	7
143	72	the authors that the chef admires hurt themselves	expected	7
144	72	the authors that the chef admires hurt herself	unexpected	7
145	73	the authors that the chef admires injured themselves	expected	7
146	73	the authors that the chef admires injured himself	unexpected	7
147	74	the authors that the chef admires injured themselves	expected	7
148	74	the authors that the chef admires injured herself	unexpected	7
149	75	the authors that the chef admires congratulated themselves	expected	7
150	75	the authors that the chef admires congratulated himself	unexpected	7
151	76	the authors that the chef admires congratulated themselves	expected	7
152	76	the authors that the chef admires congratulated herself	unexpected	7
153	77	the authors that the chef admires embarrassed themselves	expected	7
154	77	the authors that the chef admires embarrassed himself	unexpected	7
155	78	the authors that the chef admires embarrassed themselves	expected	7
156	78	the authors that the chef admires embarrassed herself	unexpected	7
157	79	the authors that the chef admires disguised themselves	expected	7
158	79	the authors that the chef admires disguised himself	unexpected	7
159	80	the authors that the chef admires disguised themselves	expected	7
160	80	the authors that the chef admires disguised herself	unexpected	7
161	81	the authors that the chef admires hated themselves	expected	7
162	81	the authors that the chef admires hated himself	unexpected	7
163	82	the authors that the chef admires hated themselves	expected	7
164	82	the authors that the chef admires hated herself	unexpected	7
165	83	the authors that the chef admires doubted themselves	expected	7
166	83	the authors that the chef admires doubted himself	unexpected	7
167	84	the authors that the chef admires doubted themselves	expected	7
168	84	the authors that the chef admires doubted herself	unexpected	7
169	85	the authors that the chef hates hurt themselves	expected	7
170	85	the authors that the chef hates hurt himself	unexpected	7
171	86	the authors that the chef hates hurt themselves	expected	7
172	86	the authors that the chef hates hurt herself	unexpected	7
173	87	the authors that the chef hates injured themselves	expected	7
174	87	the authors that the chef hates injured himself	unexpected	7
175	88	the authors that the chef hates injured themselves	expected	7
176	88	the authors that the chef hates injured herself	unexpected	7
177	89	the authors that the chef hates congratulated themselves	expected	7
178	89	the authors that the chef hates congratulated himself	unexpected	7
179	90	the authors that the chef hates congratulated themselves	expected	7
180	90	the authors that the chef hates congratulated herself	unexpected	7
181	91	the authors that the chef hates embarrassed themselves	expected	7
182	91	the authors that the chef hates embarrassed himself	unexpected	7
183	92	the authors that the chef hates embarrassed themselves	expected	7
184	92	the authors that the chef hates embarrassed herself	unexpected	7
185	93	the authors that the chef hates disguised themselves	expected	7
186	93	the authors that the chef hates disguised himself	unexpected	7
187	94	the authors that the chef hates disguised themselves	expected	7
188	94	the authors that the chef hates disguised herself	unexpected	7
189	95	the authors that the chef hates hated themselves	expected	7
190	95	the authors that the chef hates hated himself	unexpected	7
191	96	the authors that the chef hates hated themselves	expected	7
192	96	the authors that the chef hates hated herself	unexpected	7
193	97	the authors that the chef hates doubted themselves	expected	7
194	97	the authors that the chef hates doubted himself	unexpected	7
195	98	the authors that the chef hates doubted themselves	expected	7
196	98	the authors that the chef hates doubted herself	unexpected	7
197	99	the authors that the chef loves hurt themselves	expected	7
198	99	the authors that the chef loves hurt himself	unexpected	7
199	100	the authors that the chef loves hurt themselves	expected	7
200	100	the authors that the chef loves hurt herself	unexpected	7
201	101	the authors that the chef loves injured themselves	expected	7
202	101	the authors that the chef loves injured himself	unexpected	7
203	102	the authors that the chef loves injured themselves	expected	7
204	102	the authors that the chef loves injured herself	unexpected	7
205	103	the authors that the chef loves congratulated themselves	expected	7
