sentid	pairid	sentence	comparison	ROI	word
1	1	les auteurs sont vieux	expected	2	sont
2	1	les auteurs est vieux	unexpected	2	est
3	2	les auteurs sont jeunes	expected	2	sont
4	2	les auteurs est jeune	unexpected	2	est
5	3	les auteurs sont petits	expected	2	sont
6	3	les auteurs est petit	unexpected	2	est
7	4	les auteurs sont grands	expected	2	sont
8	4	les auteurs est grand	unexpected	2	est
9	5	les auteurs déménagent	expected	2	déménagent
10	5	les auteurs déménage	unexpected	2	déménage
11	6	les auteurs parlent	expected	2	parlent
12	6	les auteurs parle	unexpected	2	parle
13	7	les auteurs retournent	expected	2	retournent
14	7	les auteurs retourne	unexpected	2	retourne
15	8	les directeurs sont vieux	expected	2	sont
16	8	les directeurs est vieux	unexpected	2	est
17	9	les directeurs sont jeunes	expected	2	sont
18	9	les directeurs est jeune	unexpected	2	est
19	10	les directeurs sont petits	expected	2	sont
20	10	les directeurs est petit	unexpected	2	est
21	11	les directeurs sont grands	expected	2	sont
22	11	les directeurs est grand	unexpected	2	est
23	12	les directeurs déménagent	expected	2	déménagent
24	12	les directeurs déménage	unexpected	2	déménage
25	13	les directeurs parlent	expected	2	parlent
26	13	les directeurs parle	unexpected	2	parle
27	14	les directeurs retournent	expected	2	retournent
28	14	les directeurs retourne	unexpected	2	retourne
29	15	les agriculteurs sont vieux	expected	2	sont
30	15	les agriculteurs est vieux	unexpected	2	est
31	16	les agriculteurs sont jeunes	expected	2	sont
32	16	les agriculteurs est jeune	unexpected	2	est
33	17	les agriculteurs sont petits	expected	2	sont
34	17	les agriculteurs est petit	unexpected	2	est
35	18	les agriculteurs sont grands	expected	2	sont
36	18	les agriculteurs est grand	unexpected	2	est
37	19	les agriculteurs déménagent	expected	2	déménagent
38	19	les agriculteurs déménage	unexpected	2	déménage
39	20	les agriculteurs parlent	expected	2	parlent
40	20	les agriculteurs parle	unexpected	2	parle
41	21	les agriculteurs retournent	expected	2	retournent
42	21	les agriculteurs retourne	unexpected	2	retourne
43	22	les chirurgiens sont vieux	expected	2	sont
44	22	les chirurgiens est vieux	unexpected	2	est
45	23	les chirurgiens sont jeunes	expected	2	sont
46	23	les chirurgiens est jeune	unexpected	2	est
47	24	les chirurgiens sont petits	expected	2	sont
48	24	les chirurgiens est petit	unexpected	2	est
49	25	les chirurgiens sont grands	expected	2	sont
50	25	les chirurgiens est grand	unexpected	2	est
