sentid	pairid	sentence	comparison	ROI
1	1	the mechanics said the author hurt himself	expected	6
2	1	the mechanics said the author hurt themselves	unexpected	6
3	2	the mechanics said the author hurt herself	expected	6
4	2	the mechanics said the author hurt themselves	unexpected	6
5	3	the mechanics said the author injured himself	expected	6
6	3	the mechanics said the author injured themselves	unexpected	6
7	4	the mechanics said the author injured herself	expected	6
8	4	the mechanics said the author injured themselves	unexpected	6
9	5	the mechanics said the author congratulated himself	expected	6
10	5	the mechanics said the author congratulated themselves	unexpected	6
11	6	the mechanics said the author congratulated herself	expected	6
12	6	the mechanics said the author congratulated themselves	unexpected	6
13	7	the mechanics said the author embarrassed himself	expected	6
14	7	the mechanics said the author embarrassed themselves	unexpected	6
15	8	the mechanics said the author embarrassed herself	expected	6
16	8	the mechanics said the author embarrassed themselves	unexpected	6
17	9	the mechanics said the author disguised himself	expected	6
18	9	the mechanics said the author disguised themselves	unexpected	6
19	10	the mechanics said the author disguised herself	expected	6
20	10	the mechanics said the author disguised themselves	unexpected	6
21	11	the mechanics said the author hated himself	expected	6
22	11	the mechanics said the author hated themselves	unexpected	6
23	12	the mechanics said the author hated herself	expected	6
24	12	the mechanics said the author hated themselves	unexpected	6
25	13	the mechanics said the author doubted himself	expected	6
26	13	the mechanics said the author doubted themselves	unexpected	6
27	14	the mechanics said the author doubted herself	expected	6
28	14	the mechanics said the author doubted themselves	unexpected	6
29	15	the mechanics said the pilot hurt himself	expected	6
30	15	the mechanics said the pilot hurt themselves	unexpected	6
31	16	the mechanics said the pilot hurt herself	expected	6
32	16	the mechanics said the pilot hurt themselves	unexpected	6
33	17	the mechanics said the pilot injured himself	expected	6
34	17	the mechanics said the pilot injured themselves	unexpected	6
35	18	the mechanics said the pilot injured herself	expected	6
36	18	the mechanics said the pilot injured themselves	unexpected	6
37	19	the mechanics said the pilot congratulated himself	expected	6
38	19	the mechanics said the pilot congratulated themselves	unexpected	6
39	20	the mechanics said the pilot congratulated herself	expected	6
40	20	the mechanics said the pilot congratulated themselves	unexpected	6
41	21	the mechanics said the pilot embarrassed himself	expected	6
42	21	the mechanics said the pilot embarrassed themselves	unexpected	6
43	22	the mechanics said the pilot embarrassed herself	expected	6
44	22	the mechanics said the pilot embarrassed themselves	unexpected	6
45	23	the mechanics said the pilot disguised himself	expected	6
46	23	the mechanics said the pilot disguised themselves	unexpected	6
47	24	the mechanics said the pilot disguised herself	expected	6
48	24	the mechanics said the pilot disguised themselves	unexpected	6
49	25	the mechanics said the pilot hated himself	expected	6
50	25	the mechanics said the pilot hated themselves	unexpected	6
51	26	the mechanics said the pilot hated herself	expected	6
52	26	the mechanics said the pilot hated themselves	unexpected	6
53	27	the mechanics said the pilot doubted himself	expected	6
54	27	the mechanics said the pilot doubted themselves	unexpected	6
55	28	the mechanics said the pilot doubted herself	expected	6
56	28	the mechanics said the pilot doubted themselves	unexpected	6
57	29	the mechanics said the surgeon hurt himself	expected	6
58	29	the mechanics said the surgeon hurt themselves	unexpected	6
59	30	the mechanics said the surgeon hurt herself	expected	6
60	30	the mechanics said the surgeon hurt themselves	unexpected	6
61	31	the mechanics said the surgeon injured himself	expected	6
62	31	the mechanics said the surgeon injured themselves	unexpected	6
63	32	the mechanics said the surgeon injured herself	expected	6
64	32	the mechanics said the surgeon injured themselves	unexpected	6
65	33	the mechanics said the surgeon congratulated himself	expected	6
66	33	the mechanics said the surgeon congratulated themselves	unexpected	6
67	34	the mechanics said the surgeon congratulated herself	expected	6
68	34	the mechanics said the surgeon congratulated themselves	unexpected	6
69	35	the mechanics said the surgeon embarrassed himself	expected	6
70	35	the mechanics said the surgeon embarrassed themselves	unexpected	6
