sentid	pairid	sentence	comparison	ROI	word
1	1	ה מלצר רוקד	expected	2	רוקד
2	1	ה מלצר רוקדים	unexpected	2	רוקדים
3	2	ה מלצר נוסע	expected	2	נוסע
4	2	ה מלצר נוסעים	unexpected	2	נוסעים
5	3	ה מלצר רץ	expected	2	רץ
6	3	ה מלצר רצים	unexpected	2	רצים
7	4	ה מלצר ישן	expected	2	ישן
8	4	ה מלצר ישנים	unexpected	2	ישנים
9	5	ה מלצר שוחה	expected	2	שוחה
10	5	ה מלצר שוחים	unexpected	2	שוחים
11	6	ה מלצר חי	expected	2	חי
12	6	ה מלצר חיים	unexpected	2	חיים
13	7	ה מלצר צוחק	expected	2	צוחק
14	7	ה מלצר צוחקים	unexpected	2	צוחקים
15	8	ה מנהל רוקד	expected	2	רוקד
16	8	ה מנהל רוקדים	unexpected	2	רוקדים
17	9	ה מנהל נוסע	expected	2	נוסע
18	9	ה מנהל נוסעים	unexpected	2	נוסעים
19	10	ה מנהל רץ	expected	2	רץ
20	10	ה מנהל רצים	unexpected	2	רצים
21	11	ה מנהל ישן	expected	2	ישן
22	11	ה מנהל ישנים	unexpected	2	ישנים
23	12	ה מנהל שוחה	expected	2	שוחה
24	12	ה מנהל שוחים	unexpected	2	שוחים
25	13	ה מנהל חי	expected	2	חי
26	13	ה מנהל חיים	unexpected	2	חיים
27	14	ה מנהל צוחק	expected	2	צוחק
28	14	ה מנהל צוחקים	unexpected	2	צוחקים
29	15	ה חקלאי רוקד	expected	2	רוקד
30	15	ה חקלאי רוקדים	unexpected	2	רוקדים
31	16	ה חקלאי נוסע	expected	2	נוסע
32	16	ה חקלאי נוסעים	unexpected	2	נוסעים
33	17	ה חקלאי רץ	expected	2	רץ
34	17	ה חקלאי רצים	unexpected	2	רצים
35	18	ה חקלאי ישן	expected	2	ישן
36	18	ה חקלאי ישנים	unexpected	2	ישנים
37	19	ה חקלאי שוחה	expected	2	שוחה
38	19	ה חקלאי שוחים	unexpected	2	שוחים
39	20	ה חקלאי חי	expected	2	חי
40	20	ה חקלאי חיים	unexpected	2	חיים
41	21	ה חקלאי צוחק	expected	2	צוחק
42	21	ה חקלאי צוחקים	unexpected	2	צוחקים
43	22	ה רופא רוקד	expected	2	רוקד
44	22	ה רופא רוקדים	unexpected	2	רוקדים
45	23	ה רופא נוסע	expected	2	נוסע
46	23	ה רופא נוסעים	unexpected	2	נוסעים
47	24	ה רופא רץ	expected	2	רץ
48	24	ה רופא רצים	unexpected	2	רצים
49	25	ה רופא ישן	expected	2	ישן
50	25	ה רופא ישנים	unexpected	2	ישנים
51	26	ה רופא שוחה	expected	2	שוחה
52	26	ה רופא שוחים	unexpected	2	שוחים
53	27	ה רופא חי	expected	2	חי
54	27	ה רופא חיים	unexpected	2	חיים
55	28	ה רופא צוחק	expected	2	צוחק
56	28	ה רופא צוחקים	unexpected	2	צוחקים
57	29	ה טבח רוקד	expected	2	רוקד
58	29	ה טבח רוקדים	unexpected	2	רוקדים
59	30	ה טבח נוסע	expected	2	נוסע
60	30	ה טבח נוסעים	unexpected	2	נוסעים
61	31	ה טבח רץ	expected	2	רץ
62	31	ה טבח רצים	unexpected	2	רצים
63	32	ה טבח ישן	expected	2	ישן
64	32	ה טבח ישנים	unexpected	2	ישנים
65	33	ה טבח שוחה	expected	2	שוחה
66	33	ה טבח שוחים	unexpected	2	שוחים
67	34	ה טבח חי	expected	2	חי
68	34	ה טבח חיים	unexpected	2	חיים
69	35	ה טבח צוחק	expected	2	צוחק
70	35	ה טבח צוחקים	unexpected	2	צוחקים
71	36	ה נהג רוקד	expected	2	רוקד
72	36	ה נהג רוקדים	unexpected	2	רוקדים
73	37	ה נהג נוסע	expected	2	נוסע
74	37	ה נהג נוסעים	unexpected	2	נוסעים
75	38	ה נהג רץ	expected	2	רץ
76	38	ה נהג רצים	unexpected	2	רצים
77	39	ה נהג ישן	expected	2	ישן
78	39	ה נהג ישנים	unexpected	2	ישנים
79	40	ה נהג שוחה	expected	2	שוחה
80	40	ה נהג שוחים	unexpected	2	שוחים
81	41	ה נהג חי	expected	2	חי
82	41	ה נהג חיים	unexpected	2	חיים
83	42	ה נהג צוחק	expected	2	צוחק
84	42	ה נהג צוחקים	unexpected	2	צוחקים
85	43	ה חייל רוקד	expected	2	רוקד
86	43	ה חייל רוקדים	unexpected	2	רוקדים
87	44	ה חייל נוסע	expected	2	נוסע
88	44	ה חייל נוסעים	unexpected	2	נוסעים
89	45	ה חייל רץ	expected	2	רץ
90	45	ה חייל רצים	unexpected	2	רצים
91	46	ה חייל ישן	expected	2	ישן
92	46	ה חייל ישנים	unexpected	2	ישנים
93	47	ה חייל שוחה	expected	2	שוחה
94	47	ה חייל שוחים	unexpected	2	שוחים
95	48	ה חייל חי	expected	2	חי
96	48	ה חייל חיים	unexpected	2	חיים
97	49	ה חייל צוחק	expected	2	צוחק
98	49	ה חייל צוחקים	unexpected	2	צוחקים
99	50	ה קצין רוקד	expected	2	רוקד
100	50	ה קצין רוקדים	unexpected	2	רוקדים
101	51	ה קצין נוסע	expected	2	נוסע
102	51	ה קצין נוסעים	unexpected	2	נוסעים
103	52	ה קצין רץ	expected	2	רץ
104	52	ה קצין רצים	unexpected	2	רצים
105	53	ה קצין ישן	expected	2	ישן
106	53	ה קצין ישנים	unexpected	2	ישנים
107	54	ה קצין שוחה	expected	2	שוחה
108	54	ה קצין שוחים	unexpected	2	שוחים
109	55	ה קצין חי	expected	2	חי
110	55	ה קצין חיים	unexpected	2	חיים
111	56	ה קצין צוחק	expected	2	צוחק
112	56	ה קצין צוחקים	unexpected	2	צוחקים
113	57	ה טייס רוקד	expected	2	רוקד
114	57	ה טייס רוקדים	unexpected	2	רוקדים
115	58	ה טייס נוסע	expected	2	נוסע
116	58	ה טייס נוסעים	unexpected	2	נוסעים
