sentid	pairid	sentence	comparison	ROI
1	1	the author laughs	expected	2
2	1	the author laugh	unexpected	2
3	2	the author swims	expected	2
4	2	the author swim	unexpected	2
5	3	the author smiles	expected	2
6	3	the author smile	unexpected	2
7	4	the author is tall	expected	2
8	4	the author are tall	unexpected	2
9	5	the author is old	expected	2
10	5	the author are old	unexpected	2
11	6	the author is young	expected	2
12	6	the author are young	unexpected	2
13	7	the author is short	expected	2
14	7	the author are short	unexpected	2
15	8	the pilot laughs	expected	2
16	8	the pilot laugh	unexpected	2
17	9	the pilot swims	expected	2
18	9	the pilot swim	unexpected	2
19	10	the pilot smiles	expected	2
20	10	the pilot smile	unexpected	2
21	11	the pilot is tall	expected	2
22	11	the pilot are tall	unexpected	2
23	12	the pilot is old	expected	2
24	12	the pilot are old	unexpected	2
25	13	the pilot is young	expected	2
26	13	the pilot are young	unexpected	2
27	14	the pilot is short	expected	2
28	14	the pilot are short	unexpected	2
29	15	the surgeon laughs	expected	2
30	15	the surgeon laugh	unexpected	2
31	16	the surgeon swims	expected	2
32	16	the surgeon swim	unexpected	2
33	17	the surgeon smiles	expected	2
34	17	the surgeon smile	unexpected	2
35	18	the surgeon is tall	expected	2
36	18	the surgeon are tall	unexpected	2
37	19	the surgeon is old	expected	2
38	19	the surgeon are old	unexpected	2
39	20	the surgeon is young	expected	2
40	20	the surgeon are young	unexpected	2
41	21	the surgeon is short	expected	2
42	21	the surgeon are short	unexpected	2
43	22	the farmer laughs	expected	2
44	22	the farmer laugh	unexpected	2
45	23	the farmer swims	expected	2
46	23	the farmer swim	unexpected	2
47	24	the farmer smiles	expected	2
48	24	the farmer smile	unexpected	2
49	25	the farmer is tall	expected	2
50	25	the farmer are tall	unexpected	2
51	26	the farmer is old	expected	2
52	26	the farmer are old	unexpected	2
53	27	the farmer is young	expected	2
54	27	the farmer are young	unexpected	2
55	28	the farmer is short	expected	2
56	28	the farmer are short	unexpected	2
57	29	the manager laughs	expected	2
58	29	the manager laugh	unexpected	2
59	30	the manager swims	expected	2
60	30	the manager swim	unexpected	2
61	31	the manager smiles	expected	2
62	31	the manager smile	unexpected	2
63	32	the manager is tall	expected	2
64	32	the manager are tall	unexpected	2
65	33	the manager is old	expected	2
66	33	the manager are old	unexpected	2
67	34	the manager is young	expected	2
68	34	the manager are young	unexpected	2
69	35	the manager is short	expected	2
70	35	the manager are short	unexpected	2
71	36	the customer laughs	expected	2
72	36	the customer laugh	unexpected	2
73	37	the customer swims	expected	2
74	37	the customer swim	unexpected	2
75	38	the customer smiles	expected	2
76	38	the customer smile	unexpected	2
77	39	the customer is tall	expected	2
78	39	the customer are tall	unexpected	2
79	40	the customer is old	expected	2
80	40	the customer are old	unexpected	2
