sentid	pairid	sentence	comparison	ROI	word
1	1	der Schriftsteller schwimmt und schwimmt	expected	4	schwimmt
2	1	der Schriftsteller schwimmt und schwimmen	unexpected	4	schwimmen
3	2	der Schriftsteller schwimmt und lacht	expected	4	lacht
4	2	der Schriftsteller schwimmt und lachen	unexpected	4	lachen
5	3	der Schriftsteller schwimmt und spricht	expected	4	spricht
6	3	der Schriftsteller schwimmt und sprechen	unexpected	4	sprechen
7	4	der Schriftsteller schwimmt und ist klein	expected	4	ist
8	4	der Schriftsteller schwimmt und sind klein	unexpected	4	sind
9	5	der Schriftsteller schwimmt und ist groß	expected	4	ist
10	5	der Schriftsteller schwimmt und sind groß	unexpected	4	sind
11	6	der Schriftsteller schwimmt und ist alt	expected	4	ist
12	6	der Schriftsteller schwimmt und sind alt	unexpected	4	sind
13	7	der Schriftsteller schwimmt und ist jung	expected	4	ist
14	7	der Schriftsteller schwimmt und sind jung	unexpected	4	sind
15	8	der Direktor schwimmt und schwimmt	expected	4	schwimmt
16	8	der Direktor schwimmt und schwimmen	unexpected	4	schwimmen
17	9	der Direktor schwimmt und lacht	expected	4	lacht
18	9	der Direktor schwimmt und lachen	unexpected	4	lachen
19	10	der Direktor schwimmt und spricht	expected	4	spricht
20	10	der Direktor schwimmt und sprechen	unexpected	4	sprechen
21	11	der Direktor schwimmt und ist klein	expected	4	ist
22	11	der Direktor schwimmt und sind klein	unexpected	4	sind
23	12	der Direktor schwimmt und ist groß	expected	4	ist
24	12	der Direktor schwimmt und sind groß	unexpected	4	sind
25	13	der Direktor schwimmt und ist alt	expected	4	ist
26	13	der Direktor schwimmt und sind alt	unexpected	4	sind
27	14	der Direktor schwimmt und ist jung	expected	4	ist
28	14	der Direktor schwimmt und sind jung	unexpected	4	sind
29	15	der Bauer schwimmt und schwimmt	expected	4	schwimmt
30	15	der Bauer schwimmt und schwimmen	unexpected	4	schwimmen
31	16	der Bauer schwimmt und lacht	expected	4	lacht
32	16	der Bauer schwimmt und lachen	unexpected	4	lachen
33	17	der Bauer schwimmt und spricht	expected	4	spricht
34	17	der Bauer schwimmt und sprechen	unexpected	4	sprechen
35	18	der Bauer schwimmt und ist klein	expected	4	ist
36	18	der Bauer schwimmt und sind klein	unexpected	4	sind
37	19	der Bauer schwimmt und ist groß	expected	4	ist
38	19	der Bauer schwimmt und sind groß	unexpected	4	sind
39	20	der Bauer schwimmt und ist alt	expected	4	ist
40	20	der Bauer schwimmt und sind alt	unexpected	4	sind
41	21	der Bauer schwimmt und ist jung	expected	4	ist
42	21	der Bauer schwimmt und sind jung	unexpected	4	sind
43	22	der Chirurg schwimmt und schwimmt	expected	4	schwimmt
44	22	der Chirurg schwimmt und schwimmen	unexpected	4	schwimmen
45	23	der Chirurg schwimmt und lacht	expected	4	lacht
46	23	der Chirurg schwimmt und lachen	unexpected	4	lachen
47	24	der Chirurg schwimmt und spricht	expected	4	spricht
48	24	der Chirurg schwimmt und sprechen	unexpected	4	sprechen
49	25	der Chirurg schwimmt und ist klein	expected	4	ist
