sentid	pairid	sentence	comparison	ROI
1	1	the authors hurt themselves	expected	3
2	1	the authors hurt himself	unexpected	3
3	2	the authors hurt themselves	expected	3
4	2	the authors hurt herself	unexpected	3
5	3	the authors injured themselves	expected	3
6	3	the authors injured himself	unexpected	3
7	4	the authors injured themselves	expected	3
8	4	the authors injured herself	unexpected	3
9	5	the authors congratulated themselves	expected	3
10	5	the authors congratulated himself	unexpected	3
11	6	the authors congratulated themselves	expected	3
12	6	the authors congratulated herself	unexpected	3
13	7	the authors embarrassed themselves	expected	3
14	7	the authors embarrassed himself	unexpected	3
15	8	the authors embarrassed themselves	expected	3
16	8	the authors embarrassed herself	unexpected	3
17	9	the authors disguised themselves	expected	3
18	9	the authors disguised himself	unexpected	3
19	10	the authors disguised themselves	expected	3
20	10	the authors disguised herself	unexpected	3
21	11	the authors hated themselves	expected	3
22	11	the authors hated himself	unexpected	3
23	12	the authors hated themselves	expected	3
24	12	the authors hated herself	unexpected	3
25	13	the authors doubted themselves	expected	3
26	13	the authors doubted himself	unexpected	3
27	14	the authors doubted themselves	expected	3
28	14	the authors doubted herself	unexpected	3
29	15	the pilots hurt themselves	expected	3
30	15	the pilots hurt himself	unexpected	3
31	16	the pilots hurt themselves	expected	3
32	16	the pilots hurt herself	unexpected	3
33	17	the pilots injured themselves	expected	3
34	17	the pilots injured himself	unexpected	3
35	18	the pilots injured themselves	expected	3
36	18	the pilots injured herself	unexpected	3
37	19	the pilots congratulated themselves	expected	3
38	19	the pilots congratulated himself	unexpected	3
39	20	the pilots congratulated themselves	expected	3
40	20	the pilots congratulated herself	unexpected	3
41	21	the pilots embarrassed themselves	expected	3
42	21	the pilots embarrassed himself	unexpected	3
43	22	the pilots embarrassed themselves	expected	3
44	22	the pilots embarrassed herself	unexpected	3
45	23	the pilots disguised themselves	expected	3
46	23	the pilots disguised himself	unexpected	3
47	24	the pilots disguised themselves	expected	3
48	24	the pilots disguised herself	unexpected	3
49	25	the pilots hated themselves	expected	3
50	25	the pilots hated himself	unexpected	3
51	26	the pilots hated themselves	expected	3
52	26	the pilots hated herself	unexpected	3
53	27	the pilots doubted themselves	expected	3
54	27	the pilots doubted himself	unexpected	3
55	28	the pilots doubted themselves	expected	3
56	28	the pilots doubted herself	unexpected	3
57	29	the surgeons hurt themselves	expected	3
58	29	the surgeons hurt himself	unexpected	3
59	30	the surgeons hurt themselves	expected	3
60	30	the surgeons hurt herself	unexpected	3
61	31	the surgeons injured themselves	expected	3
62	31	the surgeons injured himself	unexpected	3
63	32	the surgeons injured themselves	expected	3
64	32	the surgeons injured herself	unexpected	3
65	33	the surgeons congratulated themselves	expected	3
66	33	the surgeons congratulated himself	unexpected	3
67	34	the surgeons congratulated themselves	expected	3
68	34	the surgeons congratulated herself	unexpected	3
69	35	the surgeons embarrassed themselves	expected	3
70	35	the surgeons embarrassed himself	unexpected	3
71	36	the surgeons embarrassed themselves	expected	3
72	36	the surgeons embarrassed herself	unexpected	3
73	37	the surgeons disguised themselves	expected	3
74	37	the surgeons disguised himself	unexpected	3
75	38	the surgeons disguised themselves	expected	3
