sentid	pairid	sentence	comparison	ROI
1	1	the authors that like the guard laugh	expected	6
2	1	the authors that like the guard laughs	unexpected	6
3	2	the authors that like the guard swim	expected	6
4	2	the authors that like the guard swims	unexpected	6
5	3	the authors that like the guard smile	expected	6
6	3	the authors that like the guard smiles	unexpected	6
7	4	the authors that like the guard are tall	expected	6
8	4	the authors that like the guard is tall	unexpected	6
9	5	the authors that like the guard are old	expected	6
10	5	the authors that like the guard is old	unexpected	6
11	6	the authors that like the guard are young	expected	6
12	6	the authors that like the guard is young	unexpected	6
13	7	the authors that like the guard are short	expected	6
14	7	the authors that like the guard is short	unexpected	6
15	8	the authors that like the chef laugh	expected	6
16	8	the authors that like the chef laughs	unexpected	6
17	9	the authors that like the chef swim	expected	6
18	9	the authors that like the chef swims	unexpected	6
19	10	the authors that like the chef smile	expected	6
20	10	the authors that like the chef smiles	unexpected	6
21	11	the authors that like the chef are tall	expected	6
22	11	the authors that like the chef is tall	unexpected	6
23	12	the authors that like the chef are old	expected	6
24	12	the authors that like the chef is old	unexpected	6
25	13	the authors that like the chef are young	expected	6
26	13	the authors that like the chef is young	unexpected	6
27	14	the authors that like the chef are short	expected	6
28	14	the authors that like the chef is short	unexpected	6
29	15	the authors that like the architect laugh	expected	6
30	15	the authors that like the architect laughs	unexpected	6
31	16	the authors that like the architect swim	expected	6
32	16	the authors that like the architect swims	unexpected	6
33	17	the authors that like the architect smile	expected	6
34	17	the authors that like the architect smiles	unexpected	6
35	18	the authors that like the architect are tall	expected	6
36	18	the authors that like the architect is tall	unexpected	6
37	19	the authors that like the architect are old	expected	6
38	19	the authors that like the architect is old	unexpected	6
39	20	the authors that like the architect are young	expected	6
40	20	the authors that like the architect is young	unexpected	6
41	21	the authors that like the architect are short	expected	6
42	21	the authors that like the architect is short	unexpected	6
43	22	the authors that like the skater laugh	expected	6
44	22	the authors that like the skater laughs	unexpected	6
45	23	the authors that like the skater swim	expected	6
46	23	the authors that like the skater swims	unexpected	6
47	24	the authors that like the skater smile	expected	6
48	24	the authors that like the skater smiles	unexpected	6
49	25	the authors that like the skater are tall	expected	6
50	25	the authors that like the skater is tall	unexpected	6
51	26	the authors that like the skater are old	expected	6
52	26	the authors that like the skater is old	unexpected	6
53	27	the authors that like the skater are young	expected	6
54	27	the authors that like the skater is young	unexpected	6
55	28	the authors that like the skater are short	expected	6
56	28	the authors that like the skater is short	unexpected	6
57	29	the authors that like the dancer laugh	expected	6
58	29	the authors that like the dancer laughs	unexpected	6
59	30	the authors that like the dancer swim	expected	6
60	30	the authors that like the dancer swims	unexpected	6
61	31	the authors that like the dancer smile	expected	6
62	31	the authors that like the dancer smiles	unexpected	6
63	32	the authors that like the dancer are tall	expected	6
64	32	the authors that like the dancer is tall	unexpected	6
