sentid	pairid	sentence	comparison	ROI	word
1	1	ה מלצר ש אוהב את ה שומר רוקד	expected	7	רוקד
2	1	ה מלצר ש אוהב את ה שומר רוקדים	unexpected	7	רוקדים
3	2	ה מלצר ש אוהב את ה שומר נוסע	expected	7	נוסע
4	2	ה מלצר ש אוהב את ה שומר נוסעים	unexpected	7	נוסעים
5	3	ה מלצר ש אוהב את ה שומר רץ	expected	7	רץ
6	3	ה מלצר ש אוהב את ה שומר רצים	unexpected	7	רצים
7	4	ה מלצר ש אוהב את ה שומר ישן	expected	7	ישן
8	4	ה מלצר ש אוהב את ה שומר ישנים	unexpected	7	ישנים
9	5	ה מלצר ש אוהב את ה שומר שוחה	expected	7	שוחה
10	5	ה מלצר ש אוהב את ה שומר שוחים	unexpected	7	שוחים
11	6	ה מלצר ש אוהב את ה שומר חי	expected	7	חי
12	6	ה מלצר ש אוהב את ה שומר חיים	unexpected	7	חיים
13	7	ה מלצר ש אוהב את ה שומר צוחק	expected	7	צוחק
14	7	ה מלצר ש אוהב את ה שומר צוחקים	unexpected	7	צוחקים
15	8	ה מנהל ש אוהב את ה שומר רוקד	expected	7	רוקד
16	8	ה מנהל ש אוהב את ה שומר רוקדים	unexpected	7	רוקדים
17	9	ה מנהל ש אוהב את ה שומר נוסע	expected	7	נוסע
18	9	ה מנהל ש אוהב את ה שומר נוסעים	unexpected	7	נוסעים
19	10	ה מנהל ש אוהב את ה שומר רץ	expected	7	רץ
20	10	ה מנהל ש אוהב את ה שומר רצים	unexpected	7	רצים
21	11	ה מנהל ש אוהב את ה שומר ישן	expected	7	ישן
22	11	ה מנהל ש אוהב את ה שומר ישנים	unexpected	7	ישנים
23	12	ה מנהל ש אוהב את ה שומר שוחה	expected	7	שוחה
24	12	ה מנהל ש אוהב את ה שומר שוחים	unexpected	7	שוחים
25	13	ה מנהל ש אוהב את ה שומר חי	expected	7	חי
26	13	ה מנהל ש אוהב את ה שומר חיים	unexpected	7	חיים
27	14	ה מנהל ש אוהב את ה שומר צוחק	expected	7	צוחק
28	14	ה מנהל ש אוהב את ה שומר צוחקים	unexpected	7	צוחקים
29	15	ה חקלאי ש אוהב את ה שומר רוקד	expected	7	רוקד
30	15	ה חקלאי ש אוהב את ה שומר רוקדים	unexpected	7	רוקדים
31	16	ה חקלאי ש אוהב את ה שומר נוסע	expected	7	נוסע
32	16	ה חקלאי ש אוהב את ה שומר נוסעים	unexpected	7	נוסעים
33	17	ה חקלאי ש אוהב את ה שומר רץ	expected	7	רץ
34	17	ה חקלאי ש אוהב את ה שומר רצים	unexpected	7	רצים
35	18	ה חקלאי ש אוהב את ה שומר ישן	expected	7	ישן
36	18	ה חקלאי ש אוהב את ה שומר ישנים	unexpected	7	ישנים
37	19	ה חקלאי ש אוהב את ה שומר שוחה	expected	7	שוחה
38	19	ה חקלאי ש אוהב את ה שומר שוחים	unexpected	7	שוחים
39	20	ה חקלאי ש אוהב את ה שומר חי	expected	7	חי
40	20	ה חקלאי ש אוהב את ה שומר חיים	unexpected	7	חיים
41	21	ה חקלאי ש אוהב את ה שומר צוחק	expected	7	צוחק
