sentid	pairid	sentence	comparison	ROI	word
1	1	les auteurs que les gardes aiment déménagent	expected	6	déménagent
2	1	les auteurs que les gardes aiment déménage	unexpected	6	déménage
3	2	les auteurs que les gardes aiment parlent	expected	6	parlent
4	2	les auteurs que les gardes aiment parle	unexpected	6	parle
5	3	les auteurs que les gardes aiment retournent	expected	6	retournent
6	3	les auteurs que les gardes aiment retourne	unexpected	6	retourne
7	4	les auteurs que les gardes aiment sont vieux	expected	6	sont
8	4	les auteurs que les gardes aiment est vieux	unexpected	6	est
9	5	les auteurs que les gardes aiment sont petits	expected	6	sont
10	5	les auteurs que les gardes aiment est petit	unexpected	6	est
11	6	les auteurs que les gardes aiment sont jeunes	expected	6	sont
12	6	les auteurs que les gardes aiment est jeune	unexpected	6	est
13	7	les auteurs que les gardes aiment sont grands	expected	6	sont
14	7	les auteurs que les gardes aiment est grand	unexpected	6	est
15	8	les directeurs que les gardes aiment déménagent	expected	6	déménagent
16	8	les directeurs que les gardes aiment déménage	unexpected	6	déménage
17	9	les directeurs que les gardes aiment parlent	expected	6	parlent
18	9	les directeurs que les gardes aiment parle	unexpected	6	parle
19	10	les directeurs que les gardes aiment retournent	expected	6	retournent
20	10	les directeurs que les gardes aiment retourne	unexpected	6	retourne
21	11	les directeurs que les gardes aiment sont vieux	expected	6	sont
22	11	les directeurs que les gardes aiment est vieux	unexpected	6	est
23	12	les directeurs que les gardes aiment sont petits	expected	6	sont
24	12	les directeurs que les gardes aiment est petit	unexpected	6	est
25	13	les directeurs que les gardes aiment sont jeunes	expected	6	sont
26	13	les directeurs que les gardes aiment est jeune	unexpected	6	est
27	14	les directeurs que les gardes aiment sont grands	expected	6	sont
28	14	les directeurs que les gardes aiment est grand	unexpected	6	est
29	15	les agriculteurs que les gardes aiment déménagent	expected	6	déménagent
30	15	les agriculteurs que les gardes aiment déménage	unexpected	6	déménage
31	16	les agriculteurs que les gardes aiment parlent	expected	6	parlent
32	16	les agriculteurs que les gardes aiment parle	unexpected	6	parle
33	17	les agriculteurs que les gardes aiment retournent	expected	6	retournent
34	17	les agriculteurs que les gardes aiment retourne	unexpected	6	retourne
35	18	les agriculteurs que les gardes aiment sont vieux	expected	6	sont
36	18	les agriculteurs que les gardes aiment est vieux	unexpected	6	est
37	19	les agriculteurs que les gardes aiment sont petits	expected	6	sont
38	19	les agriculteurs que les gardes aiment est petit	unexpected	6	est
39	20	les agriculteurs que les gardes aiment sont jeunes	expected	6	sont
40	20	les agriculteurs que les gardes aiment est jeune	unexpected	6	est
41	21	les agriculteurs que les gardes aiment sont grands	expected	6	sont
42	21	les agriculteurs que les gardes aiment est grand	unexpected	6	est
43	22	les chirurgiens que les gardes aiment déménagent	expected	6	déménagent
44	22	les chirurgiens que les gardes aiment déménage	unexpected	6	déménage
45	23	les chirurgiens que les gardes aiment parlent	expected	6	parlent
46	23	les chirurgiens que les gardes aiment parle	unexpected	6	parle
47	24	les chirurgiens que les gardes aiment retournent	expected	6	retournent
48	24	les chirurgiens que les gardes aiment retourne	unexpected	6	retourne
