sentid	pairid	sentence	comparison	ROI	word
1	1	авторы перед агентами говорят	expected	3	говорят
2	1	авторы перед агентами говорит	unexpected	3	говорит
3	2	авторы перед агентами ждали	expected	3	ждали
4	2	авторы перед агентами ждал	unexpected	3	ждал
5	3	авторы перед агентами читают	expected	3	читают
6	3	авторы перед агентами читает	unexpected	3	читает
7	4	авторы перед агентами старые	expected	3	старые
8	4	авторы перед агентами старый	unexpected	3	старый
9	5	авторы перед агентами маленькие	expected	3	маленькие
10	5	авторы перед агентами маленький	unexpected	3	маленький
11	6	авторы перед агентами молодые	expected	3	молодые
12	6	авторы перед агентами молодой	unexpected	3	молодой
13	7	авторы перед агентами большие	expected	3	большие
14	7	авторы перед агентами большой	unexpected	3	большой
15	8	режиссёры перед агентами говорят	expected	3	говорят
16	8	режиссёры перед агентами говорит	unexpected	3	говорит
17	9	режиссёры перед агентами ждали	expected	3	ждали
18	9	режиссёры перед агентами ждал	unexpected	3	ждал
19	10	режиссёры перед агентами читают	expected	3	читают
20	10	режиссёры перед агентами читает	unexpected	3	читает
21	11	режиссёры перед агентами старые	expected	3	старые
22	11	режиссёры перед агентами старый	unexpected	3	старый
23	12	режиссёры перед агентами маленькие	expected	3	маленькие
24	12	режиссёры перед агентами маленький	unexpected	3	маленький
25	13	режиссёры перед агентами молодые	expected	3	молодые
26	13	режиссёры перед агентами молодой	unexpected	3	молодой
27	14	режиссёры перед агентами большие	expected	3	большие
28	14	режиссёры перед агентами большой	unexpected	3	большой
29	15	фермеры перед агентами говорят	expected	3	говорят
30	15	фермеры перед агентами говорит	unexpected	3	говорит
31	16	фермеры перед агентами ждали	expected	3	ждали
32	16	фермеры перед агентами ждал	unexpected	3	ждал
33	17	фермеры перед агентами читают	expected	3	читают
34	17	фермеры перед агентами читает	unexpected	3	читает
35	18	фермеры перед агентами старые	expected	3	старые
36	18	фермеры перед агентами старый	unexpected	3	старый
37	19	фермеры перед агентами маленькие	expected	3	маленькие
38	19	фермеры перед агентами маленький	unexpected	3	маленький
39	20	фермеры перед агентами молодые	expected	3	молодые
40	20	фермеры перед агентами молодой	unexpected	3	молодой
41	21	фермеры перед агентами большие	expected	3	большие
42	21	фермеры перед агентами большой	unexpected	3	большой
43	22	врачи перед агентами говорят	expected	3	говорят
44	22	врачи перед агентами говорит	unexpected	3	говорит
45	23	врачи перед агентами ждали	expected	3	ждали
46	23	врачи перед агентами ждал	unexpected	3	ждал
47	24	врачи перед агентами читают	expected	3	читают
48	24	врачи перед агентами читает	unexpected	3	читает
49	25	врачи перед агентами старые	expected	3	старые
50	25	врачи перед агентами старый	unexpected	3	старый
51	26	врачи перед агентами маленькие	expected	3	маленькие
52	26	врачи перед агентами маленький	unexpected	3	маленький
53	27	врачи перед агентами молодые	expected	3	молодые
54	27	врачи перед агентами молодой	unexpected	3	молодой
55	28	врачи перед агентами большие	expected	3	большие
56	28	врачи перед агентами большой	unexpected	3	большой
57	29	сенаторы перед агентами говорят	expected	3	говорят
58	29	сенаторы перед агентами говорит	unexpected	3	говорит
59	30	сенаторы перед агентами ждали	expected	3	ждали
60	30	сенаторы перед агентами ждал	unexpected	3	ждал
61	31	сенаторы перед агентами читают	expected	3	читают
62	31	сенаторы перед агентами читает	unexpected	3	читает
63	32	сенаторы перед агентами старые	expected	3	старые
64	32	сенаторы перед агентами старый	unexpected	3	старый
65	33	сенаторы перед агентами маленькие	expected	3	маленькие
66	33	сенаторы перед агентами маленький	unexpected	3	маленький
67	34	сенаторы перед агентами молодые	expected	3	молодые
68	34	сенаторы перед агентами молодой	unexpected	3	молодой
69	35	сенаторы перед агентами большие	expected	3	большие
70	35	сенаторы перед агентами большой	unexpected	3	большой
71	36	профессора перед агентами говорят	expected	3	говорят
72	36	профессора перед агентами говорит	unexpected	3	говорит
73	37	профессора перед агентами ждали	expected	3	ждали
74	37	профессора перед агентами ждал	unexpected	3	ждал
75	38	профессора перед агентами читают	expected	3	читают
76	38	профессора перед агентами читает	unexpected	3	читает
77	39	профессора перед агентами старые	expected	3	старые
78	39	профессора перед агентами старый	unexpected	3	старый
79	40	профессора перед агентами маленькие	expected	3	маленькие
80	40	профессора перед агентами маленький	unexpected	3	маленький
81	41	профессора перед агентами молодые	expected	3	молодые
82	41	профессора перед агентами молодой	unexpected	3	молодой
83	42	профессора перед агентами большие	expected	3	большие
84	42	профессора перед агентами большой	unexpected	3	большой
85	43	клиенты перед агентами говорят	expected	3	говорят
86	43	клиенты перед агентами говорит	unexpected	3	говорит
87	44	клиенты перед агентами ждали	expected	3	ждали
88	44	клиенты перед агентами ждал	unexpected	3	ждал
89	45	клиенты перед агентами читают	expected	3	читают
90	45	клиенты перед агентами читает	unexpected	3	читает
91	46	клиенты перед агентами старые	expected	3	старые
92	46	клиенты перед агентами старый	unexpected	3	старый
93	47	клиенты перед агентами маленькие	expected	3	маленькие
94	47	клиенты перед агентами маленький	unexpected	3	маленький
95	48	клиенты перед агентами молодые	expected	3	молодые
96	48	клиенты перед агентами молодой	unexpected	3	молодой
97	49	клиенты перед агентами большие	expected	3	большие
98	49	клиенты перед агентами большой	unexpected	3	большой
99	50	офицеры перед агентами говорят	expected	3	говорят
100	50	офицеры перед агентами говорит	unexpected	3	говорит
101	51	офицеры перед агентами ждали	expected	3	ждали
102	51	офицеры перед агентами ждал	unexpected	3	ждал
103	52	офицеры перед агентами читают	expected	3	читают
104	52	офицеры перед агентами читает	unexpected	3	читает
105	53	офицеры перед агентами старые	expected	3	старые
106	53	офицеры перед агентами старый	unexpected	3	старый
107	54	офицеры перед агентами маленькие	expected	3	маленькие
108	54	офицеры перед агентами маленький	unexpected	3	маленький
109	55	офицеры перед агентами молодые	expected	3	молодые
110	55	офицеры перед агентами молодой	unexpected	3	молодой
111	56	офицеры перед агентами большие	expected	3	большие
112	56	офицеры перед агентами большой	unexpected	3	большой
113	57	пилоты перед агентами говорят	expected	3	говорят
114	57	пилоты перед агентами говорит	unexpected	3	говорит
115	58	пилоты перед агентами ждали	expected	3	ждали
116	58	пилоты перед агентами ждал	unexpected	3	ждал
117	59	пилоты перед агентами читают	expected	3	читают
118	59	пилоты перед агентами читает	unexpected	3	читает
119	60	пилоты перед агентами старые	expected	3	старые
120	60	пилоты перед агентами старый	unexpected	3	старый
121	61	пилоты перед агентами маленькие	expected	3	маленькие
122	61	пилоты перед агентами маленький	unexpected	3	маленький
123	62	пилоты перед агентами молодые	expected	3	молодые
124	62	пилоты перед агентами молодой	unexpected	3	молодой
125	63	пилоты перед агентами большие	expected	3	большие
126	63	пилоты перед агентами большой	unexpected	3	большой
127	64	ученики перед агентами говорят	expected	3	говорят
128	64	ученики перед агентами говорит	unexpected	3	говорит
129	65	ученики перед агентами ждали	expected	3	ждали
130	65	ученики перед агентами ждал	unexpected	3	ждал
131	66	ученики перед агентами читают	expected	3	читают
132	66	ученики перед агентами читает	unexpected	3	читает
133	67	ученики перед агентами старые	expected	3	старые
134	67	ученики перед агентами старый	unexpected	3	старый
135	68	ученики перед агентами маленькие	expected	3	маленькие
136	68	ученики перед агентами маленький	unexpected	3	маленький
137	69	ученики перед агентами молодые	expected	3	молодые
138	69	ученики перед агентами молодой	unexpected	3	молодой
139	70	ученики перед агентами большие	expected	3	большие
140	70	ученики перед агентами большой	unexpected	3	большой
141	71	авторы за агентами говорят	expected	3	говорят
142	71	авторы за агентами говорит	unexpected	3	говорит
143	72	авторы за агентами ждали	expected	3	ждали
144	72	авторы за агентами ждал	unexpected	3	ждал
145	73	авторы за агентами читают	expected	3	читают
146	73	авторы за агентами читает	unexpected	3	читает
147	74	авторы за агентами старые	expected	3	старые
148	74	авторы за агентами старый	unexpected	3	старый
149	75	авторы за агентами маленькие	expected	3	маленькие
150	75	авторы за агентами маленький	unexpected	3	маленький
151	76	авторы за агентами молодые	expected	3	молодые
152	76	авторы за агентами молодой	unexpected	3	молодой
153	77	авторы за агентами большие	expected	3	большие
154	77	авторы за агентами большой	unexpected	3	большой
155	78	режиссёры за агентами говорят	expected	3	говорят
156	78	режиссёры за агентами говорит	unexpected	3	говорит
157	79	режиссёры за агентами ждали	expected	3	ждали
158	79	режиссёры за агентами ждал	unexpected	3	ждал
159	80	режиссёры за агентами читают	expected	3	читают
160	80	режиссёры за агентами читает	unexpected	3	читает
161	81	режиссёры за агентами старые	expected	3	старые
162	81	режиссёры за агентами старый	unexpected	3	старый
163	82	режиссёры за агентами маленькие	expected	3	маленькие
164	82	режиссёры за агентами маленький	unexpected	3	маленький
165	83	режиссёры за агентами молодые	expected	3	молодые
166	83	режиссёры за агентами молодой	unexpected	3	молодой
167	84	режиссёры за агентами большие	expected	3	большие
168	84	режиссёры за агентами большой	unexpected	3	большой
169	85	фермеры за агентами говорят	expected	3	говорят
170	85	фермеры за агентами говорит	unexpected	3	говорит
171	86	фермеры за агентами ждали	expected	3	ждали
172	86	фермеры за агентами ждал	unexpected	3	ждал
173	87	фермеры за агентами читают	expected	3	читают
174	87	фермеры за агентами читает	unexpected	3	читает
175	88	фермеры за агентами старые	expected	3	старые
176	88	фермеры за агентами старый	unexpected	3	старый
177	89	фермеры за агентами маленькие	expected	3	маленькие
178	89	фермеры за агентами маленький	unexpected	3	маленький
179	90	фермеры за агентами молодые	expected	3	молодые
180	90	фермеры за агентами молодой	unexpected	3	молодой
181	91	фермеры за агентами большие	expected	3	большие
182	91	фермеры за агентами большой	unexpected	3	большой
183	92	врачи за агентами говорят	expected	3	говорят
184	92	врачи за агентами говорит	unexpected	3	говорит
185	93	врачи за агентами ждали	expected	3	ждали
186	93	врачи за агентами ждал	unexpected	3	ждал
187	94	врачи за агентами читают	expected	3	читают
188	94	врачи за агентами читает	unexpected	3	читает
189	95	врачи за агентами старые	expected	3	старые
190	95	врачи за агентами старый	unexpected	3	старый
191	96	врачи за агентами маленькие	expected	3	маленькие
192	96	врачи за агентами маленький	unexpected	3	маленький
193	97	врачи за агентами молодые	expected	3	молодые
194	97	врачи за агентами молодой	unexpected	3	молодой
195	98	врачи за агентами большие	expected	3	большие
196	98	врачи за агентами большой	unexpected	3	большой
197	99	сенаторы за агентами говорят	expected	3	говорят
198	99	сенаторы за агентами говорит	unexpected	3	говорит
199	100	сенаторы за агентами ждали	expected	3	ждали
200	100	сенаторы за агентами ждал	unexpected	3	ждал
201	101	сенаторы за агентами читают	expected	3	читают
202	101	сенаторы за агентами читает	unexpected	3	читает
203	102	сенаторы за агентами старые	expected	3	старые
204	102	сенаторы за агентами старый	unexpected	3	старый
205	103	сенаторы за агентами маленькие	expected	3	маленькие
206	103	сенаторы за агентами маленький	unexpected	3	маленький
207	104	сенаторы за агентами молодые	expected	3	молодые
