sentid	pairid	sentence	comparison	ROI	word
1	1	l' auteur connaît beaucoup de langues étrangères et connaît beaucoup de langues étrangères	expected	8	connaît
2	1	l' auteur connaît beaucoup de langues étrangères et connaissent beaucoup de langues étrangères	unexpected	8	connaissent
3	2	l' auteur connaît beaucoup de langues étrangères et aime regarder des émissions de télévision	expected	8	aime
4	2	l' auteur connaît beaucoup de langues étrangères et aiment regarder des émissions de télévision	unexpected	8	aiment
5	3	l' auteur connaît beaucoup de langues étrangères et a vingt trois ans	expected	8	a
6	3	l' auteur connaît beaucoup de langues étrangères et ont vingt trois ans	unexpected	8	ont
7	4	l' auteur connaît beaucoup de langues étrangères et préfère jouer au tennis avec des collègues	expected	8	préfère
8	4	l' auteur connaît beaucoup de langues étrangères et préfèrent jouer au tennis avec des collègues	unexpected	8	préfèrent
9	5	l' auteur connaît beaucoup de langues étrangères et écrit dans un journal tous les jours	expected	8	écrit
10	5	l' auteur connaît beaucoup de langues étrangères et écrivent dans un journal tous les jours	unexpected	8	écrivent
11	6	le directeur connaît beaucoup de langues étrangères et connaît beaucoup de langues étrangères	expected	8	connaît
12	6	le directeur connaît beaucoup de langues étrangères et connaissent beaucoup de langues étrangères	unexpected	8	connaissent
13	7	le directeur connaît beaucoup de langues étrangères et aime regarder des émissions de télévision	expected	8	aime
14	7	le directeur connaît beaucoup de langues étrangères et aiment regarder des émissions de télévision	unexpected	8	aiment
15	8	le directeur connaît beaucoup de langues étrangères et a vingt trois ans	expected	8	a
16	8	le directeur connaît beaucoup de langues étrangères et ont vingt trois ans	unexpected	8	ont
17	9	le directeur connaît beaucoup de langues étrangères et préfère jouer au tennis avec des collègues	expected	8	préfère
18	9	le directeur connaît beaucoup de langues étrangères et préfèrent jouer au tennis avec des collègues	unexpected	8	préfèrent
19	10	le directeur connaît beaucoup de langues étrangères et écrit dans un journal tous les jours	expected	8	écrit
20	10	le directeur connaît beaucoup de langues étrangères et écrivent dans un journal tous les jours	unexpected	8	écrivent
21	11	l' agriculteur connaît beaucoup de langues étrangères et connaît beaucoup de langues étrangères	expected	8	connaît
22	11	l' agriculteur connaît beaucoup de langues étrangères et connaissent beaucoup de langues étrangères	unexpected	8	connaissent
23	12	l' agriculteur connaît beaucoup de langues étrangères et aime regarder des émissions de télévision	expected	8	aime
24	12	l' agriculteur connaît beaucoup de langues étrangères et aiment regarder des émissions de télévision	unexpected	8	aiment
25	13	l' agriculteur connaît beaucoup de langues étrangères et a vingt trois ans	expected	8	a
26	13	l' agriculteur connaît beaucoup de langues étrangères et ont vingt trois ans	unexpected	8	ont
27	14	l' agriculteur connaît beaucoup de langues étrangères et préfère jouer au tennis avec des collègues	expected	8	préfère
28	14	l' agriculteur connaît beaucoup de langues étrangères et préfèrent jouer au tennis avec des collègues	unexpected	8	préfèrent
29	15	l' agriculteur connaît beaucoup de langues étrangères et écrit dans un journal tous les jours	expected	8	écrit
30	15	l' agriculteur connaît beaucoup de langues étrangères et écrivent dans un journal tous les jours	unexpected	8	écrivent
31	16	le chirurgien connaît beaucoup de langues étrangères et connaît beaucoup de langues étrangères	expected	8	connaît
32	16	le chirurgien connaît beaucoup de langues étrangères et connaissent beaucoup de langues étrangères	unexpected	8	connaissent
33	17	le chirurgien connaît beaucoup de langues étrangères et aime regarder des émissions de télévision	expected	8	aime
34	17	le chirurgien connaît beaucoup de langues étrangères et aiment regarder des émissions de télévision	unexpected	8	aiment
