sentid	pairid	sentence	comparison	ROI	word
1	1	die Schriftsteller vor den Wächtern sind alt	expected	5	sind
2	1	die Schriftsteller vor den Wächtern ist alt	unexpected	5	ist
3	2	die Schriftsteller vor den Wächtern sind jung	expected	5	sind
4	2	die Schriftsteller vor den Wächtern ist jung	unexpected	5	ist
5	3	die Schriftsteller vor den Wächtern sind klein	expected	5	sind
6	3	die Schriftsteller vor den Wächtern ist klein	unexpected	5	ist
7	4	die Schriftsteller vor den Wächtern sind groß	expected	5	sind
8	4	die Schriftsteller vor den Wächtern ist groß	unexpected	5	ist
9	5	die Schriftsteller vor den Wächtern schwimmen	expected	5	schwimmen
10	5	die Schriftsteller vor den Wächtern schwimmt	unexpected	5	schwimmt
11	6	die Schriftsteller vor den Wächtern sprechen	expected	5	sprechen
12	6	die Schriftsteller vor den Wächtern spricht	unexpected	5	spricht
13	7	die Schriftsteller vor den Wächtern lachen	expected	5	lachen
14	7	die Schriftsteller vor den Wächtern lacht	unexpected	5	lacht
15	8	die Direktoren vor den Wächtern sind alt	expected	5	sind
16	8	die Direktoren vor den Wächtern ist alt	unexpected	5	ist
17	9	die Direktoren vor den Wächtern sind jung	expected	5	sind
18	9	die Direktoren vor den Wächtern ist jung	unexpected	5	ist
19	10	die Direktoren vor den Wächtern sind klein	expected	5	sind
20	10	die Direktoren vor den Wächtern ist klein	unexpected	5	ist
21	11	die Direktoren vor den Wächtern sind groß	expected	5	sind
22	11	die Direktoren vor den Wächtern ist groß	unexpected	5	ist
23	12	die Direktoren vor den Wächtern schwimmen	expected	5	schwimmen
24	12	die Direktoren vor den Wächtern schwimmt	unexpected	5	schwimmt
25	13	die Direktoren vor den Wächtern sprechen	expected	5	sprechen
26	13	die Direktoren vor den Wächtern spricht	unexpected	5	spricht
27	14	die Direktoren vor den Wächtern lachen	expected	5	lachen
28	14	die Direktoren vor den Wächtern lacht	unexpected	5	lacht
29	15	die Bauern vor den Wächtern sind alt	expected	5	sind
30	15	die Bauern vor den Wächtern ist alt	unexpected	5	ist
31	16	die Bauern vor den Wächtern sind jung	expected	5	sind
32	16	die Bauern vor den Wächtern ist jung	unexpected	5	ist
33	17	die Bauern vor den Wächtern sind klein	expected	5	sind
34	17	die Bauern vor den Wächtern ist klein	unexpected	5	ist
35	18	die Bauern vor den Wächtern sind groß	expected	5	sind
36	18	die Bauern vor den Wächtern ist groß	unexpected	5	ist
37	19	die Bauern vor den Wächtern schwimmen	expected	5	schwimmen
38	19	die Bauern vor den Wächtern schwimmt	unexpected	5	schwimmt
39	20	die Bauern vor den Wächtern sprechen	expected	5	sprechen
40	20	die Bauern vor den Wächtern spricht	unexpected	5	spricht
41	21	die Bauern vor den Wächtern lachen	expected	5	lachen
42	21	die Bauern vor den Wächtern lacht	unexpected	5	lacht
43	22	die Chirurgen vor den Wächtern sind alt	expected	5	sind
44	22	die Chirurgen vor den Wächtern ist alt	unexpected	5	ist
45	23	die Chirurgen vor den Wächtern sind jung	expected	5	sind
46	23	die Chirurgen vor den Wächtern ist jung	unexpected	5	ist
47	24	die Chirurgen vor den Wächtern sind klein	expected	5	sind
48	24	die Chirurgen vor den Wächtern ist klein	unexpected	5	ist
49	25	die Chirurgen vor den Wächtern sind groß	expected	5	sind
50	25	die Chirurgen vor den Wächtern ist groß	unexpected	5	ist
51	26	die Chirurgen vor den Wächtern schwimmen	expected	5	schwimmen
52	26	die Chirurgen vor den Wächtern schwimmt	unexpected	5	schwimmt
53	27	die Chirurgen vor den Wächtern sprechen	expected	5	sprechen
54	27	die Chirurgen vor den Wächtern spricht	unexpected	5	spricht
55	28	die Chirurgen vor den Wächtern lachen	expected	5	lachen
56	28	die Chirurgen vor den Wächtern lacht	unexpected	5	lacht
57	29	die Senatoren vor den Wächtern sind alt	expected	5	sind
58	29	die Senatoren vor den Wächtern ist alt	unexpected	5	ist
59	30	die Senatoren vor den Wächtern sind jung	expected	5	sind
60	30	die Senatoren vor den Wächtern ist jung	unexpected	5	ist
61	31	die Senatoren vor den Wächtern sind klein	expected	5	sind
62	31	die Senatoren vor den Wächtern ist klein	unexpected	5	ist
63	32	die Senatoren vor den Wächtern sind groß	expected	5	sind
64	32	die Senatoren vor den Wächtern ist groß	unexpected	5	ist
65	33	die Senatoren vor den Wächtern schwimmen	expected	5	schwimmen
66	33	die Senatoren vor den Wächtern schwimmt	unexpected	5	schwimmt
67	34	die Senatoren vor den Wächtern sprechen	expected	5	sprechen
68	34	die Senatoren vor den Wächtern spricht	unexpected	5	spricht
69	35	die Senatoren vor den Wächtern lachen	expected	5	lachen
70	35	die Senatoren vor den Wächtern lacht	unexpected	5	lacht
71	36	die Lehrer vor den Wächtern sind alt	expected	5	sind
72	36	die Lehrer vor den Wächtern ist alt	unexpected	5	ist
73	37	die Lehrer vor den Wächtern sind jung	expected	5	sind
74	37	die Lehrer vor den Wächtern ist jung	unexpected	5	ist
75	38	die Lehrer vor den Wächtern sind klein	expected	5	sind
76	38	die Lehrer vor den Wächtern ist klein	unexpected	5	ist
77	39	die Lehrer vor den Wächtern sind groß	expected	5	sind
78	39	die Lehrer vor den Wächtern ist groß	unexpected	5	ist
79	40	die Lehrer vor den Wächtern schwimmen	expected	5	schwimmen
80	40	die Lehrer vor den Wächtern schwimmt	unexpected	5	schwimmt
81	41	die Lehrer vor den Wächtern sprechen	expected	5	sprechen
82	41	die Lehrer vor den Wächtern spricht	unexpected	5	spricht
83	42	die Lehrer vor den Wächtern lachen	expected	5	lachen
84	42	die Lehrer vor den Wächtern lacht	unexpected	5	lacht
85	43	die Kunden vor den Wächtern sind alt	expected	5	sind
86	43	die Kunden vor den Wächtern ist alt	unexpected	5	ist
87	44	die Kunden vor den Wächtern sind jung	expected	5	sind
88	44	die Kunden vor den Wächtern ist jung	unexpected	5	ist
89	45	die Kunden vor den Wächtern sind klein	expected	5	sind
90	45	die Kunden vor den Wächtern ist klein	unexpected	5	ist
91	46	die Kunden vor den Wächtern sind groß	expected	5	sind
92	46	die Kunden vor den Wächtern ist groß	unexpected	5	ist
93	47	die Kunden vor den Wächtern schwimmen	expected	5	schwimmen
94	47	die Kunden vor den Wächtern schwimmt	unexpected	5	schwimmt
95	48	die Kunden vor den Wächtern sprechen	expected	5	sprechen
96	48	die Kunden vor den Wächtern spricht	unexpected	5	spricht
97	49	die Kunden vor den Wächtern lachen	expected	5	lachen
98	49	die Kunden vor den Wächtern lacht	unexpected	5	lacht
99	50	die Polizisten vor den Wächtern sind alt	expected	5	sind
