sentid	pairid	sentence	comparison	ROI	word
1	1	ה מלצר ש ה שומר אוהב רוקד	expected	5	אוהב
2	1	ה מלצר ש ה שומר אוהבים רוקד	unexpected	5	אוהבים
3	2	ה מלצר ש ה שומר שונא רוקד	expected	5	שונא
4	2	ה מלצר ש ה שומר שונאים רוקד	unexpected	5	שונאים
5	3	ה מלצר ש ה שומר מכיר רוקד	expected	5	מכיר
6	3	ה מלצר ש ה שומר מכירים רוקד	unexpected	5	מכירים
7	4	ה מלצר ש ה שומר מעריץ רוקד	expected	5	מעריץ
8	4	ה מלצר ש ה שומר מעריצים רוקד	unexpected	5	מעריצים
9	5	ה מנהל ש ה שומר אוהב רוקד	expected	5	אוהב
10	5	ה מנהל ש ה שומר אוהבים רוקד	unexpected	5	אוהבים
11	6	ה מנהל ש ה שומר שונא רוקד	expected	5	שונא
12	6	ה מנהל ש ה שומר שונאים רוקד	unexpected	5	שונאים
13	7	ה מנהל ש ה שומר מכיר רוקד	expected	5	מכיר
14	7	ה מנהל ש ה שומר מכירים רוקד	unexpected	5	מכירים
15	8	ה מנהל ש ה שומר מעריץ רוקד	expected	5	מעריץ
16	8	ה מנהל ש ה שומר מעריצים רוקד	unexpected	5	מעריצים
17	9	ה חקלאי ש ה שומר אוהב רוקד	expected	5	אוהב
18	9	ה חקלאי ש ה שומר אוהבים רוקד	unexpected	5	אוהבים
19	10	ה חקלאי ש ה שומר שונא רוקד	expected	5	שונא
20	10	ה חקלאי ש ה שומר שונאים רוקד	unexpected	5	שונאים
21	11	ה חקלאי ש ה שומר מכיר רוקד	expected	5	מכיר
22	11	ה חקלאי ש ה שומר מכירים רוקד	unexpected	5	מכירים
23	12	ה חקלאי ש ה שומר מעריץ רוקד	expected	5	מעריץ
24	12	ה חקלאי ש ה שומר מעריצים רוקד	unexpected	5	מעריצים
25	13	ה רופא ש ה שומר אוהב רוקד	expected	5	אוהב
26	13	ה רופא ש ה שומר אוהבים רוקד	unexpected	5	אוהבים
27	14	ה רופא ש ה שומר שונא רוקד	expected	5	שונא
28	14	ה רופא ש ה שומר שונאים רוקד	unexpected	5	שונאים
29	15	ה רופא ש ה שומר מכיר רוקד	expected	5	מכיר
30	15	ה רופא ש ה שומר מכירים רוקד	unexpected	5	מכירים
31	16	ה רופא ש ה שומר מעריץ רוקד	expected	5	מעריץ
32	16	ה רופא ש ה שומר מעריצים רוקד	unexpected	5	מעריצים
33	17	ה טבח ש ה שומר אוהב רוקד	expected	5	אוהב
34	17	ה טבח ש ה שומר אוהבים רוקד	unexpected	5	אוהבים
35	18	ה טבח ש ה שומר שונא רוקד	expected	5	שונא
36	18	ה טבח ש ה שומר שונאים רוקד	unexpected	5	שונאים
37	19	ה טבח ש ה שומר מכיר רוקד	expected	5	מכיר
38	19	ה טבח ש ה שומר מכירים רוקד	unexpected	5	מכירים
39	20	ה טבח ש ה שומר מעריץ רוקד	expected	5	מעריץ
40	20	ה טבח ש ה שומר מעריצים רוקד	unexpected	5	מעריצים
41	21	ה נהג ש ה שומר אוהב רוקד	expected	5	אוהב
42	21	ה נהג ש ה שומר אוהבים רוקד	unexpected	5	אוהבים
43	22	ה נהג ש ה שומר שונא רוקד	expected	5	שונא
44	22	ה נהג ש ה שומר שונאים רוקד	unexpected	5	שונאים
45	23	ה נהג ש ה שומר מכיר רוקד	expected	5	מכיר
46	23	ה נהג ש ה שומר מכירים רוקד	unexpected	5	מכירים
47	24	ה נהג ש ה שומר מעריץ רוקד	expected	5	מעריץ
48	24	ה נהג ש ה שומר מעריצים רוקד	unexpected	5	מעריצים
49	25	ה חייל ש ה שומר אוהב רוקד	expected	5	אוהב
50	25	ה חייל ש ה שומר אוהבים רוקד	unexpected	5	אוהבים
