sentid	pairid	sentence	comparison	ROI	word
1	1	der Schriftsteller spricht viele verschiedene Sprachen und spricht viele verschiedene Sprachen	expected	7	spricht
2	1	der Schriftsteller spricht viele verschiedene Sprachen und sprechen viele verschiedene Sprachen	unexpected	7	sprechen
3	2	der Schriftsteller spricht viele verschiedene Sprachen und sieht gern Fernsehprogramme	expected	7	sieht
4	2	der Schriftsteller spricht viele verschiedene Sprachen und sehen gern Fernsehprogramme	unexpected	7	sehen
5	3	der Schriftsteller spricht viele verschiedene Sprachen und ist zwanzig Jahre alt	expected	7	ist
6	3	der Schriftsteller spricht viele verschiedene Sprachen und sind zwanzig Jahre alt	unexpected	7	sind
7	4	der Schriftsteller spricht viele verschiedene Sprachen und mag lieber Tennis mit seinen Kollegen spielen	expected	7	mag
8	4	der Schriftsteller spricht viele verschiedene Sprachen und mögen lieber Tennis mit seinen Kollegen spielen	unexpected	7	mögen
9	5	der Schriftsteller spricht viele verschiedene Sprachen und schreibt jeden Tag in seinem Journal	expected	7	schreibt
10	5	der Schriftsteller spricht viele verschiedene Sprachen und schreiben jeden Tag in seinem Journal	unexpected	7	schreiben
11	6	der Direktor spricht viele verschiedene Sprachen und spricht viele verschiedene Sprachen	expected	7	spricht
12	6	der Direktor spricht viele verschiedene Sprachen und sprechen viele verschiedene Sprachen	unexpected	7	sprechen
13	7	der Direktor spricht viele verschiedene Sprachen und sieht gern Fernsehprogramme	expected	7	sieht
14	7	der Direktor spricht viele verschiedene Sprachen und sehen gern Fernsehprogramme	unexpected	7	sehen
15	8	der Direktor spricht viele verschiedene Sprachen und ist zwanzig Jahre alt	expected	7	ist
16	8	der Direktor spricht viele verschiedene Sprachen und sind zwanzig Jahre alt	unexpected	7	sind
17	9	der Direktor spricht viele verschiedene Sprachen und mag lieber Tennis mit seinen Kollegen spielen	expected	7	mag
18	9	der Direktor spricht viele verschiedene Sprachen und mögen lieber Tennis mit seinen Kollegen spielen	unexpected	7	mögen
19	10	der Direktor spricht viele verschiedene Sprachen und schreibt jeden Tag in seinem Journal	expected	7	schreibt
20	10	der Direktor spricht viele verschiedene Sprachen und schreiben jeden Tag in seinem Journal	unexpected	7	schreiben
21	11	der Bauer spricht viele verschiedene Sprachen und spricht viele verschiedene Sprachen	expected	7	spricht
22	11	der Bauer spricht viele verschiedene Sprachen und sprechen viele verschiedene Sprachen	unexpected	7	sprechen
23	12	der Bauer spricht viele verschiedene Sprachen und sieht gern Fernsehprogramme	expected	7	sieht
24	12	der Bauer spricht viele verschiedene Sprachen und sehen gern Fernsehprogramme	unexpected	7	sehen
25	13	der Bauer spricht viele verschiedene Sprachen und ist zwanzig Jahre alt	expected	7	ist
26	13	der Bauer spricht viele verschiedene Sprachen und sind zwanzig Jahre alt	unexpected	7	sind
27	14	der Bauer spricht viele verschiedene Sprachen und mag lieber Tennis mit seinen Kollegen spielen	expected	7	mag
28	14	der Bauer spricht viele verschiedene Sprachen und mögen lieber Tennis mit seinen Kollegen spielen	unexpected	7	mögen
29	15	der Bauer spricht viele verschiedene Sprachen und schreibt jeden Tag in seinem Journal	expected	7	schreibt
30	15	der Bauer spricht viele verschiedene Sprachen und schreiben jeden Tag in seinem Journal	unexpected	7	schreiben
31	16	der Chirurg spricht viele verschiedene Sprachen und spricht viele verschiedene Sprachen	expected	7	spricht
32	16	der Chirurg spricht viele verschiedene Sprachen und sprechen viele verschiedene Sprachen	unexpected	7	sprechen
33	17	der Chirurg spricht viele verschiedene Sprachen und sieht gern Fernsehprogramme	expected	7	sieht
34	17	der Chirurg spricht viele verschiedene Sprachen und sehen gern Fernsehprogramme	unexpected	7	sehen
35	18	der Chirurg spricht viele verschiedene Sprachen und ist zwanzig Jahre alt	expected	7	ist
36	18	der Chirurg spricht viele verschiedene Sprachen und sind zwanzig Jahre alt	unexpected	7	sind
37	19	der Chirurg spricht viele verschiedene Sprachen und mag lieber Tennis mit seinen Kollegen spielen	expected	7	mag
38	19	der Chirurg spricht viele verschiedene Sprachen und mögen lieber Tennis mit seinen Kollegen spielen	unexpected	7	mögen
39	20	der Chirurg spricht viele verschiedene Sprachen und schreibt jeden Tag in seinem Journal	expected	7	schreibt
40	20	der Chirurg spricht viele verschiedene Sprachen und schreiben jeden Tag in seinem Journal	unexpected	7	schreiben
41	21	der Senator spricht viele verschiedene Sprachen und spricht viele verschiedene Sprachen	expected	7	spricht
42	21	der Senator spricht viele verschiedene Sprachen und sprechen viele verschiedene Sprachen	unexpected	7	sprechen
43	22	der Senator spricht viele verschiedene Sprachen und sieht gern Fernsehprogramme	expected	7	sieht
44	22	der Senator spricht viele verschiedene Sprachen und sehen gern Fernsehprogramme	unexpected	7	sehen
45	23	der Senator spricht viele verschiedene Sprachen und ist zwanzig Jahre alt	expected	7	ist
46	23	der Senator spricht viele verschiedene Sprachen und sind zwanzig Jahre alt	unexpected	7	sind
47	24	der Senator spricht viele verschiedene Sprachen und mag lieber Tennis mit seinen Kollegen spielen	expected	7	mag
48	24	der Senator spricht viele verschiedene Sprachen und mögen lieber Tennis mit seinen Kollegen spielen	unexpected	7	mögen
49	25	der Senator spricht viele verschiedene Sprachen und schreibt jeden Tag in seinem Journal	expected	7	schreibt
50	25	der Senator spricht viele verschiedene Sprachen und schreiben jeden Tag in seinem Journal	unexpected	7	schreiben
51	26	der Lehrer spricht viele verschiedene Sprachen und spricht viele verschiedene Sprachen	expected	7	spricht
