sentid	pairid	sentence	comparison	ROI	word
1	1	ה מלצר מאחורי ה שומר רוקד	expected	5	רוקד
2	1	ה מלצר מאחורי ה שומר רוקדים	unexpected	5	רוקדים
3	2	ה מלצר מאחורי ה שומר נוסע	expected	5	נוסע
4	2	ה מלצר מאחורי ה שומר נוסעים	unexpected	5	נוסעים
5	3	ה מלצר מאחורי ה שומר רץ	expected	5	רץ
6	3	ה מלצר מאחורי ה שומר רצים	unexpected	5	רצים
7	4	ה מלצר מאחורי ה שומר ישן	expected	5	ישן
8	4	ה מלצר מאחורי ה שומר ישנים	unexpected	5	ישנים
9	5	ה מלצר מאחורי ה שומר שוחה	expected	5	שוחה
10	5	ה מלצר מאחורי ה שומר שוחים	unexpected	5	שוחים
11	6	ה מלצר מאחורי ה שומר חי	expected	5	חי
12	6	ה מלצר מאחורי ה שומר חיים	unexpected	5	חיים
13	7	ה מלצר מאחורי ה שומר צוחק	expected	5	צוחק
14	7	ה מלצר מאחורי ה שומר צוחקים	unexpected	5	צוחקים
15	8	ה מנהל מאחורי ה שומר רוקד	expected	5	רוקד
16	8	ה מנהל מאחורי ה שומר רוקדים	unexpected	5	רוקדים
17	9	ה מנהל מאחורי ה שומר נוסע	expected	5	נוסע
18	9	ה מנהל מאחורי ה שומר נוסעים	unexpected	5	נוסעים
19	10	ה מנהל מאחורי ה שומר רץ	expected	5	רץ
20	10	ה מנהל מאחורי ה שומר רצים	unexpected	5	רצים
21	11	ה מנהל מאחורי ה שומר ישן	expected	5	ישן
22	11	ה מנהל מאחורי ה שומר ישנים	unexpected	5	ישנים
23	12	ה מנהל מאחורי ה שומר שוחה	expected	5	שוחה
24	12	ה מנהל מאחורי ה שומר שוחים	unexpected	5	שוחים
25	13	ה מנהל מאחורי ה שומר חי	expected	5	חי
26	13	ה מנהל מאחורי ה שומר חיים	unexpected	5	חיים
27	14	ה מנהל מאחורי ה שומר צוחק	expected	5	צוחק
28	14	ה מנהל מאחורי ה שומר צוחקים	unexpected	5	צוחקים
29	15	ה חקלאי מאחורי ה שומר רוקד	expected	5	רוקד
30	15	ה חקלאי מאחורי ה שומר רוקדים	unexpected	5	רוקדים
31	16	ה חקלאי מאחורי ה שומר נוסע	expected	5	נוסע
32	16	ה חקלאי מאחורי ה שומר נוסעים	unexpected	5	נוסעים
33	17	ה חקלאי מאחורי ה שומר רץ	expected	5	רץ
34	17	ה חקלאי מאחורי ה שומר רצים	unexpected	5	רצים
35	18	ה חקלאי מאחורי ה שומר ישן	expected	5	ישן
36	18	ה חקלאי מאחורי ה שומר ישנים	unexpected	5	ישנים
37	19	ה חקלאי מאחורי ה שומר שוחה	expected	5	שוחה
38	19	ה חקלאי מאחורי ה שומר שוחים	unexpected	5	שוחים
39	20	ה חקלאי מאחורי ה שומר חי	expected	5	חי
40	20	ה חקלאי מאחורי ה שומר חיים	unexpected	5	חיים
41	21	ה חקלאי מאחורי ה שומר צוחק	expected	5	צוחק
42	21	ה חקלאי מאחורי ה שומר צוחקים	unexpected	5	צוחקים
43	22	ה רופא מאחורי ה שומר רוקד	expected	5	רוקד
44	22	ה רופא מאחורי ה שומר רוקדים	unexpected	5	רוקדים
45	23	ה רופא מאחורי ה שומר נוסע	expected	5	נוסע
46	23	ה רופא מאחורי ה שומר נוסעים	unexpected	5	נוסעים
47	24	ה רופא מאחורי ה שומר רץ	expected	5	רץ
48	24	ה רופא מאחורי ה שומר רצים	unexpected	5	רצים
49	25	ה רופא מאחורי ה שומר ישן	expected	5	ישן
50	25	ה רופא מאחורי ה שומר ישנים	unexpected	5	ישנים
51	26	ה רופא מאחורי ה שומר שוחה	expected	5	שוחה
52	26	ה רופא מאחורי ה שומר שוחים	unexpected	5	שוחים
53	27	ה רופא מאחורי ה שומר חי	expected	5	חי
54	27	ה רופא מאחורי ה שומר חיים	unexpected	5	חיים
55	28	ה רופא מאחורי ה שומר צוחק	expected	5	צוחק
56	28	ה רופא מאחורי ה שומר צוחקים	unexpected	5	צוחקים
57	29	ה טבח מאחורי ה שומר רוקד	expected	5	רוקד
58	29	ה טבח מאחורי ה שומר רוקדים	unexpected	5	רוקדים
59	30	ה טבח מאחורי ה שומר נוסע	expected	5	נוסע
60	30	ה טבח מאחורי ה שומר נוסעים	unexpected	5	נוסעים
61	31	ה טבח מאחורי ה שומר רץ	expected	5	רץ
62	31	ה טבח מאחורי ה שומר רצים	unexpected	5	רצים
63	32	ה טבח מאחורי ה שומר ישן	expected	5	ישן
64	32	ה טבח מאחורי ה שומר ישנים	unexpected	5	ישנים
65	33	ה טבח מאחורי ה שומר שוחה	expected	5	שוחה
66	33	ה טבח מאחורי ה שומר שוחים	unexpected	5	שוחים
67	34	ה טבח מאחורי ה שומר חי	expected	5	חי
68	34	ה טבח מאחורי ה שומר חיים	unexpected	5	חיים
69	35	ה טבח מאחורי ה שומר צוחק	expected	5	צוחק
70	35	ה טבח מאחורי ה שומר צוחקים	unexpected	5	צוחקים
71	36	ה נהג מאחורי ה שומר רוקד	expected	5	רוקד
72	36	ה נהג מאחורי ה שומר רוקדים	unexpected	5	רוקדים
73	37	ה נהג מאחורי ה שומר נוסע	expected	5	נוסע
74	37	ה נהג מאחורי ה שומר נוסעים	unexpected	5	נוסעים
75	38	ה נהג מאחורי ה שומר רץ	expected	5	רץ
76	38	ה נהג מאחורי ה שומר רצים	unexpected	5	רצים
77	39	ה נהג מאחורי ה שומר ישן	expected	5	ישן
78	39	ה נהג מאחורי ה שומר ישנים	unexpected	5	ישנים
79	40	ה נהג מאחורי ה שומר שוחה	expected	5	שוחה
80	40	ה נהג מאחורי ה שומר שוחים	unexpected	5	שוחים
81	41	ה נהג מאחורי ה שומר חי	expected	5	חי
82	41	ה נהג מאחורי ה שומר חיים	unexpected	5	חיים
83	42	ה נהג מאחורי ה שומר צוחק	expected	5	צוחק
84	42	ה נהג מאחורי ה שומר צוחקים	unexpected	5	צוחקים
85	43	ה חייל מאחורי ה שומר רוקד	expected	5	רוקד
86	43	ה חייל מאחורי ה שומר רוקדים	unexpected	5	רוקדים
87	44	ה חייל מאחורי ה שומר נוסע	expected	5	נוסע
88	44	ה חייל מאחורי ה שומר נוסעים	unexpected	5	נוסעים
89	45	ה חייל מאחורי ה שומר רץ	expected	5	רץ
90	45	ה חייל מאחורי ה שומר רצים	unexpected	5	רצים
91	46	ה חייל מאחורי ה שומר ישן	expected	5	ישן
92	46	ה חייל מאחורי ה שומר ישנים	unexpected	5	ישנים
93	47	ה חייל מאחורי ה שומר שוחה	expected	5	שוחה
94	47	ה חייל מאחורי ה שומר שוחים	unexpected	5	שוחים
95	48	ה חייל מאחורי ה שומר חי	expected	5	חי
96	48	ה חייל מאחורי ה שומר חיים	unexpected	5	חיים
97	49	ה חייל מאחורי ה שומר צוחק	expected	5	צוחק
98	49	ה חייל מאחורי ה שומר צוחקים	unexpected	5	צוחקים
99	50	ה קצין מאחורי ה שומר רוקד	expected	5	רוקד
100	50	ה קצין מאחורי ה שומר רוקדים	unexpected	5	רוקדים
101	51	ה קצין מאחורי ה שומר נוסע	expected	5	נוסע
102	51	ה קצין מאחורי ה שומר נוסעים	unexpected	5	נוסעים
103	52	ה קצין מאחורי ה שומר רץ	expected	5	רץ
104	52	ה קצין מאחורי ה שומר רצים	unexpected	5	רצים
105	53	ה קצין מאחורי ה שומר ישן	expected	5	ישן
106	53	ה קצין מאחורי ה שומר ישנים	unexpected	5	ישנים
107	54	ה קצין מאחורי ה שומר שוחה	expected	5	שוחה
108	54	ה קצין מאחורי ה שומר שוחים	unexpected	5	שוחים
109	55	ה קצין מאחורי ה שומר חי	expected	5	חי
110	55	ה קצין מאחורי ה שומר חיים	unexpected	5	חיים
111	56	ה קצין מאחורי ה שומר צוחק	expected	5	צוחק
112	56	ה קצין מאחורי ה שומר צוחקים	unexpected	5	צוחקים
113	57	ה טייס מאחורי ה שומר רוקד	expected	5	רוקד
114	57	ה טייס מאחורי ה שומר רוקדים	unexpected	5	רוקדים
115	58	ה טייס מאחורי ה שומר נוסע	expected	5	נוסע
116	58	ה טייס מאחורי ה שומר נוסעים	unexpected	5	נוסעים
117	59	ה טייס מאחורי ה שומר רץ	expected	5	רץ
118	59	ה טייס מאחורי ה שומר רצים	unexpected	5	רצים
119	60	ה טייס מאחורי ה שומר ישן	expected	5	ישן
120	60	ה טייס מאחורי ה שומר ישנים	unexpected	5	ישנים
121	61	ה טייס מאחורי ה שומר שוחה	expected	5	שוחה
122	61	ה טייס מאחורי ה שומר שוחים	unexpected	5	שוחים
123	62	ה טייס מאחורי ה שומר חי	expected	5	חי
124	62	ה טייס מאחורי ה שומר חיים	unexpected	5	חיים
125	63	ה טייס מאחורי ה שומר צוחק	expected	5	צוחק
126	63	ה טייס מאחורי ה שומר צוחקים	unexpected	5	צוחקים
127	64	ה יועץ מאחורי ה שומר רוקד	expected	5	רוקד
128	64	ה יועץ מאחורי ה שומר רוקדים	unexpected	5	רוקדים
129	65	ה יועץ מאחורי ה שומר נוסע	expected	5	נוסע
130	65	ה יועץ מאחורי ה שומר נוסעים	unexpected	5	נוסעים
131	66	ה יועץ מאחורי ה שומר רץ	expected	5	רץ
132	66	ה יועץ מאחורי ה שומר רצים	unexpected	5	רצים
133	67	ה יועץ מאחורי ה שומר ישן	expected	5	ישן
134	67	ה יועץ מאחורי ה שומר ישנים	unexpected	5	ישנים
135	68	ה יועץ מאחורי ה שומר שוחה	expected	5	שוחה
136	68	ה יועץ מאחורי ה שומר שוחים	unexpected	5	שוחים
137	69	ה יועץ מאחורי ה שומר חי	expected	5	חי
138	69	ה יועץ מאחורי ה שומר חיים	unexpected	5	חיים
139	70	ה יועץ מאחורי ה שומר צוחק	expected	5	צוחק
140	70	ה יועץ מאחורי ה שומר צוחקים	unexpected	5	צוחקים
141	71	ה מלצר ליד ה שומר רוקד	expected	5	רוקד
142	71	ה מלצר ליד ה שומר רוקדים	unexpected	5	רוקדים
143	72	ה מלצר ליד ה שומר נוסע	expected	5	נוסע
144	72	ה מלצר ליד ה שומר נוסעים	unexpected	5	נוסעים
145	73	ה מלצר ליד ה שומר רץ	expected	5	רץ
146	73	ה מלצר ליד ה שומר רצים	unexpected	5	רצים
147	74	ה מלצר ליד ה שומר ישן	expected	5	ישן
148	74	ה מלצר ליד ה שומר ישנים	unexpected	5	ישנים
149	75	ה מלצר ליד ה שומר שוחה	expected	5	שוחה
150	75	ה מלצר ליד ה שומר שוחים	unexpected	5	שוחים
151	76	ה מלצר ליד ה שומר חי	expected	5	חי
152	76	ה מלצר ליד ה שומר חיים	unexpected	5	חיים
153	77	ה מלצר ליד ה שומר צוחק	expected	5	צוחק
