sentid	pairid	sentence	comparison	ROI	word
1	1	les auteurs qui aiment les gardes déménagent	expected	6	déménagent
2	1	les auteurs qui aiment les gardes déménage	unexpected	6	déménage
3	2	les auteurs qui aiment les gardes parlent	expected	6	parlent
4	2	les auteurs qui aiment les gardes parle	unexpected	6	parle
5	3	les auteurs qui aiment les gardes retournent	expected	6	retournent
6	3	les auteurs qui aiment les gardes retourne	unexpected	6	retourne
7	4	les auteurs qui aiment les gardes sont vieux	expected	6	sont
8	4	les auteurs qui aiment les gardes est vieux	unexpected	6	est
9	5	les auteurs qui aiment les gardes sont petits	expected	6	sont
10	5	les auteurs qui aiment les gardes est petit	unexpected	6	est
11	6	les auteurs qui aiment les gardes sont jeunes	expected	6	sont
12	6	les auteurs qui aiment les gardes est jeune	unexpected	6	est
13	7	les auteurs qui aiment les gardes sont grands	expected	6	sont
14	7	les auteurs qui aiment les gardes est grand	unexpected	6	est
15	8	les directeurs qui aiment les gardes déménagent	expected	6	déménagent
16	8	les directeurs qui aiment les gardes déménage	unexpected	6	déménage
17	9	les directeurs qui aiment les gardes parlent	expected	6	parlent
18	9	les directeurs qui aiment les gardes parle	unexpected	6	parle
19	10	les directeurs qui aiment les gardes retournent	expected	6	retournent
20	10	les directeurs qui aiment les gardes retourne	unexpected	6	retourne
21	11	les directeurs qui aiment les gardes sont vieux	expected	6	sont
22	11	les directeurs qui aiment les gardes est vieux	unexpected	6	est
23	12	les directeurs qui aiment les gardes sont petits	expected	6	sont
24	12	les directeurs qui aiment les gardes est petit	unexpected	6	est
25	13	les directeurs qui aiment les gardes sont jeunes	expected	6	sont
26	13	les directeurs qui aiment les gardes est jeune	unexpected	6	est
27	14	les directeurs qui aiment les gardes sont grands	expected	6	sont
28	14	les directeurs qui aiment les gardes est grand	unexpected	6	est
29	15	les agriculteurs qui aiment les gardes déménagent	expected	6	déménagent
30	15	les agriculteurs qui aiment les gardes déménage	unexpected	6	déménage
31	16	les agriculteurs qui aiment les gardes parlent	expected	6	parlent
32	16	les agriculteurs qui aiment les gardes parle	unexpected	6	parle
33	17	les agriculteurs qui aiment les gardes retournent	expected	6	retournent
34	17	les agriculteurs qui aiment les gardes retourne	unexpected	6	retourne
35	18	les agriculteurs qui aiment les gardes sont vieux	expected	6	sont
36	18	les agriculteurs qui aiment les gardes est vieux	unexpected	6	est
37	19	les agriculteurs qui aiment les gardes sont petits	expected	6	sont
38	19	les agriculteurs qui aiment les gardes est petit	unexpected	6	est
39	20	les agriculteurs qui aiment les gardes sont jeunes	expected	6	sont
40	20	les agriculteurs qui aiment les gardes est jeune	unexpected	6	est
41	21	les agriculteurs qui aiment les gardes sont grands	expected	6	sont
42	21	les agriculteurs qui aiment les gardes est grand	unexpected	6	est
43	22	les chirurgiens qui aiment les gardes déménagent	expected	6	déménagent
44	22	les chirurgiens qui aiment les gardes déménage	unexpected	6	déménage
45	23	les chirurgiens qui aiment les gardes parlent	expected	6	parlent
46	23	les chirurgiens qui aiment les gardes parle	unexpected	6	parle
47	24	les chirurgiens qui aiment les gardes retournent	expected	6	retournent
48	24	les chirurgiens qui aiment les gardes retourne	unexpected	6	retourne
49	25	les chirurgiens qui aiment les gardes sont vieux	expected	6	sont
50	25	les chirurgiens qui aiment les gardes est vieux	unexpected	6	est
51	26	les chirurgiens qui aiment les gardes sont petits	expected	6	sont
52	26	les chirurgiens qui aiment les gardes est petit	unexpected	6	est
53	27	les chirurgiens qui aiment les gardes sont jeunes	expected	6	sont
54	27	les chirurgiens qui aiment les gardes est jeune	unexpected	6	est
55	28	les chirurgiens qui aiment les gardes sont grands	expected	6	sont
56	28	les chirurgiens qui aiment les gardes est grand	unexpected	6	est
57	29	les sénateurs qui aiment les gardes déménagent	expected	6	déménagent
58	29	les sénateurs qui aiment les gardes déménage	unexpected	6	déménage
59	30	les sénateurs qui aiment les gardes parlent	expected	6	parlent
60	30	les sénateurs qui aiment les gardes parle	unexpected	6	parle
61	31	les sénateurs qui aiment les gardes retournent	expected	6	retournent
62	31	les sénateurs qui aiment les gardes retourne	unexpected	6	retourne
63	32	les sénateurs qui aiment les gardes sont vieux	expected	6	sont
64	32	les sénateurs qui aiment les gardes est vieux	unexpected	6	est
65	33	les sénateurs qui aiment les gardes sont petits	expected	6	sont
66	33	les sénateurs qui aiment les gardes est petit	unexpected	6	est
67	34	les sénateurs qui aiment les gardes sont jeunes	expected	6	sont
68	34	les sénateurs qui aiment les gardes est jeune	unexpected	6	est
69	35	les sénateurs qui aiment les gardes sont grands	expected	6	sont
70	35	les sénateurs qui aiment les gardes est grand	unexpected	6	est
71	36	les professeurs qui aiment les gardes déménagent	expected	6	déménagent
72	36	les professeurs qui aiment les gardes déménage	unexpected	6	déménage
73	37	les professeurs qui aiment les gardes parlent	expected	6	parlent
74	37	les professeurs qui aiment les gardes parle	unexpected	6	parle
75	38	les professeurs qui aiment les gardes retournent	expected	6	retournent
76	38	les professeurs qui aiment les gardes retourne	unexpected	6	retourne
77	39	les professeurs qui aiment les gardes sont vieux	expected	6	sont
78	39	les professeurs qui aiment les gardes est vieux	unexpected	6	est
79	40	les professeurs qui aiment les gardes sont petits	expected	6	sont
80	40	les professeurs qui aiment les gardes est petit	unexpected	6	est
81	41	les professeurs qui aiment les gardes sont jeunes	expected	6	sont
82	41	les professeurs qui aiment les gardes est jeune	unexpected	6	est
83	42	les professeurs qui aiment les gardes sont grands	expected	6	sont
84	42	les professeurs qui aiment les gardes est grand	unexpected	6	est
85	43	les clients qui aiment les gardes déménagent	expected	6	déménagent
86	43	les clients qui aiment les gardes déménage	unexpected	6	déménage
87	44	les clients qui aiment les gardes parlent	expected	6	parlent
88	44	les clients qui aiment les gardes parle	unexpected	6	parle
