sentid	pairid	sentence	comparison	ROI
1	1	the author that the guards like laughs	expected	6
2	1	the author that the guards like laugh	unexpected	6
3	2	the author that the guards like swims	expected	6
4	2	the author that the guards like swim	unexpected	6
5	3	the author that the guards like smiles	expected	6
6	3	the author that the guards like smile	unexpected	6
7	4	the author that the guards like is tall	expected	6
8	4	the author that the guards like are tall	unexpected	6
9	5	the author that the guards like is old	expected	6
10	5	the author that the guards like are old	unexpected	6
11	6	the author that the guards like is young	expected	6
12	6	the author that the guards like are young	unexpected	6
13	7	the author that the guards like is short	expected	6
14	7	the author that the guards like are short	unexpected	6
15	8	the author that the guards admire laughs	expected	6
16	8	the author that the guards admire laugh	unexpected	6
17	9	the author that the guards admire swims	expected	6
18	9	the author that the guards admire swim	unexpected	6
19	10	the author that the guards admire smiles	expected	6
20	10	the author that the guards admire smile	unexpected	6
21	11	the author that the guards admire is tall	expected	6
22	11	the author that the guards admire are tall	unexpected	6
23	12	the author that the guards admire is old	expected	6
24	12	the author that the guards admire are old	unexpected	6
25	13	the author that the guards admire is young	expected	6
26	13	the author that the guards admire are young	unexpected	6
27	14	the author that the guards admire is short	expected	6
28	14	the author that the guards admire are short	unexpected	6
29	15	the author that the guards hate laughs	expected	6
30	15	the author that the guards hate laugh	unexpected	6
31	16	the author that the guards hate swims	expected	6
32	16	the author that the guards hate swim	unexpected	6
33	17	the author that the guards hate smiles	expected	6
34	17	the author that the guards hate smile	unexpected	6
35	18	the author that the guards hate is tall	expected	6
36	18	the author that the guards hate are tall	unexpected	6
37	19	the author that the guards hate is old	expected	6
38	19	the author that the guards hate are old	unexpected	6
39	20	the author that the guards hate is young	expected	6
40	20	the author that the guards hate are young	unexpected	6
41	21	the author that the guards hate is short	expected	6
42	21	the author that the guards hate are short	unexpected	6
43	22	the author that the guards love laughs	expected	6
44	22	the author that the guards love laugh	unexpected	6
45	23	the author that the guards love swims	expected	6
46	23	the author that the guards love swim	unexpected	6
47	24	the author that the guards love smiles	expected	6
48	24	the author that the guards love smile	unexpected	6
49	25	the author that the guards love is tall	expected	6
50	25	the author that the guards love are tall	unexpected	6
51	26	the author that the guards love is old	expected	6
52	26	the author that the guards love are old	unexpected	6
53	27	the author that the guards love is young	expected	6
54	27	the author that the guards love are young	unexpected	6
55	28	the author that the guards love is short	expected	6
56	28	the author that the guards love are short	unexpected	6
57	29	the author that the chefs like laughs	expected	6
58	29	the author that the chefs like laugh	unexpected	6
59	30	the author that the chefs like swims	expected	6
60	30	the author that the chefs like swim	unexpected	6
61	31	the author that the chefs like smiles	expected	6
62	31	the author that the chefs like smile	unexpected	6
63	32	the author that the chefs like is tall	expected	6
64	32	the author that the chefs like are tall	unexpected	6
65	33	the author that the chefs like is old	expected	6
66	33	the author that the chefs like are old	unexpected	6
67	34	the author that the chefs like is young	expected	6
68	34	the author that the chefs like are young	unexpected	6
69	35	the author that the chefs like is short	expected	6
70	35	the author that the chefs like are short	unexpected	6
71	36	the author that the chefs admire laughs	expected	6
72	36	the author that the chefs admire laugh	unexpected	6
73	37	the author that the chefs admire swims	expected	6
74	37	the author that the chefs admire swim	unexpected	6
75	38	the author that the chefs admire smiles	expected	6
76	38	the author that the chefs admire smile	unexpected	6
77	39	the author that the chefs admire is tall	expected	6
78	39	the author that the chefs admire are tall	unexpected	6
79	40	the author that the chefs admire is old	expected	6
80	40	the author that the chefs admire are old	unexpected	6
81	41	the author that the chefs admire is young	expected	6
82	41	the author that the chefs admire are young	unexpected	6
83	42	the author that the chefs admire is short	expected	6
84	42	the author that the chefs admire are short	unexpected	6
85	43	the author that the chefs hate laughs	expected	6
86	43	the author that the chefs hate laugh	unexpected	6
87	44	the author that the chefs hate swims	expected	6
88	44	the author that the chefs hate swim	unexpected	6
89	45	the author that the chefs hate smiles	expected	6
90	45	the author that the chefs hate smile	unexpected	6
91	46	the author that the chefs hate is tall	expected	6
92	46	the author that the chefs hate are tall	unexpected	6
93	47	the author that the chefs hate is old	expected	6
94	47	the author that the chefs hate are old	unexpected	6
95	48	the author that the chefs hate is young	expected	6
96	48	the author that the chefs hate are young	unexpected	6
97	49	the author that the chefs hate is short	expected	6
98	49	the author that the chefs hate are short	unexpected	6
99	50	the author that the chefs love laughs	expected	6
100	50	the author that the chefs love laugh	unexpected	6
101	51	the author that the chefs love swims	expected	6
102	51	the author that the chefs love swim	unexpected	6
103	52	the author that the chefs love smiles	expected	6
104	52	the author that the chefs love smile	unexpected	6
105	53	the author that the chefs love is tall	expected	6
106	53	the author that the chefs love are tall	unexpected	6
107	54	the author that the chefs love is old	expected	6
108	54	the author that the chefs love are old	unexpected	6
109	55	the author that the chefs love is young	expected	6
110	55	the author that the chefs love are young	unexpected	6
111	56	the author that the chefs love is short	expected	6
112	56	the author that the chefs love are short	unexpected	6
113	57	the author that the architects like laughs	expected	6
114	57	the author that the architects like laugh	unexpected	6
115	58	the author that the architects like swims	expected	6
116	58	the author that the architects like swim	unexpected	6
117	59	the author that the architects like smiles	expected	6
118	59	the author that the architects like smile	unexpected	6
119	60	the author that the architects like is tall	expected	6
120	60	the author that the architects like are tall	unexpected	6
121	61	the author that the architects like is old	expected	6
122	61	the author that the architects like are old	unexpected	6
123	62	the author that the architects like is young	expected	6
124	62	the author that the architects like are young	unexpected	6
125	63	the author that the architects like is short	expected	6
126	63	the author that the architects like are short	unexpected	6
127	64	the author that the architects admire laughs	expected	6
128	64	the author that the architects admire laugh	unexpected	6
129	65	the author that the architects admire swims	expected	6
130	65	the author that the architects admire swim	unexpected	6
131	66	the author that the architects admire smiles	expected	6
132	66	the author that the architects admire smile	unexpected	6
133	67	the author that the architects admire is tall	expected	6
134	67	the author that the architects admire are tall	unexpected	6
135	68	the author that the architects admire is old	expected	6
136	68	the author that the architects admire are old	unexpected	6
137	69	the author that the architects admire is young	expected	6
138	69	the author that the architects admire are young	unexpected	6
139	70	the author that the architects admire is short	expected	6
140	70	the author that the architects admire are short	unexpected	6
141	71	the author that the architects hate laughs	expected	6
142	71	the author that the architects hate laugh	unexpected	6
143	72	the author that the architects hate swims	expected	6
144	72	the author that the architects hate swim	unexpected	6
145	73	the author that the architects hate smiles	expected	6
146	73	the author that the architects hate smile	unexpected	6
147	74	the author that the architects hate is tall	expected	6
148	74	the author that the architects hate are tall	unexpected	6
149	75	the author that the architects hate is old	expected	6
150	75	the author that the architects hate are old	unexpected	6
151	76	the author that the architects hate is young	expected	6
152	76	the author that the architects hate are young	unexpected	6
153	77	the author that the architects hate is short	expected	6
154	77	the author that the architects hate are short	unexpected	6
155	78	the author that the architects love laughs	expected	6
156	78	the author that the architects love laugh	unexpected	6
157	79	the author that the architects love swims	expected	6
158	79	the author that the architects love swim	unexpected	6
159	80	the author that the architects love smiles	expected	6
160	80	the author that the architects love smile	unexpected	6
161	81	the author that the architects love is tall	expected	6
162	81	the author that the architects love are tall	unexpected	6
163	82	the author that the architects love is old	expected	6
164	82	the author that the architects love are old	unexpected	6
165	83	the author that the architects love is young	expected	6
166	83	the author that the architects love are young	unexpected	6
167	84	the author that the architects love is short	expected	6
168	84	the author that the architects love are short	unexpected	6
169	85	the author that the skaters like laughs	expected	6
170	85	the author that the skaters like laugh	unexpected	6
171	86	the author that the skaters like swims	expected	6
172	86	the author that the skaters like swim	unexpected	6
173	87	the author that the skaters like smiles	expected	6
174	87	the author that the skaters like smile	unexpected	6
175	88	the author that the skaters like is tall	expected	6
176	88	the author that the skaters like are tall	unexpected	6
177	89	the author that the skaters like is old	expected	6
178	89	the author that the skaters like are old	unexpected	6
179	90	the author that the skaters like is young	expected	6
180	90	the author that the skaters like are young	unexpected	6
181	91	the author that the skaters like is short	expected	6
182	91	the author that the skaters like are short	unexpected	6
183	92	the author that the skaters admire laughs	expected	6
184	92	the author that the skaters admire laugh	unexpected	6
185	93	the author that the skaters admire swims	expected	6
186	93	the author that the skaters admire swim	unexpected	6
187	94	the author that the skaters admire smiles	expected	6
188	94	the author that the skaters admire smile	unexpected	6
189	95	the author that the skaters admire is tall	expected	6
190	95	the author that the skaters admire are tall	unexpected	6
191	96	the author that the skaters admire is old	expected	6
192	96	the author that the skaters admire are old	unexpected	6
193	97	the author that the skaters admire is young	expected	6
194	97	the author that the skaters admire are young	unexpected	6
195	98	the author that the skaters admire is short	expected	6
196	98	the author that the skaters admire are short	unexpected	6
197	99	the author that the skaters hate laughs	expected	6
198	99	the author that the skaters hate laugh	unexpected	6
199	100	the author that the skaters hate swims	expected	6
200	100	the author that the skaters hate swim	unexpected	6
201	101	the author that the skaters hate smiles	expected	6
202	101	the author that the skaters hate smile	unexpected	6
203	102	the author that the skaters hate is tall	expected	6
204	102	the author that the skaters hate are tall	unexpected	6
205	103	the author that the skaters hate is old	expected	6
206	103	the author that the skaters hate are old	unexpected	6
207	104	the author that the skaters hate is young	expected	6
208	104	the author that the skaters hate are young	unexpected	6
209	105	the author that the skaters hate is short	expected	6
210	105	the author that the skaters hate are short	unexpected	6
211	106	the author that the skaters love laughs	expected	6
212	106	the author that the skaters love laugh	unexpected	6
213	107	the author that the skaters love swims	expected	6
214	107	the author that the skaters love swim	unexpected	6
215	108	the author that the skaters love smiles	expected	6
216	108	the author that the skaters love smile	unexpected	6
217	109	the author that the skaters love is tall	expected	6
218	109	the author that the skaters love are tall	unexpected	6
219	110	the author that the skaters love is old	expected	6
220	110	the author that the skaters love are old	unexpected	6
221	111	the author that the skaters love is young	expected	6
222	111	the author that the skaters love are young	unexpected	6
223	112	the author that the skaters love is short	expected	6
224	112	the author that the skaters love are short	unexpected	6
225	113	the author that the dancers like laughs	expected	6
226	113	the author that the dancers like laugh	unexpected	6
227	114	the author that the dancers like swims	expected	6
228	114	the author that the dancers like swim	unexpected	6
229	115	the author that the dancers like smiles	expected	6
230	115	the author that the dancers like smile	unexpected	6
231	116	the author that the dancers like is tall	expected	6
232	116	the author that the dancers like are tall	unexpected	6
233	117	the author that the dancers like is old	expected	6
234	117	the author that the dancers like are old	unexpected	6
235	118	the author that the dancers like is young	expected	6
236	118	the author that the dancers like are young	unexpected	6
237	119	the author that the dancers like is short	expected	6
238	119	the author that the dancers like are short	unexpected	6
239	120	the author that the dancers admire laughs	expected	6
240	120	the author that the dancers admire laugh	unexpected	6
241	121	the author that the dancers admire swims	expected	6
242	121	the author that the dancers admire swim	unexpected	6
243	122	the author that the dancers admire smiles	expected	6
244	122	the author that the dancers admire smile	unexpected	6
245	123	the author that the dancers admire is tall	expected	6
246	123	the author that the dancers admire are tall	unexpected	6
247	124	the author that the dancers admire is old	expected	6
248	124	the author that the dancers admire are old	unexpected	6
249	125	the author that the dancers admire is young	expected	6
250	125	the author that the dancers admire are young	unexpected	6
251	126	the author that the dancers admire is short	expected	6
252	126	the author that the dancers admire are short	unexpected	6
253	127	the author that the dancers hate laughs	expected	6
254	127	the author that the dancers hate laugh	unexpected	6
255	128	the author that the dancers hate swims	expected	6
256	128	the author that the dancers hate swim	unexpected	6
257	129	the author that the dancers hate smiles	expected	6
258	129	the author that the dancers hate smile	unexpected	6
259	130	the author that the dancers hate is tall	expected	6
260	130	the author that the dancers hate are tall	unexpected	6
261	131	the author that the dancers hate is old	expected	6
262	131	the author that the dancers hate are old	unexpected	6
263	132	the author that the dancers hate is young	expected	6
264	132	the author that the dancers hate are young	unexpected	6
265	133	the author that the dancers hate is short	expected	6
266	133	the author that the dancers hate are short	unexpected	6
267	134	the author that the dancers love laughs	expected	6
268	134	the author that the dancers love laugh	unexpected	6
269	135	the author that the dancers love swims	expected	6
270	135	the author that the dancers love swim	unexpected	6
271	136	the author that the dancers love smiles	expected	6
272	136	the author that the dancers love smile	unexpected	6
273	137	the author that the dancers love is tall	expected	6
274	137	the author that the dancers love are tall	unexpected	6
275	138	the author that the dancers love is old	expected	6
276	138	the author that the dancers love are old	unexpected	6
277	139	the author that the dancers love is young	expected	6
278	139	the author that the dancers love are young	unexpected	6
279	140	the author that the dancers love is short	expected	6
280	140	the author that the dancers love are short	unexpected	6
281	141	the author that the ministers like laughs	expected	6
282	141	the author that the ministers like laugh	unexpected	6
283	142	the author that the ministers like swims	expected	6
284	142	the author that the ministers like swim	unexpected	6
285	143	the author that the ministers like smiles	expected	6
286	143	the author that the ministers like smile	unexpected	6
287	144	the author that the ministers like is tall	expected	6
288	144	the author that the ministers like are tall	unexpected	6
289	145	the author that the ministers like is old	expected	6
290	145	the author that the ministers like are old	unexpected	6
291	146	the author that the ministers like is young	expected	6
292	146	the author that the ministers like are young	unexpected	6
293	147	the author that the ministers like is short	expected	6
294	147	the author that the ministers like are short	unexpected	6
295	148	the author that the ministers admire laughs	expected	6
296	148	the author that the ministers admire laugh	unexpected	6
297	149	the author that the ministers admire swims	expected	6
298	149	the author that the ministers admire swim	unexpected	6
299	150	the author that the ministers admire smiles	expected	6
300	150	the author that the ministers admire smile	unexpected	6
301	151	the author that the ministers admire is tall	expected	6
302	151	the author that the ministers admire are tall	unexpected	6
303	152	the author that the ministers admire is old	expected	6
304	152	the author that the ministers admire are old	unexpected	6
305	153	the author that the ministers admire is young	expected	6
306	153	the author that the ministers admire are young	unexpected	6
307	154	the author that the ministers admire is short	expected	6
308	154	the author that the ministers admire are short	unexpected	6
309	155	the author that the ministers hate laughs	expected	6
310	155	the author that the ministers hate laugh	unexpected	6
311	156	the author that the ministers hate swims	expected	6
312	156	the author that the ministers hate swim	unexpected	6
313	157	the author that the ministers hate smiles	expected	6
314	157	the author that the ministers hate smile	unexpected	6
315	158	the author that the ministers hate is tall	expected	6
316	158	the author that the ministers hate are tall	unexpected	6
317	159	the author that the ministers hate is old	expected	6
318	159	the author that the ministers hate are old	unexpected	6
319	160	the author that the ministers hate is young	expected	6
320	160	the author that the ministers hate are young	unexpected	6
321	161	the author that the ministers hate is short	expected	6
322	161	the author that the ministers hate are short	unexpected	6
323	162	the author that the ministers love laughs	expected	6
324	162	the author that the ministers love laugh	unexpected	6
325	163	the author that the ministers love swims	expected	6
326	163	the author that the ministers love swim	unexpected	6
327	164	the author that the ministers love smiles	expected	6
328	164	the author that the ministers love smile	unexpected	6
329	165	the author that the ministers love is tall	expected	6
330	165	the author that the ministers love are tall	unexpected	6
331	166	the author that the ministers love is old	expected	6
332	166	the author that the ministers love are old	unexpected	6
333	167	the author that the ministers love is young	expected	6
334	167	the author that the ministers love are young	unexpected	6
335	168	the author that the ministers love is short	expected	6
336	168	the author that the ministers love are short	unexpected	6
337	169	the author that the taxi drivers like laughs	expected	7
338	169	the author that the taxi drivers like laugh	unexpected	7
339	170	the author that the taxi drivers like swims	expected	7
340	170	the author that the taxi drivers like swim	unexpected	7
341	171	the author that the taxi drivers like smiles	expected	7
342	171	the author that the taxi drivers like smile	unexpected	7
343	172	the author that the taxi drivers like is tall	expected	7
344	172	the author that the taxi drivers like are tall	unexpected	7
345	173	the author that the taxi drivers like is old	expected	7
346	173	the author that the taxi drivers like are old	unexpected	7
347	174	the author that the taxi drivers like is young	expected	7
348	174	the author that the taxi drivers like are young	unexpected	7
349	175	the author that the taxi drivers like is short	expected	7
350	175	the author that the taxi drivers like are short	unexpected	7
351	176	the author that the taxi drivers admire laughs	expected	7
352	176	the author that the taxi drivers admire laugh	unexpected	7
353	177	the author that the taxi drivers admire swims	expected	7
354	177	the author that the taxi drivers admire swim	unexpected	7
355	178	the author that the taxi drivers admire smiles	expected	7
356	178	the author that the taxi drivers admire smile	unexpected	7
357	179	the author that the taxi drivers admire is tall	expected	7
358	179	the author that the taxi drivers admire are tall	unexpected	7
359	180	the author that the taxi drivers admire is old	expected	7
360	180	the author that the taxi drivers admire are old	unexpected	7
361	181	the author that the taxi drivers admire is young	expected	7
362	181	the author that the taxi drivers admire are young	unexpected	7
363	182	the author that the taxi drivers admire is short	expected	7
364	182	the author that the taxi drivers admire are short	unexpected	7
365	183	the author that the taxi drivers hate laughs	expected	7
366	183	the author that the taxi drivers hate laugh	unexpected	7
367	184	the author that the taxi drivers hate swims	expected	7
368	184	the author that the taxi drivers hate swim	unexpected	7
369	185	the author that the taxi drivers hate smiles	expected	7
370	185	the author that the taxi drivers hate smile	unexpected	7
371	186	the author that the taxi drivers hate is tall	expected	7
372	186	the author that the taxi drivers hate are tall	unexpected	7
373	187	the author that the taxi drivers hate is old	expected	7
374	187	the author that the taxi drivers hate are old	unexpected	7
375	188	the author that the taxi drivers hate is young	expected	7
376	188	the author that the taxi drivers hate are young	unexpected	7
377	189	the author that the taxi drivers hate is short	expected	7
378	189	the author that the taxi drivers hate are short	unexpected	7
379	190	the author that the taxi drivers love laughs	expected	7
380	190	the author that the taxi drivers love laugh	unexpected	7
381	191	the author that the taxi drivers love swims	expected	7
382	191	the author that the taxi drivers love swim	unexpected	7
383	192	the author that the taxi drivers love smiles	expected	7
384	192	the author that the taxi drivers love smile	unexpected	7
385	193	the author that the taxi drivers love is tall	expected	7
386	193	the author that the taxi drivers love are tall	unexpected	7
387	194	the author that the taxi drivers love is old	expected	7
388	194	the author that the taxi drivers love are old	unexpected	7
389	195	the author that the taxi drivers love is young	expected	7
390	195	the author that the taxi drivers love are young	unexpected	7
391	196	the author that the taxi drivers love is short	expected	7
392	196	the author that the taxi drivers love are short	unexpected	7
393	197	the author that the assistants like laughs	expected	6
394	197	the author that the assistants like laugh	unexpected	6
395	198	the author that the assistants like swims	expected	6
396	198	the author that the assistants like swim	unexpected	6
397	199	the author that the assistants like smiles	expected	6
398	199	the author that the assistants like smile	unexpected	6
399	200	the author that the assistants like is tall	expected	6
400	200	the author that the assistants like are tall	unexpected	6
401	201	the author that the assistants like is old	expected	6
402	201	the author that the assistants like are old	unexpected	6
403	202	the author that the assistants like is young	expected	6
404	202	the author that the assistants like are young	unexpected	6
