sentid	pairid	sentence	comparison	ROI	word
1	1	les auteurs que les gardes aiment déménagent	expected	5	aiment
2	1	les auteurs que les gardes aime déménagent	unexpected	5	aime
3	2	les auteurs que les gardes détestent déménagent	expected	5	détestent
4	2	les auteurs que les gardes déteste déménagent	unexpected	5	déteste
5	3	les auteurs que les gardes admirent déménagent	expected	5	admirent
6	3	les auteurs que les gardes admire déménagent	unexpected	5	admire
7	4	les auteurs que les gardes évitent déménagent	expected	5	évitent
8	4	les auteurs que les gardes évite déménagent	unexpected	5	évite
9	5	les directeurs que les gardes aiment déménagent	expected	5	aiment
10	5	les directeurs que les gardes aime déménagent	unexpected	5	aime
11	6	les directeurs que les gardes détestent déménagent	expected	5	détestent
12	6	les directeurs que les gardes déteste déménagent	unexpected	5	déteste
13	7	les directeurs que les gardes admirent déménagent	expected	5	admirent
14	7	les directeurs que les gardes admire déménagent	unexpected	5	admire
15	8	les directeurs que les gardes évitent déménagent	expected	5	évitent
16	8	les directeurs que les gardes évite déménagent	unexpected	5	évite
17	9	les agriculteurs que les gardes aiment déménagent	expected	5	aiment
18	9	les agriculteurs que les gardes aime déménagent	unexpected	5	aime
19	10	les agriculteurs que les gardes détestent déménagent	expected	5	détestent
20	10	les agriculteurs que les gardes déteste déménagent	unexpected	5	déteste
21	11	les agriculteurs que les gardes admirent déménagent	expected	5	admirent
22	11	les agriculteurs que les gardes admire déménagent	unexpected	5	admire
23	12	les agriculteurs que les gardes évitent déménagent	expected	5	évitent
24	12	les agriculteurs que les gardes évite déménagent	unexpected	5	évite
25	13	les chirurgiens que les gardes aiment déménagent	expected	5	aiment
26	13	les chirurgiens que les gardes aime déménagent	unexpected	5	aime
27	14	les chirurgiens que les gardes détestent déménagent	expected	5	détestent
28	14	les chirurgiens que les gardes déteste déménagent	unexpected	5	déteste
29	15	les chirurgiens que les gardes admirent déménagent	expected	5	admirent
30	15	les chirurgiens que les gardes admire déménagent	unexpected	5	admire
31	16	les chirurgiens que les gardes évitent déménagent	expected	5	évitent
32	16	les chirurgiens que les gardes évite déménagent	unexpected	5	évite
33	17	les sénateurs que les gardes aiment déménagent	expected	5	aiment
34	17	les sénateurs que les gardes aime déménagent	unexpected	5	aime
35	18	les sénateurs que les gardes détestent déménagent	expected	5	détestent
36	18	les sénateurs que les gardes déteste déménagent	unexpected	5	déteste
37	19	les sénateurs que les gardes admirent déménagent	expected	5	admirent
38	19	les sénateurs que les gardes admire déménagent	unexpected	5	admire
39	20	les sénateurs que les gardes évitent déménagent	expected	5	évitent
40	20	les sénateurs que les gardes évite déménagent	unexpected	5	évite
41	21	les professeurs que les gardes aiment déménagent	expected	5	aiment
42	21	les professeurs que les gardes aime déménagent	unexpected	5	aime
43	22	les professeurs que les gardes détestent déménagent	expected	5	détestent
44	22	les professeurs que les gardes déteste déménagent	unexpected	5	déteste
45	23	les professeurs que les gardes admirent déménagent	expected	5	admirent
46	23	les professeurs que les gardes admire déménagent	unexpected	5	admire
47	24	les professeurs que les gardes évitent déménagent	expected	5	évitent
48	24	les professeurs que les gardes évite déménagent	unexpected	5	évite
49	25	les clients que les gardes aiment déménagent	expected	5	aiment
50	25	les clients que les gardes aime déménagent	unexpected	5	aime
51	26	les clients que les gardes détestent déménagent	expected	5	détestent
52	26	les clients que les gardes déteste déménagent	unexpected	5	déteste
53	27	les clients que les gardes admirent déménagent	expected	5	admirent
54	27	les clients que les gardes admire déménagent	unexpected	5	admire
55	28	les clients que les gardes évitent déménagent	expected	5	évitent
56	28	les clients que les gardes évite déménagent	unexpected	5	évite
57	29	les officiers que les gardes aiment déménagent	expected	5	aiment
58	29	les officiers que les gardes aime déménagent	unexpected	5	aime
59	30	les officiers que les gardes détestent déménagent	expected	5	détestent
60	30	les officiers que les gardes déteste déménagent	unexpected	5	déteste
61	31	les officiers que les gardes admirent déménagent	expected	5	admirent
62	31	les officiers que les gardes admire déménagent	unexpected	5	admire
63	32	les officiers que les gardes évitent déménagent	expected	5	évitent
64	32	les officiers que les gardes évite déménagent	unexpected	5	évite
