sentid	pairid	sentence	comparison	ROI
1	1	the authors next to the guard laugh	expected	6
2	1	the authors next to the guard laughs	unexpected	6
3	2	the authors next to the guard swim	expected	6
4	2	the authors next to the guard swims	unexpected	6
5	3	the authors next to the guard smile	expected	6
6	3	the authors next to the guard smiles	unexpected	6
7	4	the authors next to the guard are tall	expected	6
8	4	the authors next to the guard is tall	unexpected	6
9	5	the authors next to the guard are old	expected	6
10	5	the authors next to the guard is old	unexpected	6
11	6	the authors next to the guard are young	expected	6
12	6	the authors next to the guard is young	unexpected	6
13	7	the authors next to the guard are short	expected	6
14	7	the authors next to the guard is short	unexpected	6
15	8	the authors next to the chef laugh	expected	6
16	8	the authors next to the chef laughs	unexpected	6
17	9	the authors next to the chef swim	expected	6
18	9	the authors next to the chef swims	unexpected	6
19	10	the authors next to the chef smile	expected	6
20	10	the authors next to the chef smiles	unexpected	6
21	11	the authors next to the chef are tall	expected	6
22	11	the authors next to the chef is tall	unexpected	6
23	12	the authors next to the chef are old	expected	6
24	12	the authors next to the chef is old	unexpected	6
25	13	the authors next to the chef are young	expected	6
26	13	the authors next to the chef is young	unexpected	6
27	14	the authors next to the chef are short	expected	6
28	14	the authors next to the chef is short	unexpected	6
29	15	the authors next to the architect laugh	expected	6
30	15	the authors next to the architect laughs	unexpected	6
31	16	the authors next to the architect swim	expected	6
32	16	the authors next to the architect swims	unexpected	6
33	17	the authors next to the architect smile	expected	6
34	17	the authors next to the architect smiles	unexpected	6
35	18	the authors next to the architect are tall	expected	6
36	18	the authors next to the architect is tall	unexpected	6
37	19	the authors next to the architect are old	expected	6
38	19	the authors next to the architect is old	unexpected	6
39	20	the authors next to the architect are young	expected	6
40	20	the authors next to the architect is young	unexpected	6
41	21	the authors next to the architect are short	expected	6
42	21	the authors next to the architect is short	unexpected	6
43	22	the authors next to the skater laugh	expected	6
44	22	the authors next to the skater laughs	unexpected	6
45	23	the authors next to the skater swim	expected	6
46	23	the authors next to the skater swims	unexpected	6
47	24	the authors next to the skater smile	expected	6
48	24	the authors next to the skater smiles	unexpected	6
