sentid	pairid	sentence	comparison	ROI
1	1	the authors that the guard likes laugh	expected	5
2	1	the authors that the guard like laugh	unexpected	5
3	2	the authors that the guard likes swim	expected	5
4	2	the authors that the guard like swim	unexpected	5
5	3	the authors that the guard likes smile	expected	5
6	3	the authors that the guard like smile	unexpected	5
7	4	the authors that the guard likes are tall	expected	5
8	4	the authors that the guard like are tall	unexpected	5
9	5	the authors that the guard likes are old	expected	5
10	5	the authors that the guard like are old	unexpected	5
11	6	the authors that the guard likes are young	expected	5
12	6	the authors that the guard like are young	unexpected	5
13	7	the authors that the guard likes are short	expected	5
14	7	the authors that the guard like are short	unexpected	5
15	8	the authors that the guard admires laugh	expected	5
16	8	the authors that the guard admire laugh	unexpected	5
17	9	the authors that the guard admires swim	expected	5
18	9	the authors that the guard admire swim	unexpected	5
19	10	the authors that the guard admires smile	expected	5
20	10	the authors that the guard admire smile	unexpected	5
21	11	the authors that the guard admires are tall	expected	5
22	11	the authors that the guard admire are tall	unexpected	5
23	12	the authors that the guard admires are old	expected	5
24	12	the authors that the guard admire are old	unexpected	5
25	13	the authors that the guard admires are young	expected	5
26	13	the authors that the guard admire are young	unexpected	5
27	14	the authors that the guard admires are short	expected	5
28	14	the authors that the guard admire are short	unexpected	5
29	15	the authors that the guard hates laugh	expected	5
30	15	the authors that the guard hate laugh	unexpected	5
31	16	the authors that the guard hates swim	expected	5
32	16	the authors that the guard hate swim	unexpected	5
33	17	the authors that the guard hates smile	expected	5
34	17	the authors that the guard hate smile	unexpected	5
35	18	the authors that the guard hates are tall	expected	5
36	18	the authors that the guard hate are tall	unexpected	5
37	19	the authors that the guard hates are old	expected	5
38	19	the authors that the guard hate are old	unexpected	5
39	20	the authors that the guard hates are young	expected	5
40	20	the authors that the guard hate are young	unexpected	5
41	21	the authors that the guard hates are short	expected	5
42	21	the authors that the guard hate are short	unexpected	5
43	22	the authors that the guard loves laugh	expected	5
44	22	the authors that the guard love laugh	unexpected	5
45	23	the authors that the guard loves swim	expected	5
46	23	the authors that the guard love swim	unexpected	5
47	24	the authors that the guard loves smile	expected	5
48	24	the authors that the guard love smile	unexpected	5
49	25	the authors that the guard loves are tall	expected	5
50	25	the authors that the guard love are tall	unexpected	5
51	26	the authors that the guard loves are old	expected	5
52	26	the authors that the guard love are old	unexpected	5
53	27	the authors that the guard loves are young	expected	5
54	27	the authors that the guard love are young	unexpected	5
55	28	the authors that the guard loves are short	expected	5
56	28	the authors that the guard love are short	unexpected	5
57	29	the authors that the chef likes laugh	expected	5
58	29	the authors that the chef like laugh	unexpected	5
59	30	the authors that the chef likes swim	expected	5
60	30	the authors that the chef like swim	unexpected	5
61	31	the authors that the chef likes smile	expected	5
62	31	the authors that the chef like smile	unexpected	5
63	32	the authors that the chef likes are tall	expected	5
64	32	the authors that the chef like are tall	unexpected	5
65	33	the authors that the chef likes are old	expected	5
66	33	the authors that the chef like are old	unexpected	5
67	34	the authors that the chef likes are young	expected	5
68	34	the authors that the chef like are young	unexpected	5
69	35	the authors that the chef likes are short	expected	5
70	35	the authors that the chef like are short	unexpected	5
71	36	the authors that the chef admires laugh	expected	5
72	36	the authors that the chef admire laugh	unexpected	5
73	37	the authors that the chef admires swim	expected	5
74	37	the authors that the chef admire swim	unexpected	5
75	38	the authors that the chef admires smile	expected	5
76	38	the authors that the chef admire smile	unexpected	5
77	39	the authors that the chef admires are tall	expected	5
78	39	the authors that the chef admire are tall	unexpected	5
79	40	the authors that the chef admires are old	expected	5
80	40	the authors that the chef admire are old	unexpected	5
81	41	the authors that the chef admires are young	expected	5
82	41	the authors that the chef admire are young	unexpected	5
83	42	the authors that the chef admires are short	expected	5
84	42	the authors that the chef admire are short	unexpected	5
85	43	the authors that the chef hates laugh	expected	5
