sentid	pairid	sentence	comparison	ROI	word
1	1	die Schriftsteller sind alt	expected	2	sind
2	1	die Schriftsteller ist alt	unexpected	2	ist
3	2	die Schriftsteller sind jung	expected	2	sind
4	2	die Schriftsteller ist jung	unexpected	2	ist
5	3	die Schriftsteller sind klein	expected	2	sind
6	3	die Schriftsteller ist klein	unexpected	2	ist
7	4	die Schriftsteller sind groß	expected	2	sind
8	4	die Schriftsteller ist groß	unexpected	2	ist
9	5	die Schriftsteller schwimmen	expected	2	schwimmen
10	5	die Schriftsteller schwimmt	unexpected	2	schwimmt
11	6	die Schriftsteller sprechen	expected	2	sprechen
12	6	die Schriftsteller spricht	unexpected	2	spricht
13	7	die Schriftsteller lachen	expected	2	lachen
14	7	die Schriftsteller lacht	unexpected	2	lacht
15	8	die Direktoren sind alt	expected	2	sind
16	8	die Direktoren ist alt	unexpected	2	ist
17	9	die Direktoren sind jung	expected	2	sind
18	9	die Direktoren ist jung	unexpected	2	ist
19	10	die Direktoren sind klein	expected	2	sind
20	10	die Direktoren ist klein	unexpected	2	ist
21	11	die Direktoren sind groß	expected	2	sind
22	11	die Direktoren ist groß	unexpected	2	ist
23	12	die Direktoren schwimmen	expected	2	schwimmen
24	12	die Direktoren schwimmt	unexpected	2	schwimmt
25	13	die Direktoren sprechen	expected	2	sprechen
26	13	die Direktoren spricht	unexpected	2	spricht
27	14	die Direktoren lachen	expected	2	lachen
28	14	die Direktoren lacht	unexpected	2	lacht
29	15	die Bauern sind alt	expected	2	sind
30	15	die Bauern ist alt	unexpected	2	ist
31	16	die Bauern sind jung	expected	2	sind
32	16	die Bauern ist jung	unexpected	2	ist
33	17	die Bauern sind klein	expected	2	sind
34	17	die Bauern ist klein	unexpected	2	ist
35	18	die Bauern sind groß	expected	2	sind
36	18	die Bauern ist groß	unexpected	2	ist
37	19	die Bauern schwimmen	expected	2	schwimmen
38	19	die Bauern schwimmt	unexpected	2	schwimmt
39	20	die Bauern sprechen	expected	2	sprechen
40	20	die Bauern spricht	unexpected	2	spricht
41	21	die Bauern lachen	expected	2	lachen
42	21	die Bauern lacht	unexpected	2	lacht
43	22	die Chirurgen sind alt	expected	2	sind
44	22	die Chirurgen ist alt	unexpected	2	ist
45	23	die Chirurgen sind jung	expected	2	sind
46	23	die Chirurgen ist jung	unexpected	2	ist
47	24	die Chirurgen sind klein	expected	2	sind
48	24	die Chirurgen ist klein	unexpected	2	ist
49	25	die Chirurgen sind groß	expected	2	sind
50	25	die Chirurgen ist groß	unexpected	2	ist
51	26	die Chirurgen schwimmen	expected	2	schwimmen
52	26	die Chirurgen schwimmt	unexpected	2	schwimmt
