sentid	pairid	sentence	comparison	ROI
1	1	the mechanic said the authors laugh	expected	5
2	1	the mechanic said the authors laughs	unexpected	5
3	2	the mechanic said the authors swim	expected	5
4	2	the mechanic said the authors swims	unexpected	5
5	3	the mechanic said the authors smile	expected	5
6	3	the mechanic said the authors smiles	unexpected	5
7	4	the mechanic said the authors are tall	expected	5
8	4	the mechanic said the authors is tall	unexpected	5
9	5	the mechanic said the authors are old	expected	5
10	5	the mechanic said the authors is old	unexpected	5
11	6	the mechanic said the authors are young	expected	5
12	6	the mechanic said the authors is young	unexpected	5
13	7	the mechanic said the authors are short	expected	5
14	7	the mechanic said the authors is short	unexpected	5
15	8	the mechanic said the pilots laugh	expected	5
16	8	the mechanic said the pilots laughs	unexpected	5
17	9	the mechanic said the pilots swim	expected	5
18	9	the mechanic said the pilots swims	unexpected	5
19	10	the mechanic said the pilots smile	expected	5
20	10	the mechanic said the pilots smiles	unexpected	5
21	11	the mechanic said the pilots are tall	expected	5
22	11	the mechanic said the pilots is tall	unexpected	5
23	12	the mechanic said the pilots are old	expected	5
24	12	the mechanic said the pilots is old	unexpected	5
25	13	the mechanic said the pilots are young	expected	5
26	13	the mechanic said the pilots is young	unexpected	5
27	14	the mechanic said the pilots are short	expected	5
28	14	the mechanic said the pilots is short	unexpected	5
29	15	the mechanic said the surgeons laugh	expected	5
30	15	the mechanic said the surgeons laughs	unexpected	5
31	16	the mechanic said the surgeons swim	expected	5
32	16	the mechanic said the surgeons swims	unexpected	5
33	17	the mechanic said the surgeons smile	expected	5
34	17	the mechanic said the surgeons smiles	unexpected	5
35	18	the mechanic said the surgeons are tall	expected	5
36	18	the mechanic said the surgeons is tall	unexpected	5
37	19	the mechanic said the surgeons are old	expected	5
38	19	the mechanic said the surgeons is old	unexpected	5
39	20	the mechanic said the surgeons are young	expected	5
40	20	the mechanic said the surgeons is young	unexpected	5
41	21	the mechanic said the surgeons are short	expected	5
42	21	the mechanic said the surgeons is short	unexpected	5
43	22	the mechanic said the farmers laugh	expected	5
44	22	the mechanic said the farmers laughs	unexpected	5
45	23	the mechanic said the farmers swim	expected	5
46	23	the mechanic said the farmers swims	unexpected	5
47	24	the mechanic said the farmers smile	expected	5
48	24	the mechanic said the farmers smiles	unexpected	5
49	25	the mechanic said the farmers are tall	expected	5
50	25	the mechanic said the farmers is tall	unexpected	5
51	26	the mechanic said the farmers are old	expected	5
52	26	the mechanic said the farmers is old	unexpected	5
53	27	the mechanic said the farmers are young	expected	5
54	27	the mechanic said the farmers is young	unexpected	5
55	28	the mechanic said the farmers are short	expected	5
56	28	the mechanic said the farmers is short	unexpected	5
57	29	the mechanic said the managers laugh	expected	5
58	29	the mechanic said the managers laughs	unexpected	5
59	30	the mechanic said the managers swim	expected	5
60	30	the mechanic said the managers swims	unexpected	5
61	31	the mechanic said the managers smile	expected	5
62	31	the mechanic said the managers smiles	unexpected	5
63	32	the mechanic said the managers are tall	expected	5
64	32	the mechanic said the managers is tall	unexpected	5
65	33	the mechanic said the managers are old	expected	5
66	33	the mechanic said the managers is old	unexpected	5
67	34	the mechanic said the managers are young	expected	5
68	34	the mechanic said the managers is young	unexpected	5
69	35	the mechanic said the managers are short	expected	5
70	35	the mechanic said the managers is short	unexpected	5
71	36	the mechanic said the customers laugh	expected	5
72	36	the mechanic said the customers laughs	unexpected	5
73	37	the mechanic said the customers swim	expected	5
74	37	the mechanic said the customers swims	unexpected	5
75	38	the mechanic said the customers smile	expected	5
76	38	the mechanic said the customers smiles	unexpected	5
77	39	the mechanic said the customers are tall	expected	5
78	39	the mechanic said the customers is tall	unexpected	5
79	40	the mechanic said the customers are old	expected	5
80	40	the mechanic said the customers is old	unexpected	5
81	41	the mechanic said the customers are young	expected	5
82	41	the mechanic said the customers is young	unexpected	5
83	42	the mechanic said the customers are short	expected	5
84	42	the mechanic said the customers is short	unexpected	5
85	43	the mechanic said the officers laugh	expected	5
86	43	the mechanic said the officers laughs	unexpected	5
87	44	the mechanic said the officers swim	expected	5
88	44	the mechanic said the officers swims	unexpected	5
89	45	the mechanic said the officers smile	expected	5
90	45	the mechanic said the officers smiles	unexpected	5
91	46	the mechanic said the officers are tall	expected	5
92	46	the mechanic said the officers is tall	unexpected	5
93	47	the mechanic said the officers are old	expected	5
94	47	the mechanic said the officers is old	unexpected	5
