sentid	pairid	sentence	comparison	ROI	word
1	1	авторы , которых агенты любят , говорят	expected	6	говорят
2	1	авторы , которых агенты любят , говорит	unexpected	6	говорит
3	2	авторы , которых агенты любят , ждали	expected	6	ждали
4	2	авторы , которых агенты любят , ждал	unexpected	6	ждал
5	3	авторы , которых агенты любят , читают	expected	6	читают
6	3	авторы , которых агенты любят , читает	unexpected	6	читает
7	4	авторы , которых агенты любят , старые	expected	6	старые
8	4	авторы , которых агенты любят , старый	unexpected	6	старый
9	5	авторы , которых агенты любят , маленькие	expected	6	маленькие
10	5	авторы , которых агенты любят , маленький	unexpected	6	маленький
11	6	авторы , которых агенты любят , молодые	expected	6	молодые
12	6	авторы , которых агенты любят , молодой	unexpected	6	молодой
13	7	авторы , которых агенты любят , большие	expected	6	большие
14	7	авторы , которых агенты любят , большой	unexpected	6	большой
15	8	режиссёры , которых агенты любят , говорят	expected	6	говорят
16	8	режиссёры , которых агенты любят , говорит	unexpected	6	говорит
17	9	режиссёры , которых агенты любят , ждали	expected	6	ждали
18	9	режиссёры , которых агенты любят , ждал	unexpected	6	ждал
19	10	режиссёры , которых агенты любят , читают	expected	6	читают
20	10	режиссёры , которых агенты любят , читает	unexpected	6	читает
21	11	режиссёры , которых агенты любят , старые	expected	6	старые
22	11	режиссёры , которых агенты любят , старый	unexpected	6	старый
23	12	режиссёры , которых агенты любят , маленькие	expected	6	маленькие
24	12	режиссёры , которых агенты любят , маленький	unexpected	6	маленький
25	13	режиссёры , которых агенты любят , молодые	expected	6	молодые
26	13	режиссёры , которых агенты любят , молодой	unexpected	6	молодой
27	14	режиссёры , которых агенты любят , большие	expected	6	большие
28	14	режиссёры , которых агенты любят , большой	unexpected	6	большой
29	15	фермеры , которых агенты любят , говорят	expected	6	говорят
30	15	фермеры , которых агенты любят , говорит	unexpected	6	говорит
31	16	фермеры , которых агенты любят , ждали	expected	6	ждали
32	16	фермеры , которых агенты любят , ждал	unexpected	6	ждал
33	17	фермеры , которых агенты любят , читают	expected	6	читают
34	17	фермеры , которых агенты любят , читает	unexpected	6	читает
35	18	фермеры , которых агенты любят , старые	expected	6	старые
36	18	фермеры , которых агенты любят , старый	unexpected	6	старый
37	19	фермеры , которых агенты любят , маленькие	expected	6	маленькие
38	19	фермеры , которых агенты любят , маленький	unexpected	6	маленький
39	20	фермеры , которых агенты любят , молодые	expected	6	молодые
40	20	фермеры , которых агенты любят , молодой	unexpected	6	молодой
41	21	фермеры , которых агенты любят , большие	expected	6	большие
42	21	фермеры , которых агенты любят , большой	unexpected	6	большой
