sentid	pairid	sentence	comparison	ROI	word
1	1	les auteurs devant les gardes sont vieux	expected	5	sont
2	1	les auteurs devant les gardes est vieux	unexpected	5	est
3	2	les auteurs devant les gardes sont jeunes	expected	5	sont
4	2	les auteurs devant les gardes est jeune	unexpected	5	est
5	3	les auteurs devant les gardes sont petits	expected	5	sont
6	3	les auteurs devant les gardes est petit	unexpected	5	est
7	4	les auteurs devant les gardes sont grands	expected	5	sont
8	4	les auteurs devant les gardes est grand	unexpected	5	est
9	5	les auteurs devant les gardes déménagent	expected	5	déménagent
10	5	les auteurs devant les gardes déménage	unexpected	5	déménage
11	6	les auteurs devant les gardes parlent	expected	5	parlent
12	6	les auteurs devant les gardes parle	unexpected	5	parle
13	7	les auteurs devant les gardes retournent	expected	5	retournent
14	7	les auteurs devant les gardes retourne	unexpected	5	retourne
15	8	les directeurs devant les gardes sont vieux	expected	5	sont
16	8	les directeurs devant les gardes est vieux	unexpected	5	est
17	9	les directeurs devant les gardes sont jeunes	expected	5	sont
18	9	les directeurs devant les gardes est jeune	unexpected	5	est
19	10	les directeurs devant les gardes sont petits	expected	5	sont
20	10	les directeurs devant les gardes est petit	unexpected	5	est
21	11	les directeurs devant les gardes sont grands	expected	5	sont
22	11	les directeurs devant les gardes est grand	unexpected	5	est
23	12	les directeurs devant les gardes déménagent	expected	5	déménagent
24	12	les directeurs devant les gardes déménage	unexpected	5	déménage
25	13	les directeurs devant les gardes parlent	expected	5	parlent
26	13	les directeurs devant les gardes parle	unexpected	5	parle
27	14	les directeurs devant les gardes retournent	expected	5	retournent
28	14	les directeurs devant les gardes retourne	unexpected	5	retourne
29	15	les agriculteurs devant les gardes sont vieux	expected	5	sont
30	15	les agriculteurs devant les gardes est vieux	unexpected	5	est
31	16	les agriculteurs devant les gardes sont jeunes	expected	5	sont
32	16	les agriculteurs devant les gardes est jeune	unexpected	5	est
33	17	les agriculteurs devant les gardes sont petits	expected	5	sont
34	17	les agriculteurs devant les gardes est petit	unexpected	5	est
35	18	les agriculteurs devant les gardes sont grands	expected	5	sont
36	18	les agriculteurs devant les gardes est grand	unexpected	5	est
37	19	les agriculteurs devant les gardes déménagent	expected	5	déménagent
38	19	les agriculteurs devant les gardes déménage	unexpected	5	déménage
39	20	les agriculteurs devant les gardes parlent	expected	5	parlent
40	20	les agriculteurs devant les gardes parle	unexpected	5	parle
41	21	les agriculteurs devant les gardes retournent	expected	5	retournent
42	21	les agriculteurs devant les gardes retourne	unexpected	5	retourne
43	22	les chirurgiens devant les gardes sont vieux	expected	5	sont
44	22	les chirurgiens devant les gardes est vieux	unexpected	5	est
45	23	les chirurgiens devant les gardes sont jeunes	expected	5	sont
46	23	les chirurgiens devant les gardes est jeune	unexpected	5	est
47	24	les chirurgiens devant les gardes sont petits	expected	5	sont
48	24	les chirurgiens devant les gardes est petit	unexpected	5	est
49	25	les chirurgiens devant les gardes sont grands	expected	5	sont
50	25	les chirurgiens devant les gardes est grand	unexpected	5	est
51	26	les chirurgiens devant les gardes déménagent	expected	5	déménagent
52	26	les chirurgiens devant les gardes déménage	unexpected	5	déménage
53	27	les chirurgiens devant les gardes parlent	expected	5	parlent
54	27	les chirurgiens devant les gardes parle	unexpected	5	parle
55	28	les chirurgiens devant les gardes retournent	expected	5	retournent
56	28	les chirurgiens devant les gardes retourne	unexpected	5	retourne
57	29	les sénateurs devant les gardes sont vieux	expected	5	sont
58	29	les sénateurs devant les gardes est vieux	unexpected	5	est
59	30	les sénateurs devant les gardes sont jeunes	expected	5	sont
60	30	les sénateurs devant les gardes est jeune	unexpected	5	est
61	31	les sénateurs devant les gardes sont petits	expected	5	sont
62	31	les sénateurs devant les gardes est petit	unexpected	5	est
63	32	les sénateurs devant les gardes sont grands	expected	5	sont
64	32	les sénateurs devant les gardes est grand	unexpected	5	est
65	33	les sénateurs devant les gardes déménagent	expected	5	déménagent
66	33	les sénateurs devant les gardes déménage	unexpected	5	déménage
67	34	les sénateurs devant les gardes parlent	expected	5	parlent
68	34	les sénateurs devant les gardes parle	unexpected	5	parle
69	35	les sénateurs devant les gardes retournent	expected	5	retournent
70	35	les sénateurs devant les gardes retourne	unexpected	5	retourne
71	36	les professeurs devant les gardes sont vieux	expected	5	sont
72	36	les professeurs devant les gardes est vieux	unexpected	5	est
73	37	les professeurs devant les gardes sont jeunes	expected	5	sont
74	37	les professeurs devant les gardes est jeune	unexpected	5	est
75	38	les professeurs devant les gardes sont petits	expected	5	sont
76	38	les professeurs devant les gardes est petit	unexpected	5	est
77	39	les professeurs devant les gardes sont grands	expected	5	sont
