sentid	pairid	sentence	comparison	ROI	word
1	1	авторы , которых агенты любят , говорят	expected	4	любят
2	1	авторы , которых агенты любит , говорят	unexpected	4	любит
3	2	авторы , которых агенты хотят , говорят	expected	4	хотят
4	2	авторы , которых агенты хочет , говорят	unexpected	4	хочет
5	3	авторы , которых агенты понимают , говорят	expected	4	понимают
6	3	авторы , которых агенты понимает , говорят	unexpected	4	понимает
7	4	авторы , которых агенты ищут , говорят	expected	4	ищут
8	4	авторы , которых агенты ищет , говорят	unexpected	4	ищет
9	5	режиссёры , которых агенты любят , говорят	expected	4	любят
10	5	режиссёры , которых агенты любит , говорят	unexpected	4	любит
11	6	режиссёры , которых агенты хотят , говорят	expected	4	хотят
12	6	режиссёры , которых агенты хочет , говорят	unexpected	4	хочет
13	7	режиссёры , которых агенты понимают , говорят	expected	4	понимают
14	7	режиссёры , которых агенты понимает , говорят	unexpected	4	понимает
15	8	режиссёры , которых агенты ищут , говорят	expected	4	ищут
16	8	режиссёры , которых агенты ищет , говорят	unexpected	4	ищет
17	9	фермеры , которых агенты любят , говорят	expected	4	любят
18	9	фермеры , которых агенты любит , говорят	unexpected	4	любит
19	10	фермеры , которых агенты хотят , говорят	expected	4	хотят
20	10	фермеры , которых агенты хочет , говорят	unexpected	4	хочет
21	11	фермеры , которых агенты понимают , говорят	expected	4	понимают
22	11	фермеры , которых агенты понимает , говорят	unexpected	4	понимает
23	12	фермеры , которых агенты ищут , говорят	expected	4	ищут
24	12	фермеры , которых агенты ищет , говорят	unexpected	4	ищет
25	13	врачи , которых агенты любят , говорят	expected	4	любят
26	13	врачи , которых агенты любит , говорят	unexpected	4	любит
27	14	врачи , которых агенты хотят , говорят	expected	4	хотят
28	14	врачи , которых агенты хочет , говорят	unexpected	4	хочет
29	15	врачи , которых агенты понимают , говорят	expected	4	понимают
30	15	врачи , которых агенты понимает , говорят	unexpected	4	понимает
31	16	врачи , которых агенты ищут , говорят	expected	4	ищут
32	16	врачи , которых агенты ищет , говорят	unexpected	4	ищет
33	17	сенаторы , которых агенты любят , говорят	expected	4	любят
34	17	сенаторы , которых агенты любит , говорят	unexpected	4	любит
35	18	сенаторы , которых агенты хотят , говорят	expected	4	хотят
36	18	сенаторы , которых агенты хочет , говорят	unexpected	4	хочет
37	19	сенаторы , которых агенты понимают , говорят	expected	4	понимают
38	19	сенаторы , которых агенты понимает , говорят	unexpected	4	понимает
39	20	сенаторы , которых агенты ищут , говорят	expected	4	ищут
