sentid	pairid	sentence	comparison	ROI	word
1	1	die Schriftsteller , die die Wächter mögen , schwimmen	expected	8	schwimmen
2	1	die Schriftsteller , die die Wächter mögen , schwimmt	unexpected	8	schwimmt
3	2	die Schriftsteller , die die Wächter mögen , lachen	expected	8	lachen
4	2	die Schriftsteller , die die Wächter mögen , lacht	unexpected	8	lacht
5	3	die Schriftsteller , die die Wächter mögen , sprechen	expected	8	sprechen
6	3	die Schriftsteller , die die Wächter mögen , spricht	unexpected	8	spricht
7	4	die Schriftsteller , die die Wächter mögen , sind alt	expected	8	sind
8	4	die Schriftsteller , die die Wächter mögen , ist alt	unexpected	8	ist
9	5	die Schriftsteller , die die Wächter mögen , sind klein	expected	8	sind
10	5	die Schriftsteller , die die Wächter mögen , ist klein	unexpected	8	ist
11	6	die Schriftsteller , die die Wächter mögen , sind jung	expected	8	sind
12	6	die Schriftsteller , die die Wächter mögen , ist jung	unexpected	8	ist
13	7	die Schriftsteller , die die Wächter mögen , sind groß	expected	8	sind
14	7	die Schriftsteller , die die Wächter mögen , ist groß	unexpected	8	ist
15	8	die Direktoren , die die Wächter mögen , schwimmen	expected	8	schwimmen
16	8	die Direktoren , die die Wächter mögen , schwimmt	unexpected	8	schwimmt
17	9	die Direktoren , die die Wächter mögen , lachen	expected	8	lachen
18	9	die Direktoren , die die Wächter mögen , lacht	unexpected	8	lacht
19	10	die Direktoren , die die Wächter mögen , sprechen	expected	8	sprechen
20	10	die Direktoren , die die Wächter mögen , spricht	unexpected	8	spricht
21	11	die Direktoren , die die Wächter mögen , sind alt	expected	8	sind
22	11	die Direktoren , die die Wächter mögen , ist alt	unexpected	8	ist
23	12	die Direktoren , die die Wächter mögen , sind klein	expected	8	sind
24	12	die Direktoren , die die Wächter mögen , ist klein	unexpected	8	ist
25	13	die Direktoren , die die Wächter mögen , sind jung	expected	8	sind
26	13	die Direktoren , die die Wächter mögen , ist jung	unexpected	8	ist
27	14	die Direktoren , die die Wächter mögen , sind groß	expected	8	sind
28	14	die Direktoren , die die Wächter mögen , ist groß	unexpected	8	ist
29	15	die Bauern , die die Wächter mögen , schwimmen	expected	8	schwimmen
30	15	die Bauern , die die Wächter mögen , schwimmt	unexpected	8	schwimmt
31	16	die Bauern , die die Wächter mögen , lachen	expected	8	lachen
32	16	die Bauern , die die Wächter mögen , lacht	unexpected	8	lacht
33	17	die Bauern , die die Wächter mögen , sprechen	expected	8	sprechen
34	17	die Bauern , die die Wächter mögen , spricht	unexpected	8	spricht
35	18	die Bauern , die die Wächter mögen , sind alt	expected	8	sind
36	18	die Bauern , die die Wächter mögen , ist alt	unexpected	8	ist
37	19	die Bauern , die die Wächter mögen , sind klein	expected	8	sind
38	19	die Bauern , die die Wächter mögen , ist klein	unexpected	8	ist
39	20	die Bauern , die die Wächter mögen , sind jung	expected	8	sind
40	20	die Bauern , die die Wächter mögen , ist jung	unexpected	8	ist
41	21	die Bauern , die die Wächter mögen , sind groß	expected	8	sind
42	21	die Bauern , die die Wächter mögen , ist groß	unexpected	8	ist
43	22	die Chirurgen , die die Wächter mögen , schwimmen	expected	8	schwimmen
44	22	die Chirurgen , die die Wächter mögen , schwimmt	unexpected	8	schwimmt
45	23	die Chirurgen , die die Wächter mögen , lachen	expected	8	lachen
46	23	die Chirurgen , die die Wächter mögen , lacht	unexpected	8	lacht
47	24	die Chirurgen , die die Wächter mögen , sprechen	expected	8	sprechen
48	24	die Chirurgen , die die Wächter mögen , spricht	unexpected	8	spricht
49	25	die Chirurgen , die die Wächter mögen , sind alt	expected	8	sind
50	25	die Chirurgen , die die Wächter mögen , ist alt	unexpected	8	ist
51	26	die Chirurgen , die die Wächter mögen , sind klein	expected	8	sind
