sentid	pairid	sentence	comparison	ROI	word
1	1	автор знает много иностранных языков и знает много иностранных языков	expected	6	знает
2	1	автор знает много иностранных языков и знают много иностранных языков	unexpected	6	знают
3	2	автор знает много иностранных языков и любит смотреть телепередачи	expected	6	любит
4	2	автор знает много иностранных языков и любят смотреть телепередачи	unexpected	6	любят
5	3	автор знает много иностранных языков и занимается спортом каждую неделю	expected	6	занимается
6	3	автор знает много иностранных языков и занимаются спортом каждую неделю	unexpected	6	занимаются
7	4	автор знает много иностранных языков и предпочитает играть в теннис с коллегами	expected	6	предпочитает
8	4	автор знает много иностранных языков и предпочитают играть в теннис с коллегами	unexpected	6	предпочитают
9	5	автор знает много иностранных языков и пишет в дневнике каждый день	expected	6	пишет
10	5	автор знает много иностранных языков и пишут в дневнике каждый день	unexpected	6	пишут
11	6	режиссёр знает много иностранных языков и знает много иностранных языков	expected	6	знает
12	6	режиссёр знает много иностранных языков и знают много иностранных языков	unexpected	6	знают
13	7	режиссёр знает много иностранных языков и любит смотреть телепередачи	expected	6	любит
14	7	режиссёр знает много иностранных языков и любят смотреть телепередачи	unexpected	6	любят
15	8	режиссёр знает много иностранных языков и занимается спортом каждую неделю	expected	6	занимается
16	8	режиссёр знает много иностранных языков и занимаются спортом каждую неделю	unexpected	6	занимаются
17	9	режиссёр знает много иностранных языков и предпочитает играть в теннис с коллегами	expected	6	предпочитает
18	9	режиссёр знает много иностранных языков и предпочитают играть в теннис с коллегами	unexpected	6	предпочитают
19	10	режиссёр знает много иностранных языков и пишет в дневнике каждый день	expected	6	пишет
20	10	режиссёр знает много иностранных языков и пишут в дневнике каждый день	unexpected	6	пишут
21	11	фермер знает много иностранных языков и знает много иностранных языков	expected	6	знает
22	11	фермер знает много иностранных языков и знают много иностранных языков	unexpected	6	знают
23	12	фермер знает много иностранных языков и любит смотреть телепередачи	expected	6	любит
24	12	фермер знает много иностранных языков и любят смотреть телепередачи	unexpected	6	любят
25	13	фермер знает много иностранных языков и занимается спортом каждую неделю	expected	6	занимается
26	13	фермер знает много иностранных языков и занимаются спортом каждую неделю	unexpected	6	занимаются
27	14	фермер знает много иностранных языков и предпочитает играть в теннис с коллегами	expected	6	предпочитает
28	14	фермер знает много иностранных языков и предпочитают играть в теннис с коллегами	unexpected	6	предпочитают
29	15	фермер знает много иностранных языков и пишет в дневнике каждый день	expected	6	пишет
30	15	фермер знает много иностранных языков и пишут в дневнике каждый день	unexpected	6	пишут
31	16	врач знает много иностранных языков и знает много иностранных языков	expected	6	знает
32	16	врач знает много иностранных языков и знают много иностранных языков	unexpected	6	знают
33	17	врач знает много иностранных языков и любит смотреть телепередачи	expected	6	любит
34	17	врач знает много иностранных языков и любят смотреть телепередачи	unexpected	6	любят
35	18	врач знает много иностранных языков и занимается спортом каждую неделю	expected	6	занимается
36	18	врач знает много иностранных языков и занимаются спортом каждую неделю	unexpected	6	занимаются
37	19	врач знает много иностранных языков и предпочитает играть в теннис с коллегами	expected	6	предпочитает
38	19	врач знает много иностранных языков и предпочитают играть в теннис с коллегами	unexpected	6	предпочитают
39	20	врач знает много иностранных языков и пишет в дневнике каждый день	expected	6	пишет
40	20	врач знает много иностранных языков и пишут в дневнике каждый день	unexpected	6	пишут
41	21	сенатор знает много иностранных языков и знает много иностранных языков	expected	6	знает
42	21	сенатор знает много иностранных языков и знают много иностранных языков	unexpected	6	знают
43	22	сенатор знает много иностранных языков и любит смотреть телепередачи	expected	6	любит
44	22	сенатор знает много иностранных языков и любят смотреть телепередачи	unexpected	6	любят
45	23	сенатор знает много иностранных языков и занимается спортом каждую неделю	expected	6	занимается
46	23	сенатор знает много иностранных языков и занимаются спортом каждую неделю	unexpected	6	занимаются
47	24	сенатор знает много иностранных языков и предпочитает играть в теннис с коллегами	expected	6	предпочитает
48	24	сенатор знает много иностранных языков и предпочитают играть в теннис с коллегами	unexpected	6	предпочитают
49	25	сенатор знает много иностранных языков и пишет в дневнике каждый день	expected	6	пишет
50	25	сенатор знает много иностранных языков и пишут в дневнике каждый день	unexpected	6	пишут
51	26	профессор знает много иностранных языков и знает много иностранных языков	expected	6	знает
52	26	профессор знает много иностранных языков и знают много иностранных языков	unexpected	6	знают
53	27	профессор знает много иностранных языков и любит смотреть телепередачи	expected	6	любит
54	27	профессор знает много иностранных языков и любят смотреть телепередачи	unexpected	6	любят
55	28	профессор знает много иностранных языков и занимается спортом каждую неделю	expected	6	занимается
56	28	профессор знает много иностранных языков и занимаются спортом каждую неделю	unexpected	6	занимаются
57	29	профессор знает много иностранных языков и предпочитает играть в теннис с коллегами	expected	6	предпочитает
58	29	профессор знает много иностранных языков и предпочитают играть в теннис с коллегами	unexpected	6	предпочитают
59	30	профессор знает много иностранных языков и пишет в дневнике каждый день	expected	6	пишет
60	30	профессор знает много иностранных языков и пишут в дневнике каждый день	unexpected	6	пишут
61	31	клиент знает много иностранных языков и знает много иностранных языков	expected	6	знает
62	31	клиент знает много иностранных языков и знают много иностранных языков	unexpected	6	знают
63	32	клиент знает много иностранных языков и любит смотреть телепередачи	expected	6	любит
64	32	клиент знает много иностранных языков и любят смотреть телепередачи	unexpected	6	любят
65	33	клиент знает много иностранных языков и занимается спортом каждую неделю	expected	6	занимается
66	33	клиент знает много иностранных языков и занимаются спортом каждую неделю	unexpected	6	занимаются
67	34	клиент знает много иностранных языков и предпочитает играть в теннис с коллегами	expected	6	предпочитает
68	34	клиент знает много иностранных языков и предпочитают играть в теннис с коллегами	unexpected	6	предпочитают
69	35	клиент знает много иностранных языков и пишет в дневнике каждый день	expected	6	пишет
70	35	клиент знает много иностранных языков и пишут в дневнике каждый день	unexpected	6	пишут
71	36	офицер знает много иностранных языков и знает много иностранных языков	expected	6	знает
72	36	офицер знает много иностранных языков и знают много иностранных языков	unexpected	6	знают
73	37	офицер знает много иностранных языков и любит смотреть телепередачи	expected	6	любит
74	37	офицер знает много иностранных языков и любят смотреть телепередачи	unexpected	6	любят
75	38	офицер знает много иностранных языков и занимается спортом каждую неделю	expected	6	занимается
76	38	офицер знает много иностранных языков и занимаются спортом каждую неделю	unexpected	6	занимаются
77	39	офицер знает много иностранных языков и предпочитает играть в теннис с коллегами	expected	6	предпочитает
78	39	офицер знает много иностранных языков и предпочитают играть в теннис с коллегами	unexpected	6	предпочитают
79	40	офицер знает много иностранных языков и пишет в дневнике каждый день	expected	6	пишет
80	40	офицер знает много иностранных языков и пишут в дневнике каждый день	unexpected	6	пишут
81	41	пилот знает много иностранных языков и знает много иностранных языков	expected	6	знает
82	41	пилот знает много иностранных языков и знают много иностранных языков	unexpected	6	знают
83	42	пилот знает много иностранных языков и любит смотреть телепередачи	expected	6	любит
84	42	пилот знает много иностранных языков и любят смотреть телепередачи	unexpected	6	любят
85	43	пилот знает много иностранных языков и занимается спортом каждую неделю	expected	6	занимается
86	43	пилот знает много иностранных языков и занимаются спортом каждую неделю	unexpected	6	занимаются
87	44	пилот знает много иностранных языков и предпочитает играть в теннис с коллегами	expected	6	предпочитает
88	44	пилот знает много иностранных языков и предпочитают играть в теннис с коллегами	unexpected	6	предпочитают
89	45	пилот знает много иностранных языков и пишет в дневнике каждый день	expected	6	пишет
90	45	пилот знает много иностранных языков и пишут в дневнике каждый день	unexpected	6	пишут
91	46	ученик знает много иностранных языков и знает много иностранных языков	expected	6	знает
92	46	ученик знает много иностранных языков и знают много иностранных языков	unexpected	6	знают
93	47	ученик знает много иностранных языков и любит смотреть телепередачи	expected	6	любит
94	47	ученик знает много иностранных языков и любят смотреть телепередачи	unexpected	6	любят
95	48	ученик знает много иностранных языков и занимается спортом каждую неделю	expected	6	занимается
96	48	ученик знает много иностранных языков и занимаются спортом каждую неделю	unexpected	6	занимаются
97	49	ученик знает много иностранных языков и предпочитает играть в теннис с коллегами	expected	6	предпочитает
98	49	ученик знает много иностранных языков и предпочитают играть в теннис с коллегами	unexpected	6	предпочитают
99	50	ученик знает много иностранных языков и пишет в дневнике каждый день	expected	6	пишет
100	50	ученик знает много иностранных языков и пишут в дневнике каждый день	unexpected	6	пишут
101	51	автор любит смотреть телепередачи и знает много иностранных языков	expected	5	знает
102	51	автор любит смотреть телепередачи и знают много иностранных языков	unexpected	5	знают
103	52	автор любит смотреть телепередачи и любит смотреть телепередачи	expected	5	любит
104	52	автор любит смотреть телепередачи и любят смотреть телепередачи	unexpected	5	любят
105	53	автор любит смотреть телепередачи и занимается спортом каждую неделю	expected	5	занимается
106	53	автор любит смотреть телепередачи и занимаются спортом каждую неделю	unexpected	5	занимаются
107	54	автор любит смотреть телепередачи и предпочитает играть в теннис с коллегами	expected	5	предпочитает
108	54	автор любит смотреть телепередачи и предпочитают играть в теннис с коллегами	unexpected	5	предпочитают
109	55	автор любит смотреть телепередачи и пишет в дневнике каждый день	expected	5	пишет
110	55	автор любит смотреть телепередачи и пишут в дневнике каждый день	unexpected	5	пишут
111	56	режиссёр любит смотреть телепередачи и знает много иностранных языков	expected	5	знает
112	56	режиссёр любит смотреть телепередачи и знают много иностранных языков	unexpected	5	знают
113	57	режиссёр любит смотреть телепередачи и любит смотреть телепередачи	expected	5	любит
114	57	режиссёр любит смотреть телепередачи и любят смотреть телепередачи	unexpected	5	любят
115	58	режиссёр любит смотреть телепередачи и занимается спортом каждую неделю	expected	5	занимается
116	58	режиссёр любит смотреть телепередачи и занимаются спортом каждую неделю	unexpected	5	занимаются
117	59	режиссёр любит смотреть телепередачи и предпочитает играть в теннис с коллегами	expected	5	предпочитает
118	59	режиссёр любит смотреть телепередачи и предпочитают играть в теннис с коллегами	unexpected	5	предпочитают
119	60	режиссёр любит смотреть телепередачи и пишет в дневнике каждый день	expected	5	пишет
120	60	режиссёр любит смотреть телепередачи и пишут в дневнике каждый день	unexpected	5	пишут
121	61	фермер любит смотреть телепередачи и знает много иностранных языков	expected	5	знает
122	61	фермер любит смотреть телепередачи и знают много иностранных языков	unexpected	5	знают
123	62	фермер любит смотреть телепередачи и любит смотреть телепередачи	expected	5	любит
124	62	фермер любит смотреть телепередачи и любят смотреть телепередачи	unexpected	5	любят
125	63	фермер любит смотреть телепередачи и занимается спортом каждую неделю	expected	5	занимается
126	63	фермер любит смотреть телепередачи и занимаются спортом каждую неделю	unexpected	5	занимаются
127	64	фермер любит смотреть телепередачи и предпочитает играть в теннис с коллегами	expected	5	предпочитает
128	64	фермер любит смотреть телепередачи и предпочитают играть в теннис с коллегами	unexpected	5	предпочитают
129	65	фермер любит смотреть телепередачи и пишет в дневнике каждый день	expected	5	пишет
130	65	фермер любит смотреть телепередачи и пишут в дневнике каждый день	unexpected	5	пишут
131	66	врач любит смотреть телепередачи и знает много иностранных языков	expected	5	знает
132	66	врач любит смотреть телепередачи и знают много иностранных языков	unexpected	5	знают
133	67	врач любит смотреть телепередачи и любит смотреть телепередачи	expected	5	любит
134	67	врач любит смотреть телепередачи и любят смотреть телепередачи	unexpected	5	любят
135	68	врач любит смотреть телепередачи и занимается спортом каждую неделю	expected	5	занимается
136	68	врач любит смотреть телепередачи и занимаются спортом каждую неделю	unexpected	5	занимаются
137	69	врач любит смотреть телепередачи и предпочитает играть в теннис с коллегами	expected	5	предпочитает
138	69	врач любит смотреть телепередачи и предпочитают играть в теннис с коллегами	unexpected	5	предпочитают
139	70	врач любит смотреть телепередачи и пишет в дневнике каждый день	expected	5	пишет
140	70	врач любит смотреть телепередачи и пишут в дневнике каждый день	unexpected	5	пишут
141	71	сенатор любит смотреть телепередачи и знает много иностранных языков	expected	5	знает
142	71	сенатор любит смотреть телепередачи и знают много иностранных языков	unexpected	5	знают
143	72	сенатор любит смотреть телепередачи и любит смотреть телепередачи	expected	5	любит
144	72	сенатор любит смотреть телепередачи и любят смотреть телепередачи	unexpected	5	любят
145	73	сенатор любит смотреть телепередачи и занимается спортом каждую неделю	expected	5	занимается
146	73	сенатор любит смотреть телепередачи и занимаются спортом каждую неделю	unexpected	5	занимаются
147	74	сенатор любит смотреть телепередачи и предпочитает играть в теннис с коллегами	expected	5	предпочитает
148	74	сенатор любит смотреть телепередачи и предпочитают играть в теннис с коллегами	unexpected	5	предпочитают
