sentid	pairid	sentence	comparison	ROI
1	1	the author knows many different foreign languages and likes to watch television shows	expected	8
2	1	the author knows many different foreign languages and like to watch television shows	unexpected	8
3	2	the author knows many different foreign languages and is twenty three years old	expected	8
4	2	the author knows many different foreign languages and are twenty three years old	unexpected	8
5	3	the author knows many different foreign languages and enjoys playing tennis with colleagues	expected	8
6	3	the author knows many different foreign languages and enjoy playing tennis with colleagues	unexpected	8
7	4	the author knows many different foreign languages and writes in a journal every day	expected	8
8	4	the author knows many different foreign languages and write in a journal every day	unexpected	8
9	5	the author likes to watch television shows and knows many different foreign languages	expected	8
10	5	the author likes to watch television shows and know many different foreign languages	unexpected	8
11	6	the author likes to watch television shows and is twenty three years old	expected	8
12	6	the author likes to watch television shows and are twenty three years old	unexpected	8
13	7	the author likes to watch television shows and enjoys playing tennis with colleagues	expected	8
14	7	the author likes to watch television shows and enjoy playing tennis with colleagues	unexpected	8
15	8	the author likes to watch television shows and writes in a journal every day	expected	8
16	8	the author likes to watch television shows and write in a journal every day	unexpected	8
17	9	the author is twenty three years old and knows many different foreign languages	expected	8
18	9	the author is twenty three years old and know many different foreign languages	unexpected	8
19	10	the author is twenty three years old and likes to watch television shows	expected	8
20	10	the author is twenty three years old and like to watch television shows	unexpected	8
21	11	the author is twenty three years old and enjoys playing tennis with colleagues	expected	8
22	11	the author is twenty three years old and enjoy playing tennis with colleagues	unexpected	8
23	12	the author is twenty three years old and writes in a journal every day	expected	8
24	12	the author is twenty three years old and write in a journal every day	unexpected	8
25	13	the author enjoys playing tennis with colleagues and knows many different foreign languages	expected	8
26	13	the author enjoys playing tennis with colleagues and know many different foreign languages	unexpected	8
27	14	the author enjoys playing tennis with colleagues and likes to watch television shows	expected	8
28	14	the author enjoys playing tennis with colleagues and like to watch television shows	unexpected	8
29	15	the author enjoys playing tennis with colleagues and is twenty three years old	expected	8
30	15	the author enjoys playing tennis with colleagues and are twenty three years old	unexpected	8
31	16	the author enjoys playing tennis with colleagues and writes in a journal every day	expected	8
32	16	the author enjoys playing tennis with colleagues and write in a journal every day	unexpected	8
33	17	the author writes in a journal every day and knows many different foreign languages	expected	9
34	17	the author writes in a journal every day and know many different foreign languages	unexpected	9
35	18	the author writes in a journal every day and likes to watch television shows	expected	9
36	18	the author writes in a journal every day and like to watch television shows	unexpected	9
37	19	the author writes in a journal every day and is twenty three years old	expected	9
38	19	the author writes in a journal every day and are twenty three years old	unexpected	9
39	20	the author writes in a journal every day and enjoys playing tennis with colleagues	expected	9
40	20	the author writes in a journal every day and enjoy playing tennis with colleagues	unexpected	9
41	21	the pilot knows many different foreign languages and likes to watch television shows	expected	8
42	21	the pilot knows many different foreign languages and like to watch television shows	unexpected	8
43	22	the pilot knows many different foreign languages and is twenty three years old	expected	8
44	22	the pilot knows many different foreign languages and are twenty three years old	unexpected	8
45	23	the pilot knows many different foreign languages and enjoys playing tennis with colleagues	expected	8
46	23	the pilot knows many different foreign languages and enjoy playing tennis with colleagues	unexpected	8
47	24	the pilot knows many different foreign languages and writes in a journal every day	expected	8
48	24	the pilot knows many different foreign languages and write in a journal every day	unexpected	8
49	25	the pilot likes to watch television shows and knows many different foreign languages	expected	8
50	25	the pilot likes to watch television shows and know many different foreign languages	unexpected	8
51	26	the pilot likes to watch television shows and is twenty three years old	expected	8
52	26	the pilot likes to watch television shows and are twenty three years old	unexpected	8
53	27	the pilot likes to watch television shows and enjoys playing tennis with colleagues	expected	8
54	27	the pilot likes to watch television shows and enjoy playing tennis with colleagues	unexpected	8
55	28	the pilot likes to watch television shows and writes in a journal every day	expected	8
56	28	the pilot likes to watch television shows and write in a journal every day	unexpected	8
57	29	the pilot is twenty three years old and knows many different foreign languages	expected	8
58	29	the pilot is twenty three years old and know many different foreign languages	unexpected	8
59	30	the pilot is twenty three years old and likes to watch television shows	expected	8
60	30	the pilot is twenty three years old and like to watch television shows	unexpected	8
61	31	the pilot is twenty three years old and enjoys playing tennis with colleagues	expected	8
62	31	the pilot is twenty three years old and enjoy playing tennis with colleagues	unexpected	8
63	32	the pilot is twenty three years old and writes in a journal every day	expected	8
64	32	the pilot is twenty three years old and write in a journal every day	unexpected	8
65	33	the pilot enjoys playing tennis with colleagues and knows many different foreign languages	expected	8
